National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-03T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 28,Nov 29,Nov 30,Dec  1,Dec  2,,
Volume ('000s),,
Industrials,"974,421","1,180,141","1,481,377","1,343,676","1,292,733",,
Mining,"956,990","963,886","1,251,122","1,107,309","967,942",,
TOTAL,"1,931,411","2,144,027","2,732,499","2,450,985","2,260,675",,
Value ($'000s),,
Industrials,"2,775,753","2,978,579","4,808,530","3,927,133","4,199,343",,
Mining,"1,337,198","1,355,419","1,898,435","2,189,570","1,485,452",,
TOTAL,"4,112,951","4,333,998","6,706,965","6,116,703","5,684,795",,
MOVEMENTS:,,
Industrials,,
Up,308,319,283,384,316,,
Down,221,211,238,148,215,,
Steady,170,174,174,156,167,,
TOTAL,699,704,695,688,698,,
Mining,,
Up,301,265,242,352,288,,
Down,239,242,291,208,232,,
Steady,204,224,214,229,213,,
TOTAL,744,731,747,789,733,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"317,207","275,626","301,449","464,920","263,877",,
Put Options,"214,584","193,474","206,677","274,316","160,269",,
TOTAL,"531,791","469,100","508,126","739,236","424,146",,
Value ($'000s),,
Call Options,"13,276","23,457","11,911","23,002","12,804",,
Put Options,"23,561","46,555","17,329","16,525","8,989",,
TOTAL,"36,837","70,012","29,240","39,527","21,793",,
MOVEMENTS:,,
Call Options,,
Up,421,228,249,763,489,,
Down,272,420,352,166,202,,
Steady,47,36,37,36,41,,
TOTAL,740,684,638,965,732,,
Put Options,,
Up,180,127,164,46,81,,
Down,417,430,392,700,431,,
Steady,10,14,9,3,18,,
TOTAL,607,571,565,749,530,,
,
