National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-22T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,,
Volume ('000s),,
Industrials,"728,193","909,495","876,827","870,960","1,141,591",,
Mining,"844,044","768,325","974,212","773,088","906,575",,
TOTAL,"1,572,237","1,677,820","1,851,039","1,644,048","2,048,166",,
Value ($'000s),,
Industrials,"3,511,545","4,722,902","4,626,478","4,787,316","6,409,833",,
Mining,"594,847","815,250","655,757","844,288","1,108,293",,
TOTAL,"4,106,392","5,538,152","5,282,235","5,631,604","7,518,126",,
MOVEMENTS:,,
Industrials,,
Up,71,275,365,239,202,,
Down,76,374,342,449,528,,
Steady,48,148,145,151,131,,
TOTAL,195,797,852,839,861,,
Mining,,
Up,43,121,147,137,160,,
Down,37,170,168,191,160,,
Steady,46,135,171,176,179,,
TOTAL,126,426,486,504,499,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"162,393","202,072","197,960","253,200","304,026",,
Put Options,"127,155","187,423","260,957","217,252","285,332",,
TOTAL,"289,548","389,495","458,917","470,452","589,358",,
Value ($'000s),,
Call Options,"23,123","26,067","7,241","64,370","13,283",,
Put Options,"9,992","22,675","19,291","20,022","42,431",,
TOTAL,"33,115","48,742","26,532","84,392","55,714",,
MOVEMENTS:,,
Call Options,,
Up,22,44,166,54,47,,
Down,66,217,133,290,357,,
Steady,5,3,22,10,8,,
TOTAL,93,264,321,354,412,,
Put Options,,
Up,47,211,107,308,481,,
Down,35,81,199,52,52,,
Steady,1,6,5,6,2,,
TOTAL,83,298,311,366,535,,
,
