National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-10-18T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,,
Volume ('000s),,
Industrials,"767,743","802,119","656,416","876,131","788,546",,
Mining,"676,000","772,120","712,616","869,176","669,096",,
TOTAL,"1,443,743","1,574,239","1,369,032","1,745,307","1,457,642",,
Value ($'000s),,
Industrials,"3,122,179","3,619,582","3,122,979","4,522,169","3,995,445",,
Mining,"932,868","1,217,831","1,033,291","1,213,499","907,067",,
TOTAL,"4,055,047","4,837,413","4,156,270","5,735,668","4,902,512",,
MOVEMENTS:,,
Industrials,,
Up,153,327,340,242,313,,
Down,448,269,271,382,269,,
Steady,171,173,167,159,186,,
TOTAL,772,769,778,783,768,,
Mining,,
Up,148,208,147,139,185,,
Down,201,143,212,235,162,,
Steady,209,214,208,201,220,,
TOTAL,558,565,567,575,567,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"274,371","219,927","183,119","236,196","203,803",,
Put Options,"353,099","249,664","202,183","206,762","202,939",,
TOTAL,"627,470","469,591","385,302","442,958","406,742",,
Value ($'000s),,
Call Options,"9,064","8,180","6,817","121,396","49,830",,
Put Options,"19,027","13,878","9,454","10,629","11,680",,
TOTAL,"28,091","22,058","16,271","132,025","61,510",,
MOVEMENTS:,,
Call Options,,
Up,69,310,277,222,302,,
Down,288,148,120,204,122,,
Steady,13,19,24,18,12,,
TOTAL,370,477,421,444,436,,
Put Options,,
Up,400,152,90,250,75,,
Down,71,265,329,157,335,,
Steady,5,7,9,13,13,,
TOTAL,476,424,428,420,423,,
,
