National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-02T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 28,Jul 29,Jul 30,Jul 31,Aug  1,,
Volume ('000s),,
Industrials,"734,113","648,641","831,877","935,562","865,661",,
Mining,"932,859","915,139","844,628","992,248","812,871",,
TOTAL,"1,666,972","1,563,780","1,676,505","1,927,810","1,678,532",,
Value ($'000s),,
Industrials,"2,534,104","2,661,271","3,101,706","3,141,213","3,442,646",,
Mining,"715,722","804,848","997,902","890,706","973,151",,
TOTAL,"3,249,826","3,466,119","4,099,608","4,031,919","4,415,797",,
MOVEMENTS:,,
Industrials,,
Up,300,328,406,357,144,,
Down,321,276,192,263,505,,
Steady,179,171,179,187,162,,
TOTAL,800,775,777,807,811,,
Mining,,
Up,218,204,208,189,133,,
Down,229,218,221,241,306,,
Steady,219,201,219,219,190,,
TOTAL,666,623,648,649,629,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"200,783","180,711","214,920","219,876","157,501",,
Put Options,"120,398","172,661","227,876","178,777","279,047",,
TOTAL,"321,181","353,372","442,796","398,653","436,548",,
Value ($'000s),,
Call Options,"15,031","13,732","12,686","44,607","6,248",,
Put Options,"5,252","7,489","10,877","8,504","8,819",,
TOTAL,"20,283","21,221","23,563","53,111","15,067",,
MOVEMENTS:,,
Call Options,,
Up,185,227,418,332,76,,
Down,177,162,78,144,381,,
Steady,21,20,25,15,5,,
TOTAL,383,409,521,491,462,,
Put Options,,
Up,118,118,66,110,473,,
Down,225,278,395,318,137,,
Steady,43,22,16,28,17,,
TOTAL,386,418,477,456,627,,
,
