National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-14T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun  6,Jun 10,Jun 11,Jun 12,Jun 13,,
Volume ('000s),,
Industrials,"726,382","632,021","642,343","648,972","757,855",,
Mining,"786,600","900,074","708,391","669,504","940,968",,
TOTAL,"1,512,982","1,532,095","1,350,734","1,318,476","1,698,823",,
Value ($'000s),,
Industrials,"2,880,043","2,581,826","2,580,485","2,792,856","3,578,138",,
Mining,"868,732","730,708","626,801","755,888","1,228,899",,
TOTAL,"3,748,775","3,312,534","3,207,286","3,548,744","4,807,037",,
MOVEMENTS:,,
Industrials,,
Up,372,327,259,220,198,,
Down,240,323,338,375,401,,
Steady,167,169,188,194,177,,
TOTAL,779,819,785,789,776,,
Mining,,
Up,221,200,181,168,218,,
Down,187,273,242,240,198,,
Steady,244,248,257,254,247,,
TOTAL,652,721,680,662,663,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"123,181","121,461","166,800","179,428","244,768",,
Put Options,"136,175","218,182","200,558","186,028","258,897",,
TOTAL,"259,356","339,643","367,358","365,456","503,665",,
Value ($'000s),,
Call Options,"4,784","47,266","138,879","10,827","12,948",,
Put Options,"5,283","8,694","10,106","9,119","12,483",,
TOTAL,"10,067","55,960","148,985","19,946","25,431",,
MOVEMENTS:,,
Call Options,,
Up,167,191,74,37,106,,
Down,237,198,337,324,415,,
Steady,16,23,15,12,8,,
TOTAL,420,412,426,373,529,,
Put Options,,
Up,120,90,225,275,398,,
Down,245,347,155,132,161,,
Steady,13,14,19,27,15,,
TOTAL,378,451,399,434,574,,
,
