National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-11-03T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 29,Oct 30,Oct 31,Nov  1,Nov  2,,
Volume ('000s),,
Industrials,"630,202","787,726","871,182","1,027,556","904,591",,
Mining,"833,924","976,202","1,057,049","924,871","818,383",,
TOTAL,"1,464,126","1,763,928","1,928,231","1,952,427","1,722,974",,
Value ($'000s),,
Industrials,"2,032,642","2,492,763","3,341,812","3,437,027","3,350,682",,
Mining,"692,833","695,395","1,126,591","1,040,561","1,029,558",,
TOTAL,"2,725,475","3,188,158","4,468,403","4,477,588","4,380,240",,
MOVEMENTS:,,
Industrials,,
Up,254,245,328,180,292,,
Down,242,262,180,355,226,,
Steady,169,155,165,141,159,,
TOTAL,665,662,673,676,677,,
Mining,,
Up,245,163,270,180,253,,
Down,264,295,237,296,251,,
Steady,222,223,183,216,203,,
TOTAL,731,681,690,692,707,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"219,920","181,347","255,090","248,065","219,962",,
Put Options,"245,284","177,714","248,397","252,004","144,758",,
TOTAL,"465,204","359,061","503,487","500,069","364,720",,
Value ($'000s),,
Call Options,"19,653","12,444","12,296","12,426","15,080",,
Put Options,"6,053","7,796","9,141","9,667","7,902",,
TOTAL,"25,706","20,240","21,437","22,093","22,982",,
MOVEMENTS:,,
Call Options,,
Up,172,142,292,104,145,,
Down,308,311,222,448,311,,
Steady,38,27,27,17,25,,
TOTAL,518,480,541,569,481,,
Put Options,,
Up,169,210,104,358,190,,
Down,266,190,352,151,193,,
Steady,35,40,20,26,22,,
TOTAL,470,440,476,535,405,,
,
