National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-28T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,,
Volume ('000s),,
Industrials,"783,532","718,594","776,997","810,060","965,568",,
Mining,"916,835","869,000","1,010,046","899,985","1,046,335",,
TOTAL,"1,700,367","1,587,594","1,787,043","1,710,045","2,011,903",,
Value ($'000s),,
Industrials,"2,793,364","2,633,040","3,434,860","3,292,418","4,984,304",,
Mining,"1,050,303","798,651","1,132,589","869,308","1,592,875",,
TOTAL,"3,843,667","3,431,691","4,567,449","4,161,726","6,577,179",,
MOVEMENTS:,,
Industrials,,
Up,330,250,261,404,300,,
Down,299,361,337,220,317,,
Steady,199,216,196,167,204,,
TOTAL,828,827,794,791,821,,
Mining,,
Up,229,227,210,255,229,,
Down,250,259,262,190,235,,
Steady,256,241,265,285,280,,
TOTAL,735,727,737,730,744,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"274,871","1,069,283","509,506","685,326","262,596",,
Put Options,"189,676","254,634","297,539","471,263","204,096",,
TOTAL,"464,547","1,323,917","807,045","1,156,589","466,692",,
Value ($'000s),,
Call Options,"25,403","665,234","544,659","182,244","29,095",,
Put Options,"13,947","17,535","28,541","45,344","16,932",,
TOTAL,"39,350","682,769","573,200","227,588","46,027",,
MOVEMENTS:,,
Call Options,,
Up,232,128,51,446,258,,
Down,240,358,462,350,251,,
Steady,19,16,11,24,35,,
TOTAL,491,502,524,820,544,,
Put Options,,
Up,70,184,407,142,108,,
Down,330,277,217,543,376,,
Steady,12,19,22,12,26,,
TOTAL,412,480,646,697,510,,
,
