National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-07-21T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,,
Volume ('000s),,
Industrials,"561,584","602,075","668,313","723,227","696,227",,
Mining,"590,304","624,021","724,473","802,233","723,575",,
TOTAL,"1,151,888","1,226,096","1,392,786","1,525,460","1,419,802",,
Value ($'000s),,
Industrials,"1,870,037","2,412,290","2,422,332","3,140,875","2,781,214",,
Mining,"923,789","972,337","1,107,790","1,440,732","1,045,391",,
TOTAL,"2,793,826","3,384,627","3,530,122","4,581,607","3,826,605",,
MOVEMENTS:,,
Industrials,,
Up,293,294,218,316,286,,
Down,190,190,246,171,214,,
Steady,155,160,166,140,149,,
TOTAL,638,644,630,627,649,,
Mining,,
Up,229,208,149,243,228,,
Down,187,234,306,184,211,,
Steady,207,192,196,211,199,,
TOTAL,623,634,651,638,638,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"220,948","353,924","247,516","413,097","329,535",,
Put Options,"184,870","309,517","302,126","430,525","259,172",,
TOTAL,"405,818","663,441","549,642","843,622","588,707",,
Value ($'000s),,
Call Options,"8,588","16,062","26,124","25,745","178,774",,
Put Options,"8,393","15,527","26,295","29,852","14,830",,
TOTAL,"16,981","31,589","52,419","55,597","193,604",,
MOVEMENTS:,,
Call Options,,
Up,259,398,224,568,377,,
Down,209,239,340,140,195,,
Steady,44,28,24,20,28,,
TOTAL,512,665,588,728,600,,
Put Options,,
Up,100,82,294,68,151,,
Down,388,507,273,518,406,,
Steady,10,19,22,11,36,,
TOTAL,498,608,589,597,593,,
,
