National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-10-12T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  7,Oct  8,Oct  9,Oct 10,Oct 11,,
Volume ('000s),,
Industrials,"537,558","721,178","597,711","647,089","874,592",,
Mining,"391,297","823,965","683,739","665,597","674,203",,
TOTAL,"928,855","1,545,143","1,281,450","1,312,686","1,548,795",,
Value ($'000s),,
Industrials,"1,863,632","2,906,990","2,323,644","2,701,972","3,018,290",,
Mining,"473,153","734,714","635,114","770,864","764,690",,
TOTAL,"2,336,785","3,641,704","2,958,758","3,472,836","3,782,980",,
MOVEMENTS:,,
Industrials,,
Up,177,231,250,272,461,,
Down,342,346,288,276,125,,
Steady,169,133,174,153,130,,
TOTAL,688,710,712,701,716,,
Mining,,
Up,124,135,155,149,240,,
Down,211,229,258,244,165,,
Steady,189,207,184,201,209,,
TOTAL,524,571,597,594,614,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"121,727","173,559","228,950","179,892","241,204",,
Put Options,"133,340","172,912","184,605","137,541","167,763",,
TOTAL,"255,067","346,471","413,555","317,433","408,967",,
Value ($'000s),,
Call Options,"6,527","16,271","9,991","16,547","13,735",,
Put Options,"7,949","13,761","9,173","9,880","11,577",,
TOTAL,"14,476","30,032","19,164","26,427","25,312",,
MOVEMENTS:,,
Call Options,,
Up,60,78,124,110,441,,
Down,345,422,350,382,165,,
Steady,6,15,24,24,17,,
TOTAL,411,515,498,516,623,,
Put Options,,
Up,327,337,209,234,57,,
Down,100,147,222,157,434,,
Steady,24,22,22,31,3,,
TOTAL,451,506,453,422,494,,
,
