National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-01-25T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,,
Volume ('000s),,
Industrials,"683,755","651,607","739,759","972,189","775,179",,
Mining,"760,176","729,350","687,166","625,016","826,104",,
TOTAL,"1,443,931","1,380,957","1,426,925","1,597,205","1,601,283",,
Value ($'000s),,
Industrials,"2,246,637","2,004,995","2,525,283","3,274,287","2,896,745",,
Mining,"795,186","827,048","915,135","907,347","787,778",,
TOTAL,"3,041,823","2,832,043","3,440,418","4,181,634","3,684,523",,
MOVEMENTS:,,
Industrials,,
Up,252,386,262,216,245,,
Down,328,209,308,366,331,,
Steady,163,164,180,160,166,,
TOTAL,743,759,750,742,742,,
Mining,,
Up,211,201,183,147,214,,
Down,169,192,226,218,177,,
Steady,216,213,192,233,199,,
TOTAL,596,606,601,598,590,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"287,713","175,327","174,728","213,983","273,568",,
Put Options,"195,217","185,107","176,874","220,995","293,276",,
TOTAL,"482,930","360,434","351,602","434,978","566,844",,
Value ($'000s),,
Call Options,"270,015","13,577","15,851","11,172","11,217",,
Put Options,"10,004","11,072","7,466","9,041","8,917",,
TOTAL,"280,019","24,649","23,317","20,213","20,134",,
MOVEMENTS:,,
Call Options,,
Up,219,268,177,129,161,,
Down,304,215,307,428,402,,
Steady,25,20,14,22,17,,
TOTAL,548,503,498,579,580,,
Put Options,,
Up,180,126,196,332,293,,
Down,280,289,227,274,233,,
Steady,27,13,17,30,21,,
TOTAL,487,428,440,636,547,,
,
