National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-17T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,,
Volume ('000s),,
Industrials,"577,929","677,849","672,629","775,958","693,951",,
Mining,"837,159","925,357","773,678","870,849","1,060,184",,
TOTAL,"1,415,088","1,603,206","1,446,307","1,646,807","1,754,135",,
Value ($'000s),,
Industrials,"2,381,152","2,989,111","3,671,325","3,750,062","3,543,860",,
Mining,"1,148,040","1,081,121","1,126,564","1,002,692","1,138,624",,
TOTAL,"3,529,192","4,070,232","4,797,889","4,752,754","4,682,484",,
MOVEMENTS:,,
Industrials,,
Up,333,368,326,244,206,,
Down,196,178,226,270,318,,
Steady,146,140,138,153,153,,
TOTAL,675,686,690,667,677,,
Mining,,
Up,254,236,199,223,226,,
Down,148,177,223,179,187,,
Steady,178,177,184,189,188,,
TOTAL,580,590,606,591,601,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"297,209","351,908","227,578","271,154","447,956",,
Put Options,"164,641","178,122","167,812","171,512","234,100",,
TOTAL,"461,850","530,030","395,390","442,666","682,056",,
Value ($'000s),,
Call Options,"31,365","39,936","65,714","134,922","298,573",,
Put Options,"14,910","9,537","9,227","14,178","13,629",,
TOTAL,"46,275","49,473","74,941","149,100","312,202",,
MOVEMENTS:,,
Call Options,,
Up,423,445,330,329,203,,
Down,190,189,248,279,412,,
Steady,23,24,26,30,26,,
TOTAL,636,658,604,638,641,,
Put Options,,
Up,84,40,119,121,326,,
Down,421,474,401,387,299,,
Steady,9,18,32,34,25,,
TOTAL,514,532,552,542,650,,
,
