National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-02-18T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,,
Volume ('000s),,
Industrials,"850,537","995,963","1,030,583","1,046,668","992,891",,
Mining,"1,138,700","1,012,690","933,161","1,052,706","921,062",,
TOTAL,"1,989,237","2,008,653","1,963,744","2,099,374","1,913,953",,
Value ($'000s),,
Industrials,"2,418,260","2,752,153","3,031,569","4,018,324","2,899,920",,
Mining,"1,389,476","1,822,802","1,830,507","1,806,482","1,213,640",,
TOTAL,"3,807,736","4,574,955","4,862,076","5,824,806","4,113,560",,
MOVEMENTS:,,
Industrials,,
Up,303,190,233,146,304,,
Down,213,334,249,366,185,,
Steady,179,155,185,163,185,,
TOTAL,695,679,667,675,674,,
Mining,,
Up,239,210,243,181,291,,
Down,277,335,289,360,248,,
Steady,226,241,213,224,207,,
TOTAL,742,786,745,765,746,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"263,068","342,380","352,697","435,410","495,445",,
Put Options,"167,139","224,712","244,477","347,157","257,720",,
TOTAL,"430,207","567,092","597,174","782,567","753,165",,
Value ($'000s),,
Call Options,"9,057","15,265","14,667","32,205","212,117",,
Put Options,"7,861","8,478","13,200","17,854","11,542",,
TOTAL,"16,918","23,743","27,867","50,059","223,659",,
MOVEMENTS:,,
Call Options,,
Up,260,179,151,47,171,,
Down,229,385,396,574,384,,
Steady,26,22,33,15,43,,
TOTAL,515,586,580,636,598,,
Put Options,,
Up,116,257,234,514,180,,
Down,350,250,273,125,309,,
Steady,26,25,29,17,26,,
TOTAL,492,532,536,656,515,,
,
