National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-02T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 27,Apr 28,Apr 29,Apr 30,May  1,,
Volume ('000s),,
Industrials,"700,931","736,737","849,064","868,903","738,393",,
Mining,"883,276","761,033","805,083","784,955","826,746",,
TOTAL,"1,584,207","1,497,770","1,654,147","1,653,858","1,565,139",,
Value ($'000s),,
Industrials,"3,207,431","3,708,433","4,600,949","4,968,577","3,608,972",,
Mining,"1,059,816","956,473","947,718","927,804","809,847",,
TOTAL,"4,267,247","4,664,906","5,548,667","5,896,381","4,418,819",,
MOVEMENTS:,,
Industrials,,
Up,413,244,217,253,367,,
Down,262,417,469,414,264,,
Steady,180,182,172,186,176,,
TOTAL,855,843,858,853,807,,
Mining,,
Up,175,177,170,155,195,,
Down,147,159,177,202,157,,
Steady,203,237,208,210,202,,
TOTAL,525,573,555,567,554,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"313,059","155,770","163,575","264,504","220,439",,
Put Options,"202,696","137,619","221,401","264,280","117,961",,
TOTAL,"515,755","293,389","384,976","528,784","338,400",,
Value ($'000s),,
Call Options,"73,147","26,021","10,825","13,995","30,514",,
Put Options,"8,456","7,301","9,943","20,995","8,148",,
TOTAL,"81,603","33,322","20,768","34,990","38,662",,
MOVEMENTS:,,
Call Options,,
Up,504,196,93,63,199,,
Down,120,224,390,488,241,,
Steady,9,12,3,8,20,,
TOTAL,633,432,486,559,460,,
Put Options,,
Up,34,104,348,481,140,,
Down,405,263,168,108,234,,
Steady,11,26,12,15,10,,
TOTAL,450,393,528,604,384,,
,
