National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-06-06T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun  1,Jun  2,Jun  3,Jun  4,Jun  5,,
Volume ('000s),,
Industrials,"760,845","896,410","995,642","924,731","844,416",,
Mining,"574,710","743,888","808,790","936,160","766,558",,
TOTAL,"1,335,555","1,640,298","1,804,432","1,860,891","1,610,974",,
Value ($'000s),,
Industrials,"3,156,874","3,559,211","4,381,452","4,306,978","3,538,721",,
Mining,"597,274","764,756","893,395","827,424","591,273",,
TOTAL,"3,754,148","4,323,967","5,274,847","5,134,402","4,129,994",,
MOVEMENTS:,,
Industrials,,
Up,273,227,208,243,308,,
Down,420,465,474,456,372,,
Steady,185,184,199,164,181,,
TOTAL,878,876,881,863,861,,
Mining,,
Up,157,153,158,138,136,,
Down,207,213,207,199,198,,
Steady,239,220,221,227,213,,
TOTAL,603,586,586,564,547,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"93,823","119,597","167,094","206,743","196,207",,
Put Options,"103,255","141,896","175,622","250,905","160,660",,
TOTAL,"197,078","261,493","342,716","457,648","356,867",,
Value ($'000s),,
Call Options,"12,634","8,084","86,315","10,987","18,076",,
Put Options,"6,421","10,054","9,940","13,507","16,251",,
TOTAL,"19,055","18,138","96,255","24,494","34,327",,
MOVEMENTS:,,
Call Options,,
Up,80,47,55,26,37,,
Down,266,299,384,404,382,,
Steady,7,7,4,8,16,,
TOTAL,353,353,443,438,435,,
Put Options,,
Up,211,259,356,407,365,,
Down,150,122,109,51,107,,
Steady,16,24,11,11,9,,
TOTAL,377,405,476,469,481,,
,
