National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-15T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,,
Volume ('000s),,
Industrials,"686,115","586,360","898,226","851,191","684,465",,
Mining,"720,105","662,589","703,568","737,252","755,850",,
TOTAL,"1,406,220","1,248,949","1,601,794","1,588,443","1,440,315",,
Value ($'000s),,
Industrials,"2,200,981","2,343,373","3,528,689","3,190,181","2,565,105",,
Mining,"1,043,644","1,093,311","1,179,709","1,210,666","961,135",,
TOTAL,"3,244,625","3,436,684","4,708,398","4,400,847","3,526,240",,
MOVEMENTS:,,
Industrials,,
Up,259,302,321,266,241,,
Down,253,217,207,242,254,,
Steady,162,153,163,141,154,,
TOTAL,674,672,691,649,649,,
Mining,,
Up,201,210,237,209,225,,
Down,288,264,209,263,216,,
Steady,201,220,224,210,219,,
TOTAL,690,694,670,682,660,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"314,810","485,603","937,954","308,805","237,678",,
Put Options,"254,973","413,171","388,026","226,328","194,466",,
TOTAL,"569,783","898,774","1,325,980","535,133","432,144",,
Value ($'000s),,
Call Options,"20,604","39,859","481,088","36,931","229,566",,
Put Options,"15,817","19,090","21,621","12,024","13,880",,
TOTAL,"36,421","58,949","502,709","48,955","243,446",,
MOVEMENTS:,,
Call Options,,
Up,456,483,530,275,299,,
Down,144,198,186,312,259,,
Steady,29,40,44,18,34,,
TOTAL,629,721,760,605,592,,
Put Options,,
Up,125,137,162,181,104,,
Down,489,503,500,362,379,,
Steady,23,25,32,38,48,,
TOTAL,637,665,694,581,531,,
,
