National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-09T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug  4,Aug  5,Aug  6,Aug  7,Aug  8,,
Volume ('000s),,
Industrials,"539,598","686,076","651,479","751,732","847,139",,
Mining,"825,193","1,710,969","872,787","1,048,177","970,052",,
TOTAL,"1,364,791","2,397,045","1,524,266","1,799,909","1,817,191",,
Value ($'000s),,
Industrials,"1,824,919","3,083,703","2,888,232","3,239,457","3,744,612",,
Mining,"573,560","835,664","1,044,896","843,269","1,141,808",,
TOTAL,"2,398,479","3,919,367","3,933,128","4,082,726","4,886,420",,
MOVEMENTS:,,
Industrials,,
Up,258,249,220,279,194,,
Down,330,353,364,314,440,,
Steady,182,172,183,179,154,,
TOTAL,770,774,767,772,788,,
Mining,,
Up,211,177,156,230,150,,
Down,199,266,256,168,240,,
Steady,201,193,206,214,222,,
TOTAL,611,636,618,612,612,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"93,631","103,032","122,821","142,894","184,134",,
Put Options,"153,807","139,420","158,711","161,079","305,527",,
TOTAL,"247,438","242,452","281,532","303,973","489,661",,
Value ($'000s),,
Call Options,"4,060","4,449","5,241","11,909","14,834",,
Put Options,"6,330","6,772","9,390","7,638","11,893",,
TOTAL,"10,390","11,221","14,631","19,547","26,727",,
MOVEMENTS:,,
Call Options,,
Up,69,68,68,129,103,,
Down,281,280,316,238,458,,
Steady,15,9,8,12,11,,
TOTAL,365,357,392,379,572,,
Put Options,,
Up,247,235,326,207,537,,
Down,153,132,102,178,129,,
Steady,30,28,13,36,19,,
TOTAL,430,395,441,421,685,,
,
