National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-10-06T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  1,Oct  2,Oct  3,Oct  4,Oct  5,,
Volume ('000s),,
Industrials,"374,106","748,465","637,205","782,014","600,310",,
Mining,"574,364","941,307","946,111","1,407,773","1,174,835",,
TOTAL,"948,470","1,689,772","1,583,316","2,189,787","1,775,145",,
Value ($'000s),,
Industrials,"1,250,316","2,437,586","2,197,759","2,587,089","2,263,862",,
Mining,"540,149","885,916","828,496","1,035,262","978,142",,
TOTAL,"1,790,465","3,323,502","3,026,255","3,622,351","3,242,004",,
MOVEMENTS:,,
Industrials,,
Up,206,352,314,313,356,,
Down,223,157,202,198,164,,
Steady,157,153,149,159,171,,
TOTAL,586,662,665,670,691,,
Mining,,
Up,185,279,210,220,295,,
Down,206,215,251,233,200,,
Steady,170,200,225,240,205,,
TOTAL,561,694,686,693,700,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"146,561","259,348","190,920","259,551","272,638",,
Put Options,"101,576","194,690","162,207","211,497","197,954",,
TOTAL,"248,137","454,038","353,127","471,048","470,592",,
Value ($'000s),,
Call Options,"7,841","12,321","8,769","106,298","12,658",,
Put Options,"5,270","8,696","6,139","7,420","7,273",,
TOTAL,"13,111","21,017","14,908","113,718","19,931",,
MOVEMENTS:,,
Call Options,,
Up,195,402,264,333,489,,
Down,187,150,203,240,105,,
Steady,36,26,30,22,26,,
TOTAL,418,578,497,595,620,,
Put Options,,
Up,109,38,81,117,35,,
Down,243,457,329,338,415,,
Steady,30,14,35,20,10,,
TOTAL,382,509,445,475,460,,
,
