National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-29T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,,
Volume ('000s),,
Industrials,"1,357,456","578,737","1,302,661","948,195","997,859",,
Mining,"1,209,650","532,246","732,545","619,659","710,166",,
TOTAL,"2,567,106","1,110,983","2,035,206","1,567,854","1,708,025",,
Value ($'000s),,
Industrials,"7,086,503","2,584,058","6,382,730","5,119,296","5,404,837",,
Mining,"1,101,951","390,098","1,001,460","942,195","1,394,524",,
TOTAL,"8,188,454","2,974,156","7,384,190","6,061,491","6,799,361",,
MOVEMENTS:,,
Industrials,,
Up,74,331,440,569,408,,
Down,752,444,282,178,303,,
Steady,104,155,150,121,169,,
TOTAL,930,930,872,868,880,,
Mining,,
Up,53,103,166,191,225,,
Down,370,242,137,128,96,,
Steady,149,218,177,153,178,,
TOTAL,572,563,480,472,499,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"269,916","381,419","319,278","369,439","250,730",,
Put Options,"583,796","453,237","319,072","501,170","156,118",,
TOTAL,"853,712","834,656","638,350","870,609","406,848",,
Value ($'000s),,
Call Options,"18,477","69,243","223,353","128,551","17,563",,
Put Options,"80,832","195,399","111,295","83,326","15,455",,
TOTAL,"99,309","264,642","334,648","211,877","33,018",,
MOVEMENTS:,,
Call Options,,
Up,15,340,286,403,340,,
Down,415,237,317,287,343,,
Steady,14,22,33,18,17,,
TOTAL,444,599,636,708,700,,
Put Options,,
Up,721,397,314,160,128,,
Down,30,339,451,591,344,,
Steady,5,8,19,7,13,,
TOTAL,756,744,784,758,485,,
,
