National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-07-04T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 29,Jun 30,Jul  1,Jul  2,Jul  3,,
Volume ('000s),,
Industrials,"948,925","1,048,053","815,005","1,120,597","687,940",,
Mining,"817,173","823,751","684,281","604,034","698,728",,
TOTAL,"1,766,098","1,871,804","1,499,286","1,724,631","1,386,668",,
Value ($'000s),,
Industrials,"3,931,011","4,541,056","3,456,583","3,935,707","3,245,323",,
Mining,"791,066","934,510","678,837","720,920","729,623",,
TOTAL,"4,722,077","5,475,566","4,135,420","4,656,627","3,974,946",,
MOVEMENTS:,,
Industrials,,
Up,142,383,439,476,262,,
Down,612,339,246,182,400,,
Steady,158,196,123,178,159,,
TOTAL,912,918,808,836,821,,
Mining,,
Up,118,173,231,188,151,,
Down,301,237,122,121,168,,
Steady,248,257,152,185,187,,
TOTAL,667,667,505,494,506,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"234,982","255,804","167,598","182,347","91,352",,
Put Options,"193,461","178,181","121,590","128,207","110,916",,
TOTAL,"428,443","433,985","289,188","310,554","202,268",,
Value ($'000s),,
Call Options,"17,758","71,021","11,613","10,319","5,388",,
Put Options,"13,256","10,985","9,207","11,201","6,800",,
TOTAL,"31,014","82,006","20,820","21,520","12,188",,
MOVEMENTS:,,
Call Options,,
Up,39,105,183,395,93,,
Down,419,300,225,167,288,,
Steady,2,16,15,7,12,,
TOTAL,460,421,423,569,393,,
Put Options,,
Up,458,279,181,72,220,,
Down,74,157,182,302,121,,
Steady,9,10,5,9,10,,
TOTAL,541,446,368,383,351,,
,
