National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-29T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,,
Volume ('000s),,
Industrials,"580,638","1,427,265","786,989","774,689","757,327",,
Mining,"819,979","831,279","673,949","753,506","770,906",,
TOTAL,"1,400,617","2,258,544","1,460,938","1,528,195","1,528,233",,
Value ($'000s),,
Industrials,"2,673,319","5,121,320","3,073,430","3,225,794","4,241,954",,
Mining,"896,721","1,060,796","685,885","737,535","1,765,075",,
TOTAL,"3,570,040","6,182,116","3,759,315","3,963,329","6,007,029",,
MOVEMENTS:,,
Industrials,,
Up,381,254,426,301,234,,
Down,238,347,201,300,390,,
Steady,179,194,161,194,184,,
TOTAL,798,795,788,795,808,,
Mining,,
Up,187,139,171,142,127,,
Down,161,192,154,210,258,,
Steady,213,207,217,174,181,,
TOTAL,561,538,542,526,566,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"282,538","238,580","300,874","568,379","221,650",,
Put Options,"255,767","274,584","342,972","510,822","253,803",,
TOTAL,"538,305","513,164","643,846","1,079,201","475,453",,
Value ($'000s),,
Call Options,"37,315","19,116","21,766","43,573","15,762",,
Put Options,"26,892","16,704","34,040","49,524","15,195",,
TOTAL,"64,207","35,820","55,806","93,097","30,957",,
MOVEMENTS:,,
Call Options,,
Up,329,96,306,333,115,,
Down,193,318,175,257,380,,
Steady,22,18,18,31,11,,
TOTAL,544,432,499,621,506,,
Put Options,,
Up,141,273,138,257,390,,
Down,315,170,376,384,165,,
Steady,13,13,11,24,16,,
TOTAL,469,456,525,665,571,,
,
