National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-16T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 11,May 12,May 13,May 14,May 15,,
Volume ('000s),,
Industrials,"895,124","1,079,751","1,022,855","1,170,484","1,120,863",,
Mining,"779,383","784,462","861,204","882,181","617,872",,
TOTAL,"1,674,507","1,864,213","1,884,059","2,052,665","1,738,735",,
Value ($'000s),,
Industrials,"3,523,619","5,028,513","4,265,855","4,703,109","4,202,849",,
Mining,"873,160","839,391","805,453","822,999","661,464",,
TOTAL,"4,396,779","5,867,904","5,071,308","5,526,108","4,864,313",,
MOVEMENTS:,,
Industrials,,
Up,332,356,347,291,460,,
Down,324,311,303,350,231,,
Steady,183,164,190,197,166,,
TOTAL,839,831,840,838,857,,
Mining,,
Up,202,160,196,181,156,,
Down,155,166,146,172,197,,
Steady,183,208,215,215,220,,
TOTAL,540,534,557,568,573,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"126,924","188,776","169,171","146,422","123,324",,
Put Options,"151,731","147,771","154,864","123,298","147,734",,
TOTAL,"278,655","336,547","324,035","269,720","271,058",,
Value ($'000s),,
Call Options,"8,196","18,087","19,259","11,650","10,764",,
Put Options,"13,401","13,783","13,528","11,986","12,507",,
TOTAL,"21,597","31,870","32,787","23,636","23,271",,
MOVEMENTS:,,
Call Options,,
Up,76,172,311,142,261,,
Down,326,248,246,275,172,,
Steady,22,20,23,13,25,,
TOTAL,424,440,580,430,458,,
Put Options,,
Up,239,126,113,184,92,,
Down,141,239,294,166,289,,
Steady,16,8,3,19,11,,
TOTAL,396,373,410,369,392,,
,
