National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-06-25T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,,
Volume ('000s),,
Industrials,"1,019,650","1,080,059","1,137,778","1,344,924","1,164,889",,
Mining,"1,479,131","1,296,999","3,339,890","1,157,291","1,226,262",,
TOTAL,"2,498,781","2,377,058","4,477,668","2,502,215","2,391,151",,
Value ($'000s),,
Industrials,"3,367,177","3,197,462","3,742,739","3,805,573","4,548,751",,
Mining,"1,956,187","1,702,337","1,863,647","1,904,813","3,032,434",,
TOTAL,"5,323,364","4,899,799","5,606,386","5,710,386","7,581,185",,
MOVEMENTS:,,
Industrials,,
Up,196,335,370,237,289,,
Down,424,256,222,333,328,,
Steady,194,195,203,227,183,,
TOTAL,814,786,795,797,800,,
Mining,,
Up,167,281,397,238,263,,
Down,525,354,228,374,350,,
Steady,214,245,227,220,243,,
TOTAL,906,880,852,832,856,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"504,329","361,299","1,174,404","636,165","428,351",,
Put Options,"408,091","370,001","487,431","700,665","390,410",,
TOTAL,"912,420","731,300","1,661,835","1,336,830","818,761",,
Value ($'000s),,
Call Options,"117,891","26,585","344,375","275,305","27,330",,
Put Options,"48,085","32,279","32,353","52,083","26,970",,
TOTAL,"165,976","58,864","376,728","327,388","54,300",,
MOVEMENTS:,,
Call Options,,
Up,149,278,399,86,265,,
Down,404,308,213,589,362,,
Steady,33,37,41,23,32,,
TOTAL,586,623,653,698,659,,
Put Options,,
Up,451,245,133,459,213,,
Down,225,422,514,310,324,,
Steady,22,11,12,24,29,,
TOTAL,698,678,659,793,566,,
,
