National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-17T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 12,Jan 13,Jan 14,Jan 15,Jan 16,,
Volume ('000s),,
Industrials,"509,846","607,862","787,644","752,595","774,785",,
Mining,"579,757","675,545","576,480","591,968","616,774",,
TOTAL,"1,089,603","1,283,407","1,364,124","1,344,563","1,391,559",,
Value ($'000s),,
Industrials,"1,946,773","2,352,632","3,203,526","3,621,669","3,225,977",,
Mining,"651,477","806,022","1,035,732","1,109,767","901,491",,
TOTAL,"2,598,250","3,158,654","4,239,258","4,731,436","4,127,468",,
MOVEMENTS:,,
Industrials,,
Up,214,274,253,255,204,,
Down,408,352,362,369,425,,
Steady,178,164,190,171,166,,
TOTAL,800,790,805,795,795,,
Mining,,
Up,168,149,112,128,168,,
Down,163,169,173,178,161,,
Steady,191,181,166,191,186,,
TOTAL,522,499,451,497,515,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"133,752","183,958","246,998","226,013","175,256",,
Put Options,"96,341","203,252","275,509","179,006","182,437",,
TOTAL,"230,093","387,210","522,507","405,019","357,693",,
Value ($'000s),,
Call Options,"13,450","12,767","19,545","11,039","11,553",,
Put Options,"5,770","11,528","15,405","17,130","17,905",,
TOTAL,"19,220","24,295","34,950","28,169","29,458",,
MOVEMENTS:,,
Call Options,,
Up,168,120,102,74,133,,
Down,200,266,342,384,330,,
Steady,12,12,15,12,18,,
TOTAL,380,398,459,470,481,,
Put Options,,
Up,138,220,325,382,345,,
Down,149,150,147,101,104,,
Steady,12,19,13,7,17,,
TOTAL,299,389,485,490,466,,
,
