National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-30T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 20,Apr 21,Apr 27,Apr 28,Apr 29,,
Volume ('000s),,
Industrials,"1,247,501","1,244,512","1,417,256","1,190,012","1,605,901",,
Mining,"1,288,010","1,435,117","1,865,270","2,160,358","1,671,809",,
TOTAL,"2,535,511","2,679,629","3,282,526","3,350,370","3,277,710",,
Value ($'000s),,
Industrials,"2,904,226","2,618,651","3,230,273","3,445,304","4,759,250",,
Mining,"1,869,383","1,931,184","2,812,247","2,153,147","3,496,580",,
TOTAL,"4,773,609","4,549,835","6,042,520","5,598,451","8,255,830",,
MOVEMENTS:,,
Industrials,,
Up,381,408,220,247,188,,
Down,180,203,388,332,406,,
Steady,187,158,193,204,203,,
TOTAL,748,769,801,783,797,,
Mining,,
Up,383,377,213,248,154,,
Down,241,239,464,394,515,,
Steady,234,253,216,233,219,,
TOTAL,858,869,893,875,888,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"50,569","48,786","59,025","98,438","56,499",,
Put Options,"47,787","49,183","53,097","82,278","61,465",,
TOTAL,"98,356","97,969","112,122","180,716","117,964",,
Value ($'000s),,
Call Options,"34,475","20,221","77,135","265,543","34,669",,
Put Options,"16,901","11,193","16,211","24,217","19,658",,
TOTAL,"51,376","31,414","93,346","289,760","54,327",,
MOVEMENTS:,,
Call Options,,
Up,283,481,222,327,78,,
Down,218,125,409,461,560,,
Steady,33,16,24,19,12,,
TOTAL,534,622,655,807,650,,
Put Options,,
Up,110,50,231,242,515,,
Down,401,486,358,503,163,,
Steady,10,13,27,28,18,,
TOTAL,521,549,616,773,696,,
,
