National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-09T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun  4,Jun  5,Jun  6,Jun  7,Jun  8,,
Volume ('000s),,
Industrials,"809,195","905,537","892,205","922,259","1,024,273",,
Mining,"997,119","735,566","716,735","839,769","833,852",,
TOTAL,"1,806,314","1,641,103","1,608,940","1,762,028","1,858,125",,
Value ($'000s),,
Industrials,"2,904,984","2,899,660","2,759,490","3,198,962","3,252,430",,
Mining,"1,515,925","1,273,572","1,225,376","1,272,186","1,540,341",,
TOTAL,"4,420,909","4,173,232","3,984,866","4,471,148","4,792,771",,
MOVEMENTS:,,
Industrials,,
Up,87,318,292,366,189,,
Down,482,199,223,177,322,,
Steady,147,153,175,161,156,,
TOTAL,716,670,690,704,667,,
Mining,,
Up,112,262,283,283,181,,
Down,433,215,187,221,320,,
Steady,185,238,249,216,180,,
TOTAL,730,715,719,720,681,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"338,648","326,117","267,930","383,120","183,404",,
Put Options,"378,675","251,576","186,000","237,024","234,620",,
TOTAL,"717,323","577,693","453,930","620,144","418,024",,
Value ($'000s),,
Call Options,"16,405","15,903","11,650","14,703","13,772",,
Put Options,"47,576","27,018","15,207","17,096","12,708",,
TOTAL,"63,981","42,921","26,857","31,799","26,480",,
MOVEMENTS:,,
Call Options,,
Up,88,349,219,520,158,,
Down,578,244,369,178,310,,
Steady,13,32,42,30,17,,
TOTAL,679,625,630,728,485,,
Put Options,,
Up,684,192,173,70,256,,
Down,91,332,362,491,267,,
Steady,8,18,16,9,15,,
TOTAL,783,542,551,570,538,,
,
