National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-25T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,,
Volume ('000s),,
Industrials,"844,299","913,561","808,035","704,809","769,537",,
Mining,"668,976","603,182","698,539","775,742","943,827",,
TOTAL,"1,513,275","1,516,743","1,506,574","1,480,551","1,713,364",,
Value ($'000s),,
Industrials,"3,096,603","3,361,214","3,646,744","3,480,502","4,898,036",,
Mining,"647,406","792,030","757,516","978,295","1,367,703",,
TOTAL,"3,744,009","4,153,244","4,404,260","4,458,797","6,265,739",,
MOVEMENTS:,,
Industrials,,
Up,204,399,309,334,449,,
Down,496,273,361,340,242,,
Steady,157,183,178,165,165,,
TOTAL,857,855,848,839,856,,
Mining,,
Up,168,151,155,177,216,,
Down,177,192,178,173,161,,
Steady,215,181,182,187,188,,
TOTAL,560,524,515,537,565,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"181,689","339,656","316,611","600,004","425,374",,
Put Options,"148,940","221,953","291,706","506,388","218,238",,
TOTAL,"330,629","561,609","608,317","1,106,392","643,612",,
Value ($'000s),,
Call Options,"58,445","404,782","334,456","162,305","90,683",,
Put Options,"11,275","16,215","32,146","50,053","7,877",,
TOTAL,"69,720","420,997","366,602","212,358","98,560",,
MOVEMENTS:,,
Call Options,,
Up,64,207,88,264,429,,
Down,362,268,359,380,184,,
Steady,8,21,10,25,13,,
TOTAL,434,496,457,669,626,,
Put Options,,
Up,308,131,268,237,35,,
Down,130,259,190,354,375,,
Steady,20,12,28,10,8,,
TOTAL,458,402,486,601,418,,
,
