National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-05T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 31,Nov  1,Nov  2,Nov  3,Nov  4,,
Volume ('000s),,
Industrials,"831,395","615,898","902,555","845,310","785,888",,
Mining,"1,106,634","723,247","737,041","859,094","859,892",,
TOTAL,"1,938,029","1,339,145","1,639,596","1,704,404","1,645,780",,
Value ($'000s),,
Industrials,"2,794,135","2,034,805","3,326,593","2,733,438","2,874,927",,
Mining,"1,696,925","1,163,464","1,529,704","1,550,954","1,687,414",,
TOTAL,"4,491,060","3,198,269","4,856,297","4,284,392","4,562,341",,
MOVEMENTS:,,
Industrials,,
Up,221,145,151,210,375,,
Down,307,365,380,298,169,,
Steady,181,127,130,152,156,,
TOTAL,709,637,661,660,700,,
Mining,,
Up,212,151,159,196,370,,
Down,305,345,361,300,158,,
Steady,215,181,198,228,237,,
TOTAL,732,677,718,724,765,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"264,313","253,469","293,182","242,433","331,351",,
Put Options,"220,381","216,179","296,299","278,694","268,819",,
TOTAL,"484,694","469,648","589,481","521,127","600,170",,
Value ($'000s),,
Call Options,"13,946","17,767","23,372","37,211","17,881",,
Put Options,"13,292","12,757","19,873","32,914","23,183",,
TOTAL,"27,238","30,524","43,245","70,125","41,064",,
MOVEMENTS:,,
Call Options,,
Up,160,49,95,102,436,,
Down,425,466,501,458,219,,
Steady,11,17,21,25,25,,
TOTAL,596,532,617,585,680,,
Put Options,,
Up,293,421,564,423,92,,
Down,281,123,147,173,479,,
Steady,36,9,10,26,6,,
TOTAL,610,553,721,622,577,,
,
