National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-05T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 31,Feb  1,Feb  2,Feb  3,Feb  4,,
Volume ('000s),,
Industrials,"943,061","1,466,216","1,390,836","1,241,944","1,247,843",,
Mining,"1,493,555","1,475,361","1,655,358","1,468,591","1,682,390",,
TOTAL,"2,436,616","2,941,577","3,046,194","2,710,535","2,930,233",,
Value ($'000s),,
Industrials,"2,734,223","3,430,097","3,349,695","2,881,864","3,840,548",,
Mining,"1,866,204","1,907,088","2,378,903","2,068,090","1,687,111",,
TOTAL,"4,600,427","5,337,185","5,728,598","4,949,954","5,527,659",,
MOVEMENTS:,,
Industrials,,
Up,188,306,383,302,378,,
Down,422,272,220,278,218,,
Steady,168,189,179,196,186,,
TOTAL,778,767,782,776,782,,
Mining,,
Up,269,361,425,363,413,,
Down,400,296,257,306,274,,
Steady,227,211,211,210,212,,
TOTAL,896,868,893,879,899,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"38,007","31,643","44,211","48,289","52,667",,
Put Options,"42,165","26,516","33,507","32,244","34,651",,
TOTAL,"80,172","58,159","77,718","80,533","87,318",,
Value ($'000s),,
Call Options,"23,371","19,543","26,505","23,824","24,049",,
Put Options,"19,147","12,187","17,002","9,889","10,376",,
TOTAL,"42,518","31,730","43,507","33,713","34,425",,
MOVEMENTS:,,
Call Options,,
Up,93,179,289,271,435,,
Down,370,247,165,178,106,,
Steady,20,28,32,29,20,,
TOTAL,483,454,486,478,561,,
Put Options,,
Up,376,147,109,122,40,,
Down,154,306,360,310,417,,
Steady,27,13,13,18,8,,
TOTAL,557,466,482,450,465,,
,
