National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-24T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23,,
Volume ('000s),,
Industrials,"1,225,303","910,879","816,339","830,404","589,134",,
Mining,"939,112","769,606","972,444","650,269","494,633",,
TOTAL,"2,164,415","1,680,485","1,788,783","1,480,673","1,083,767",,
Value ($'000s),,
Industrials,"2,909,912","2,644,464","2,565,620","2,441,925","2,514,728",,
Mining,"1,380,159","1,180,338","1,486,299","979,832","1,826,712",,
TOTAL,"4,290,071","3,824,802","4,051,919","3,421,757","4,341,440",,
MOVEMENTS:,,
Industrials,,
Up,76,226,379,172,306,,
Down,552,294,169,329,150,,
Steady,123,170,149,177,136,,
TOTAL,751,690,697,678,592,,
Mining,,
Up,88,192,358,189,267,,
Down,567,311,154,291,156,,
Steady,157,248,232,221,188,,
TOTAL,812,751,744,701,611,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"293,890","346,416","980,857","661,045","412,492",,
Put Options,"314,389","323,237","431,648","592,577","137,214",,
TOTAL,"608,279","669,653","1,412,505","1,253,622","549,706",,
Value ($'000s),,
Call Options,"19,114","126,041","614,480","49,979","22,345",,
Put Options,"38,130","56,552","78,747","82,016","7,955",,
TOTAL,"57,244","182,593","693,227","131,995","30,300",,
MOVEMENTS:,,
Call Options,,
Up,34,74,430,136,319,,
Down,564,511,216,589,282,,
Steady,6,28,24,23,28,,
TOTAL,604,613,670,748,629,,
Put Options,,
Up,563,442,166,467,60,,
Down,118,233,525,358,310,,
Steady,15,29,7,18,7,,
TOTAL,696,704,698,843,377,,
,
