National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-15T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,,
Volume ('000s),,
Industrials,"693,301","1,051,654","700,358","617,136","801,571",,
Mining,"1,239,958","926,434","1,102,773","811,823","1,143,331",,
TOTAL,"1,933,259","1,978,088","1,803,131","1,428,959","1,944,902",,
Value ($'000s),,
Industrials,"2,688,464","2,503,354","2,945,720","2,173,436","2,933,280",,
Mining,"1,470,194","1,049,833","1,121,836","941,046","1,569,515",,
TOTAL,"4,158,658","3,553,187","4,067,556","3,114,482","4,502,795",,
MOVEMENTS:,,
Industrials,,
Up,269,195,319,215,365,,
Down,260,278,174,286,168,,
Steady,159,183,164,177,169,,
TOTAL,688,656,657,678,702,,
Mining,,
Up,302,228,267,193,351,,
Down,195,249,168,247,144,,
Steady,200,201,231,223,218,,
TOTAL,697,678,666,663,713,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"276,017","209,633","244,014","241,270","342,976",,
Put Options,"211,773","226,057","199,347","194,579","219,250",,
TOTAL,"487,790","435,690","443,361","435,849","562,226",,
Value ($'000s),,
Call Options,"27,086","163,568","30,209","11,285","23,478",,
Put Options,"12,155","16,826","12,709","19,507","18,968",,
TOTAL,"39,241","180,394","42,918","30,792","42,446",,
MOVEMENTS:,,
Call Options,,
Up,294,171,379,167,535,,
Down,293,309,182,340,167,,
Steady,13,16,14,14,20,,
TOTAL,600,496,575,521,722,,
Put Options,,
Up,125,174,81,208,57,,
Down,445,387,434,235,521,,
Steady,15,34,10,23,7,,
TOTAL,585,595,525,466,585,,
,
