National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-08T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep  3,Sep  4,Sep  5,Sep  6,Sep  7,,
Volume ('000s),,
Industrials,"627,644","782,253","840,093","980,880","878,558",,
Mining,"983,074","803,956","819,822","965,745","930,831",,
TOTAL,"1,610,718","1,586,209","1,659,915","1,946,625","1,809,389",,
Value ($'000s),,
Industrials,"2,416,966","3,042,847","3,288,760","3,638,911","3,225,706",,
Mining,"1,015,628","1,158,672","1,426,293","1,439,417","1,407,120",,
TOTAL,"3,432,594","4,201,519","4,715,053","5,078,328","4,632,826",,
MOVEMENTS:,,
Industrials,,
Up,303,234,202,316,323,,
Down,243,298,309,212,196,,
Steady,129,160,149,146,162,,
TOTAL,675,692,660,674,681,,
Mining,,
Up,235,189,124,237,287,,
Down,241,290,349,202,178,,
Steady,208,199,212,216,212,,
TOTAL,684,678,685,655,677,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"241,285","268,513","238,221","274,032","309,790",,
Put Options,"266,323","290,607","279,687","221,565","265,648",,
TOTAL,"507,608","559,120","517,908","495,597","575,438",,
Value ($'000s),,
Call Options,"98,472","45,367","12,181","12,804","21,239",,
Put Options,"28,848","31,704","31,938","18,864","18,680",,
TOTAL,"127,320","77,071","44,119","31,668","39,919",,
MOVEMENTS:,,
Call Options,,
Up,288,242,147,322,356,,
Down,261,308,439,201,209,,
Steady,22,21,9,23,30,,
TOTAL,571,571,595,546,595,,
Put Options,,
Up,170,253,480,149,133,,
Down,339,271,170,350,431,,
Steady,22,29,27,13,16,,
TOTAL,531,553,677,512,580,,
,
