National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-03-09T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar  4,Mar  5,Mar  6,Mar  7,Mar  8,,
Volume ('000s),,
Industrials,"934,167","756,491","802,308","854,835","923,642",,
Mining,"880,920","891,936","921,880","768,886","1,040,941",,
TOTAL,"1,815,087","1,648,427","1,724,188","1,623,721","1,964,583",,
Value ($'000s),,
Industrials,"3,065,822","3,777,944","3,990,319","3,586,314","3,526,953",,
Mining,"1,510,052","1,325,103","1,466,671","1,119,798","1,033,968",,
TOTAL,"4,575,874","5,103,047","5,456,990","4,706,112","4,560,921",,
MOVEMENTS:,,
Industrials,,
Up,202,308,371,271,317,,
Down,331,232,180,275,229,,
Steady,171,171,163,154,172,,
TOTAL,704,711,714,700,718,,
Mining,,
Up,120,207,229,199,270,,
Down,307,263,248,277,213,,
Steady,227,211,207,238,228,,
TOTAL,654,681,684,714,711,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"294,248","279,317","300,178","290,304","205,476",,
Put Options,"246,036","231,053","302,128","199,089","181,683",,
TOTAL,"540,284","510,370","602,306","489,393","387,159",,
Value ($'000s),,
Call Options,"152,131","35,445","49,615","167,072","15,212",,
Put Options,"14,355","14,600","18,945","15,742","9,694",,
TOTAL,"166,486","50,045","68,560","182,814","24,906",,
MOVEMENTS:,,
Call Options,,
Up,231,445,629,291,351,,
Down,447,216,134,317,200,,
Steady,17,20,33,25,30,,
TOTAL,695,681,796,633,581,,
Put Options,,
Up,443,246,119,166,82,,
Down,232,399,474,344,402,,
Steady,27,25,16,34,18,,
TOTAL,702,670,609,544,502,,
,
