National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-06T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 28,Apr  2,Apr  3,Apr  4,Apr  5,,
Volume ('000s),,
Industrials,"958,336","698,547","954,547","760,899","710,142",,
Mining,"1,054,956","913,279","957,115","1,121,484","794,124",,
TOTAL,"2,013,292","1,611,826","1,911,662","1,882,383","1,504,266",,
Value ($'000s),,
Industrials,"5,281,014","3,097,774","3,931,157","3,026,920","3,486,734",,
Mining,"2,362,178","1,009,309","1,242,023","1,177,162","1,106,771",,
TOTAL,"7,643,192","4,107,083","5,173,180","4,204,082","4,593,505",,
MOVEMENTS:,,
Industrials,,
Up,236,270,221,135,257,,
Down,293,251,318,405,262,,
Steady,166,177,172,159,163,,
TOTAL,695,698,711,699,682,,
Mining,,
Up,201,169,120,92,225,,
Down,258,311,372,438,221,,
Steady,225,229,212,188,206,,
TOTAL,684,709,704,718,652,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"293,142","154,594","247,709","240,066","187,325",,
Put Options,"279,160","157,889","311,606","288,526","203,550",,
TOTAL,"572,302","312,483","559,315","528,592","390,875",,
Value ($'000s),,
Call Options,"25,044","30,445","15,365","25,204","13,438",,
Put Options,"23,003","14,335","31,259","30,610","19,104",,
TOTAL,"48,047","44,780","46,624","55,814","32,542",,
MOVEMENTS:,,
Call Options,,
Up,226,156,178,126,132,,
Down,424,341,445,522,394,,
Steady,32,24,15,21,14,,
TOTAL,682,521,638,669,540,,
Put Options,,
Up,246,200,451,544,359,,
Down,399,232,252,183,222,,
Steady,25,19,16,17,24,,
TOTAL,670,451,719,744,605,,
,
