National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-11-17T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,,
Volume ('000s),,
Industrials,"691,802","829,864","656,695","769,078","804,258",,
Mining,"761,862","744,235","692,206","880,745","1,016,658",,
TOTAL,"1,453,664","1,574,099","1,348,901","1,649,823","1,820,916",,
Value ($'000s),,
Industrials,"2,856,899","3,360,819","2,608,398","3,276,983","2,821,877",,
Mining,"778,998","990,346","773,226","1,180,314","798,041",,
TOTAL,"3,635,897","4,351,165","3,381,624","4,457,297","3,619,918",,
MOVEMENTS:,,
Industrials,,
Up,225,159,225,155,261,,
Down,263,366,268,350,228,,
Steady,178,152,177,153,168,,
TOTAL,666,677,670,658,657,,
Mining,,
Up,188,140,167,118,203,,
Down,273,343,293,352,281,,
Steady,234,224,221,226,230,,
TOTAL,695,707,681,696,714,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"219,729","301,331","229,642","266,582","238,243",,
Put Options,"232,946","346,940","295,545","346,305","323,465",,
TOTAL,"452,675","648,271","525,187","612,887","561,708",,
Value ($'000s),,
Call Options,"8,803","20,600","15,499","12,208","21,792",,
Put Options,"12,136","21,669","17,514","20,414","28,206",,
TOTAL,"20,939","42,269","33,013","32,622","49,998",,
MOVEMENTS:,,
Call Options,,
Up,200,64,119,59,121,,
Down,292,470,393,538,394,,
Steady,17,9,29,20,24,,
TOTAL,509,543,541,617,539,,
Put Options,,
Up,239,516,330,556,352,,
Down,254,133,226,103,214,,
Steady,36,23,24,27,39,,
TOTAL,529,672,580,686,605,,
,
