Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-11-21T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
20/11/2015,AIA Group Ltd,47.9,,
20/11/2015,Aluminum Corp Of China Ltd,2.53,,
20/11/2015,Bank of China Ltd,3.55,,
20/11/2015,Bank of Communications Co Ltd,5.64,,
20/11/2015,Belle International Holdings Ltd,7.19,,
20/11/2015,BOC Hong Kong Ltd,24.5,,
20/11/2015,Cathay Pacific Airways Ltd,15.22,,
10/03/2015,Cheung Kong  Ltd,153.1,,
20/11/2015,China Coal Energy Co Ltd,3.49,,
20/11/2015,China Construction Bank Corp,5.59,,
20/11/2015,China Life Insurance Co Ltd,28.55,,
20/11/2015,China Merchants Holdings Co Ltd,26.55,,
20/11/2015,China Mobile Ltd,91.75,,
20/11/2015,China Overseas Land & Investment Ltd,26.55,,
20/11/2015,China Petroleum & Chemical Corp,5.07,,
20/11/2015,China Resources Enterprise Ltd,14.98,,
20/11/2015,China Resources Land Ltd,22.05,,
20/11/2015,China Resources Power Holdings Co Ltd,15.58,,
20/11/2015,China Shenhua Energy Co Ltd,12.98,,
20/11/2015,China Unicom  Ltd,10.06,,
20/11/2015,Citic Pacific Ltd,13.92,,
20/11/2015,CLP Holdings Ltd,66.65,,
20/11/2015,Cnooc Ltd,8.55,,
07/08/2015,COSCO Pacific Ltd,10.2,,
20/11/2015,Esprit Holdings Ltd,8.7,,
20/11/2015,Hang Lung Properties Ltd,19.36,,
20/11/2015,Hang Seng Bank Ltd,144.2,,
20/11/2015,Henderson Land Development Co Ltd,49.35,,
20/11/2015,Hengan International Group Co Ltd,79.1,,
20/11/2015,Hong Kong Exchanges And Clearing Ltd,210.8,,
20/11/2015,HSBC Holdings PLC,62.95,,
26/05/2015,Hutchison Whampoa Ltd,115,,
20/11/2015,Industrial and Commercial Bank of China Ltd,4.88,,
20/11/2015,Li & Fung Ltd,5.77,,
20/11/2015,MTR Corp Ltd,37,,
20/11/2015,New World Development Co Ltd,8.07,,
20/11/2015,PetroChina Co Ltd,5.63,,
20/11/2015,Ping An Insurance Co Of China Ltd,44.75,,
20/11/2015,Power Assets Holdings Ltd,73.1,,
20/11/2015,Sino Land Co Ltd,11.98,,
20/11/2015,Sun Hung Kai Properties Ltd,99.6,,
20/11/2015,Swire Pacific Ltd,88.35,,
20/11/2015,Tencent Holdings Ltd,155.1,,
20/11/2015,The Bank Of East Asia Ltd,28.5,,
20/11/2015,The Hong Kong and China Gas Co Ltd,15.8,,
20/11/2015,Wharf Ltd,45.9,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
20/11/2015,adidas AG,88.09,,
20/11/2015,Allianz Se,161.7,,
20/11/2015,BASF SE,77.67,,
20/11/2015,Bayer AG,126.2,,
20/11/2015,Beiersdorf AG,88.75,,
20/11/2015,BMW AG,99.17,,
20/11/2015,COMMERZBANK AG,10.5,,
20/11/2015,Daimler AG,79.25,,
20/11/2015,Deutsche Bank AG,24.405,,
20/11/2015,Deutsche Boerse AG,81.02,,
20/11/2015,Deutsche Lufthansa AG,13.735,,
20/11/2015,Deutsche Post AG,27.035,,
20/11/2015,Deutsche Telekom AG,17.195,,
20/11/2015,EON AG,9.04,,
20/11/2015,Fresenius Medical Care AG & Co Kgaa,79.42,,
20/11/2015,Fresenius SE & Co KGaA,68.54,,
20/11/2015,Heidelbergcement AG,74.51,,
20/11/2015,Henkel AG & Co KGaA,106.85,,
20/11/2015,Infineon Technologies AG,11.92,,
20/11/2015,K+S AG,24.13,,
20/11/2015,Linde AG,166.95,,
20/11/2015,MAN SE,94.11,,
20/11/2015,Merck KGaA,95.99,,
20/11/2015,METRO AG,29.645,,
20/11/2015,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,184.8,,
20/11/2015,Rwe AG,11.465,,
20/11/2015,SAP AG,74.85,,
20/11/2015,Siemens AG,96.11,,
20/11/2015,ThyssenKrupp AG,19.52,,
20/11/2015,Volkswagen AG,108.45,,
20/11/2015,Singapore Telecom,2.501,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
20/11/2015,Advantest Corp,"1,097",,
20/11/2015,AEON Co Ltd,"1,930.5",,
20/11/2015,Ajinomoto Co Inc,"2,852",,
20/11/2015,All Nippon Airways Co Ltd,362.6,,
20/11/2015,Alps Electric Co Ltd,"4,040",,
20/11/2015,Asahi Breweries Ltd,"3,893",,
20/11/2015,Asahi Glass Co Ltd,738,,
20/11/2015,Asahi Kasei Corp,773.6,,
20/11/2015,Astellas Pharma Inc,"1,740.5",,
20/11/2015,Bank Of Yokohama Ltd,776.1,,
20/11/2015,Bridgestone Corp,"4,461",,
20/11/2015,Canon Inc,"3,762",,
20/11/2015,Casio Computer Co Ltd,"2,550",,
20/11/2015,Central Japan Railway Co,"22,795",,
20/11/2015,Chiba Bank Ltd,897,,
20/11/2015,Chiyoda Corp,"1,010",,
20/11/2015,Chubu Electric Power Co Inc,"1,732",,
20/11/2015,Chugai Pharmaceutical Co Ltd,"4,305",,
20/11/2015,Citizen Holdings Co Ltd,928,,
20/11/2015,Comsys Holdings Corp,"1,636",,
20/11/2015,Credit Saison Co Ltd,"2,375",,
27/09/2011,CSK Corp,279,,
20/11/2015,Dai Nippon Printing Co Ltd,"1,224",,
20/11/2015,Daiichi Sankyo Co Ltd,"2,543",,
20/11/2015,Daiichi Sankyo Co Ltd,"2,543",,
20/11/2015,Daikin Industries Ltd,"8,880",,
20/11/2015,Dainippon Screen Mfg Co Ltd,878,,
20/11/2015,Dainippon Sumitomo Pharma Co Ltd,"1,480",,
20/11/2015,Daiwa House Industry Co Ltd,"3,480",,
20/11/2015,Daiwa Securities Group Inc,844,,
20/11/2015,Denki Kagaku Kogyo KK,537,,
20/11/2015,Denso Corp,"5,854",,
20/11/2015,Dentsu Inc,"6,950",,
20/11/2015,DOWA Holdings Co Ltd,930,,
20/11/2015,East Japan Railway Co,"12,195",,
20/11/2015,Ebara Corp,590,,
20/11/2015,Eisai Co Ltd,"7,777",,
20/11/2015,Fanuc Ltd,"22,200",,
20/11/2015,Fast Retailing Co Ltd,"48,210",,
20/11/2015,Fuji Electric Co Ltd,570,,
20/11/2015,Fuji Heavy Industries Ltd,"5,085",,
20/11/2015,Fujifilm Holdings Corp,"5,057",,
20/11/2015,Fujikura Ltd,682,,
20/11/2015,Fujitsu Ltd,614.6,,
20/11/2015,Fukuoka Financial Group Inc,631,,
20/11/2015,Furukawa Co Ltd,254,,
20/11/2015,Furukawa Electric Co Ltd,263,,
20/11/2015,GS Yuasa Corp,457,,
20/11/2015,Heiwa Real Estate Co Ltd,"1,501",,
20/11/2015,Hino Motors Ltd,"1,487",,
20/11/2015,Hitachi Construction Machinery Co Ltd,"1,888",,
20/11/2015,Hitachi Ltd,729.3,,
20/11/2015,Hitachi Zosen Corp,679,,
20/11/2015,Hokuetsu Kishu Paper Co Ltd,819,,
20/11/2015,Honda Motor Co Ltd,"4,036",,
20/11/2015,Ihi Corp,337,,
20/11/2015,Inpex Corp,"1,214.5",,
20/11/2015,Isetan Mitsukoshi Holdings Ltd,"1,886",,
20/11/2015,Isuzu Motors Ltd,"1,394.5",,
20/11/2015,Itochu Corp,"1,545",,
20/11/2015,J.Front Retailing Co Ltd,"2,024",,
20/11/2015,Japan Steel Works Ltd,474,,
20/11/2015,Japan Tobacco Inc,"4,534",,
20/11/2015,JFE Holdings Inc,"1,971.5",,
20/11/2015,JGC CORP,"2,021",,
20/11/2015,Jtekt Corp,"2,235",,
20/11/2015,JX Holdings Inc,499.6,,
20/11/2015,Kajima Corp,709,,
20/11/2015,Kansai Electric Power Co Inc,"1,420.5",,
20/11/2015,Kao Corp,"6,399",,
20/11/2015,Kawasaki Heavy Industries Ltd,488,,
20/11/2015,Kawasaki Kisen Kaisha Ltd,249,,
20/11/2015,Kddi Corp,"3,011",,
20/11/2015,Keio Corp,"1,016",,
20/11/2015,Keisei Electric Railway Co Ltd,"1,527",,
20/11/2015,Kikkoman Corp,"4,065",,
20/11/2015,Kirin Holdings Co Ltd,"1,738.5",,
20/11/2015,Kobe Steel Ltd,146,,
20/11/2015,KOMATSU Ltd,"2,028.5",,
20/11/2015,Konami Corp,"3,065",,
20/11/2015,Konica Minolta Holdings Inc,"1,283",,
20/11/2015,Kubota Corp,"2,005.5",,
20/11/2015,Kuraray Co Ltd,"1,600",,
20/11/2015,Kyocera Corp,"5,908",,
20/11/2015,Kyowa Hakko Kirin Co Ltd,"2,171",,
20/11/2015,Marubeni Corp,707.5,,
26/03/2014,Maruha Nichiro Holdings Inc,170,,
20/11/2015,Marui Group Co Ltd,"1,856",,
20/11/2015,Matsui Securities Co Ltd,"1,134",,
20/11/2015,Mazda Motor Corp,"2,530.5",,
20/11/2015,Meidensha Corp,445,,
20/11/2015,Meiji Holding Co Ltd,"10,330",,
20/11/2015,Minebea Co Ltd,"1,454",,
20/11/2015,Mitsubishi Chemical Hldg Corp,826.2,,
20/11/2015,Mitsubishi Corp,"2,096.5",,
20/11/2015,Mitsubishi Electric Corp,"1,370",,
20/11/2015,Mitsubishi Estate Co Ltd,"2,654.5",,
20/11/2015,Mitsubishi Heavy Industries Ltd,644.6,,
20/11/2015,Mitsubishi Logistics Corp,"1,710",,
20/11/2015,Mitsubishi Materials Corp,438,,
20/11/2015,Mitsubishi Motors Corp,"1,098",,
20/11/2015,Mitsubishi Paper Mills Ltd,89,,
20/11/2015,Mitsubishi UFJ Financial Group Inc,829.3,,
20/11/2015,Mitsui & Co Ltd,"1,536",,
20/11/2015,Mitsui Chemicals Inc,507,,
20/11/2015,Mitsui Engineering and Shipbuilding Co Ltd,202,,
20/11/2015,Mitsui Fudosan Co Ltd,"3,202",,
20/11/2015,Mitsui Mining And Smelting Co Ltd,233,,
20/11/2015,Mitsui OSK Lines Ltd,333,,
20/11/2015,Mitsumi Electric Co Ltd,649,,
20/11/2015,Mizuho Financial Group Inc,261.1,,
26/08/2011,Mizuho Securities Co Ltd,165,,
26/08/2011,Mizuho Trust & Banking Co Ltd,59,,
20/11/2015,Ms&Ad Insurance Group Holding Inc,"3,691",,
20/11/2015,Nec Corp,415,,
20/11/2015,NGK Insulators Ltd,"2,889",,
20/11/2015,Nichirei Corp,842,,
20/11/2015,Nikon Corp,"1,660",,
20/11/2015,Nippon Electric Glass Co Ltd,702,,
20/11/2015,Nippon Express Co Ltd,577,,
20/11/2015,Nippon Kayaku Co Ltd,"1,351",,
25/09/2012,Nippon Light Metal Co Ltd,76,,
20/11/2015,Nippon Meat Packers Inc,"2,412",,
26/03/2013,Nippon Paper Group Inc,"1,466",,
20/11/2015,Nippon Sheet Glass Co Ltd,105,,
20/11/2015,Nippon Soda Co Ltd,786,,
20/11/2015,Nippon Steel Corp,"2,483",,
20/11/2015,Nippon Suisan Kaisha Ltd,418,,
20/11/2015,Nippon Telegraph And Telephone Corp,"4,680",,
20/11/2015,Nippon Yusen KK,318,,
20/11/2015,Nissan Chemical Industries Ltd,"3,230",,
20/11/2015,Nissan Motor Co Ltd,"1,304.5",,
20/11/2015,Nisshin Seifun Group Inc,"1,971",,
25/09/2012,Nisshin Steel Co Ltd,84,,
20/11/2015,Nisshinbo Holdings Inc,"1,517",,
20/11/2015,Nitto Boseki Co Ltd,361,,
20/11/2015,NKSJ Holdings Inc,"4,059",,
20/11/2015,Nomura Hldg Inc,768.5,,
20/11/2015,NSK Ltd,"1,441",,
20/11/2015,Ntn Corp,564,,
20/11/2015,NTT Data Corp,"6,170",,
20/11/2015,NTT Docomo Inc,"2,412.5",,
20/11/2015,Obayashi Corp,"1,123",,
20/11/2015,Odakyu Electric Railway Co Ltd,"1,215",,
20/11/2015,Oji Paper Co Ltd,573,,
