Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
31/10/2014,Eisai Co Ltd,"4,301",,
31/10/2014,Fanuc Ltd,"19,120",,
31/10/2014,Fast Retailing Co Ltd,"40,365",,
31/10/2014,Fuji Electric Co Ltd,479,,
31/10/2014,Fuji Heavy Industries Ltd,"3,599",,
31/10/2014,Fujifilm Holdings Corp,"3,687",,
31/10/2014,Fujikura Ltd,459,,
31/10/2014,Fujitsu Ltd,664.4,,
31/10/2014,Fukuoka Financial Group Inc,562,,
31/10/2014,Furukawa Co Ltd,214,,
31/10/2014,Furukawa Electric Co Ltd,193,,
31/10/2014,GS Yuasa Corp,545,,
31/10/2014,Heiwa Real Estate Co Ltd,"1,792",,
31/10/2014,Hino Motors Ltd,"1,586",,
31/10/2014,Hitachi Construction Machinery Co Ltd,"2,235",,
31/10/2014,Hitachi Ltd,859.1,,
31/10/2014,Hitachi Zosen Corp,579,,
31/10/2014,Hokuetsu Kishu Paper Co Ltd,458,,
31/10/2014,Honda Motor Co Ltd,"3,479",,
31/10/2014,Ihi Corp,527,,
31/10/2014,Inpex Corp,"1,403",,
31/10/2014,Isetan Mitsukoshi Holdings Ltd,"1,495",,
31/10/2014,Isuzu Motors Ltd,"1,432",,
31/10/2014,Itochu Corp,"1,336.5",,
31/10/2014,J.Front Retailing Co Ltd,"1,459",,
31/10/2014,Japan Steel Works Ltd,389,,
31/10/2014,Japan Tobacco Inc,"3,766",,
31/10/2014,JFE Holdings Inc,"2,176",,
31/10/2014,JGC CORP,"2,817.5",,
31/10/2014,Jtekt Corp,"1,731",,
31/10/2014,JX Holdings Inc,475.2,,
31/10/2014,Kajima Corp,492,,
31/10/2014,Kansai Electric Power Co Inc,"1,089.5",,
31/10/2014,Kao Corp,"4,304.5",,
31/10/2014,Kawasaki Heavy Industries Ltd,430,,
31/10/2014,Kawasaki Kisen Kaisha Ltd,250,,
31/10/2014,Kddi Corp,"7,225",,
31/10/2014,Keio Corp,840,,
31/10/2014,Keisei Electric Railway Co Ltd,"1,297",,
31/10/2014,Kikkoman Corp,"2,526",,
31/10/2014,Kirin Holdings Co Ltd,"1,428",,
31/10/2014,Kobe Steel Ltd,175,,
31/10/2014,KOMATSU Ltd,"2,609.5",,
31/10/2014,Konami Corp,"2,202",,
31/10/2014,Konica Minolta Holdings Inc,"1,214",,
31/10/2014,Kubota Corp,"1,737.5",,
31/10/2014,Kuraray Co Ltd,"1,278",,
31/10/2014,Kyocera Corp,"5,045",,
31/10/2014,Kyowa Hakko Kirin Co Ltd,"1,272",,
31/10/2014,Marubeni Corp,708,,
26/03/2014,Maruha Nichiro Holdings Inc,170,,
31/10/2014,Marui Group Co Ltd,928,,
31/10/2014,Matsui Securities Co Ltd,"1,040",,
31/10/2014,Mazda Motor Corp,"2,546",,
31/10/2014,Meidensha Corp,402,,
31/10/2014,Meiji Holding Co Ltd,"9,250",,
31/10/2014,Minebea Co Ltd,"1,478",,
31/10/2014,Mitsubishi Chemical Hldg Corp,545.4,,
31/10/2014,Mitsubishi Corp,"2,163.5",,
31/10/2014,Mitsubishi Electric Corp,"1,396.5",,
31/10/2014,Mitsubishi Estate Co Ltd,"2,795.5",,
31/10/2014,Mitsubishi Heavy Industries Ltd,683.6,,
31/10/2014,Mitsubishi Logistics Corp,"1,665",,
31/10/2014,Mitsubishi Materials Corp,343,,
31/10/2014,Mitsubishi Motors Corp,"1,133",,
31/10/2014,Mitsubishi Paper Mills Ltd,86,,
31/10/2014,Mitsubishi UFJ Financial Group Inc,632.2,,
31/10/2014,Mitsui & Co Ltd,"1,665.5",,
31/10/2014,Mitsui Chemicals Inc,321,,
31/10/2014,Mitsui Engineering and Shipbuilding Co Ltd,236,,
31/10/2014,Mitsui Fudosan Co Ltd,"3,507.5",,
31/10/2014,Mitsui Mining And Smelting Co Ltd,289,,
31/10/2014,Mitsui OSK Lines Ltd,346,,
31/10/2014,Mitsumi Electric Co Ltd,673,,
31/10/2014,Mizuho Financial Group Inc,200,,
26/08/2011,Mizuho Securities Co Ltd,165,,
26/08/2011,Mizuho Trust & Banking Co Ltd,59,,
31/10/2014,Ms&Ad Insurance Group Holding Inc,"2,357.5",,
31/10/2014,Nec Corp,386,,
31/10/2014,NGK Insulators Ltd,"2,368",,
31/10/2014,Nichirei Corp,469,,
31/10/2014,Nikon Corp,"1,502",,
31/10/2014,Nippon Electric Glass Co Ltd,512,,
31/10/2014,Nippon Express Co Ltd,484,,
31/10/2014,Nippon Kayaku Co Ltd,"1,438",,
25/09/2012,Nippon Light Metal Co Ltd,76,,
31/10/2014,Nippon Meat Packers Inc,"2,535",,
26/03/2013,Nippon Paper Group Inc,"1,466",,
31/10/2014,Nippon Sheet Glass Co Ltd,105,,
31/10/2014,Nippon Soda Co Ltd,621,,
31/10/2014,Nippon Steel Corp,290,,
31/10/2014,Nippon Suisan Kaisha Ltd,327,,
31/10/2014,Nippon Telegraph And Telephone Corp,"6,892",,
31/10/2014,Nippon Yusen KK,286,,
31/10/2014,Nissan Chemical Industries Ltd,"2,033",,
31/10/2014,Nissan Motor Co Ltd,997.9,,
31/10/2014,Nisshin Seifun Group Inc,"1,119",,
25/09/2012,Nisshin Steel Co Ltd,84,,
31/10/2014,Nisshinbo Holdings Inc,897,,
31/10/2014,Nitto Boseki Co Ltd,389,,
31/10/2014,NKSJ Holdings Inc,"2,749",,
31/10/2014,Nomura Hldg Inc,674.9,,
31/10/2014,NSK Ltd,"1,423",,
31/10/2014,Ntn Corp,466,,
31/10/2014,NTT Data Corp,"4,265",,
31/10/2014,NTT Docomo Inc,"1,862",,
31/10/2014,Obayashi Corp,760,,
31/10/2014,Odakyu Electric Railway Co Ltd,"1,038",,
31/10/2014,Oji Paper Co Ltd,395,,
31/10/2014,Oki Electric Industry Co Ltd,252,,
31/10/2014,Okuma Corp,780,,
31/10/2014,Olympus Corp,"3,915",,
31/10/2014,Osaka Gas Co Ltd,441,,
31/10/2014,Pacific Metals Co Ltd,345,,
31/10/2014,Panasonic Corp,"1,305",,
31/10/2014,Pioneer Corp,285,,
31/10/2014,Resona Holdings Inc,628.4,,
31/10/2014,Ricoh Co Ltd,"1,148",,
31/10/2014,Sapporo Holdings Ltd,477,,
31/10/2014,Secom Co Ltd,"6,751",,
31/10/2014,Sekisui House Ltd,"1,362",,
31/10/2014,Seven & I Holdings Co Ltd,"4,281",,
31/10/2014,Sharp Corp,274,,
31/10/2014,Shimizu Corp,807,,
31/10/2014,Shin Etsu Chemical Co Ltd,"7,044",,
31/10/2014,Shinsei Bank Ltd,244,,
31/10/2014,Shionogi & Co Ltd,"2,852",,
31/10/2014,Shiseido Co Ltd,"1,834.5",,
31/10/2014,Showa Denko KK,146,,
31/10/2014,Showa Shell Sekiyu KK,945,,
31/10/2014,Sky Perfect Jsat Hldg Inc,677,,
31/10/2014,Softbank Corp,"7,939",,
31/10/2014,Sojitz Corp,164,,
31/10/2014,Sony Corp,"2,072",,
31/10/2014,SumCo Corp,"1,470",,
31/10/2014,Sumitomo Chemical Co Ltd,378,,
31/10/2014,Sumitomo Corp,"1,176",,
31/10/2014,Sumitomo Electric Industries Ltd,"1,480.5",,
31/10/2014,Sumitomo Heavy Industries Ltd,608,,
25/09/2012,Sumitomo Metal Industries Ltd,117,,
31/10/2014,Sumitomo Metal Mining Co Ltd,"1,514",,
31/10/2014,Sumitomo Mitsui Financial Group Inc,"4,399.5",,
31/10/2014,Sumitomo Mitsui Trust Holdings Inc,444,,
31/10/2014,Sumitomo Osaka Cement Co Ltd,344,,
31/10/2014,Sumitomo Realty & Development Co Ltd,"4,094.5",,
31/10/2014,Suzuki Motor Corp,"3,653.5",,
31/10/2014,T&D Holdings Inc,"1,407",,
31/10/2014,Taiheiyo Cement Corp,404,,
31/10/2014,Taisei Corp,615,,
31/10/2014,Taiyo Yuden Co Ltd,"1,117",,
31/10/2014,Takara Holdings Inc,869,,
31/10/2014,Takashimaya Co Ltd,935,,
31/10/2014,Takeda Pharmaceutical Co Ltd,"4,804.5",,
31/10/2014,Tdk Corp,"6,160",,
31/10/2014,Teijin Ltd,269,,
31/10/2014,Terumo Corp,"2,732",,
31/10/2014,The Shizuoka Bank Ltd,"1,135",,
31/10/2014,Tobu Railway Co Ltd,559,,
31/10/2014,Toho Co Ltd,"2,538",,
31/10/2014,Toho Zinc Co Ltd,373,,
31/10/2014,Tokai Carbon Co Ltd,285,,
31/10/2014,Tokio Marine Hldgs Inc,"3,513",,
31/10/2014,Tokyo Dome Corp,466,,
31/10/2014,Tokyo Electric Power Co Incorporated,397,,
31/10/2014,Tokyo Electron Ltd,"6,950",,
31/10/2014,Tokyo Gas Co Ltd,635.8,,
31/10/2014,Tokyo Tatemono Co Ltd,945,,
31/10/2014,Tokyu Corp,728,,
25/09/2013,Tokyu Land Corp,"1,021",,
31/10/2014,Toppan Printing Co Ltd,747,,
31/10/2014,Toray Industries Inc,738.7,,
31/10/2014,Toshiba Corp,483.6,,
31/10/2014,Tosoh Corp,474,,
31/10/2014,Toto Ltd,"1,228",,
31/10/2014,Toyo Seikan Kaisha Ltd,"1,319",,
31/10/2014,Toyobo Co Ltd,158,,
31/10/2014,Toyota Motor Corp,"6,498",,
31/10/2014,Toyota Tsusho Corp,"2,750",,
31/10/2014,Trend Micro Inc,"3,675",,
31/10/2014,Ube Industries Ltd,170,,
31/10/2014,Unitika Ltd,49,,
31/10/2014,Uny Co Ltd,586,,
31/10/2014,West Japan Railway Co,"5,295",,
31/10/2014,Yahoo! Japan Corp,397,,
31/10/2014,Yamaha Corp,"1,501",,
31/10/2014,Yamato Holdings Co Ltd,"2,359.5",,
31/10/2014,Yaskawa Electric Corp,"1,404",,
31/10/2014,Yokogawa Electric Corp,"1,505",,
31/10/2014,Yokohama Rubber Co Ltd,988,,
,
Kuala Lumpur Stock Exchange,
Quoted in Ringgit,
,
Trading date,Company name,Last sale,,
31/10/2014,Ammb Hldg Bhd,6.78,,
31/10/2014,Axiata Group Bhd,7.05,,
31/10/2014,British American Tobacco Bhd,69.5,,
31/10/2014,CIMB Group Holdings Berhad,6.49,,
31/10/2014,Digi.com Bhd,6.19,,
31/10/2014,Gamuda Bhd,5.12,,
31/10/2014,Genting Bhd,9.75,,
31/10/2014,Genting Malaysia Bhd,4.3,,
31/10/2014,Hong Leong Bank Bhd,14.62,,
31/10/2014,Hong Leong Financial Group Bhd,18.1,,
31/10/2014,IOI Corporation Bhd,4.89,,
31/10/2014,Kuala Lumpur Kepong Bhd,23,,
31/10/2014,Malayan Banking Bhd,9.7,,
31/10/2014,Malaysia Marine and Heavy Engineering Holdings Bhd,2.27,,
31/10/2014,Maxis Bhd,6.74,,
