Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,Fanuc Ltd,"13,410",,
17/08/2012,Fast Retailing Co Ltd,"17,920",,
17/08/2012,Fuji Electric Co Ltd,183,,
17/08/2012,Fuji Heavy Industries Ltd,664,,
17/08/2012,Fujifilm Holdings Corp,"1,446",,
17/08/2012,Fujikura Ltd,251,,
17/08/2012,Fujitsu Ltd,321,,
17/08/2012,Fukuoka Financial Group Inc,320,,
17/08/2012,Furukawa Co Ltd,72,,
17/08/2012,Furukawa Electric Co Ltd,167,,
17/08/2012,GS Yuasa Corp,321,,
17/08/2012,Heiwa Real Estate Co Ltd,191,,
17/08/2012,Hino Motors Ltd,584,,
17/08/2012,Hitachi Construction Machinery Co Ltd,"1,510",,
17/08/2012,Hitachi Ltd,478,,
17/08/2012,Hitachi Zosen Corp,91,,
17/08/2012,Hokuetsu Kishu Paper Co Ltd,389,,
17/08/2012,Honda Motor Co Ltd,"2,642",,
17/08/2012,Ihi Corp,177,,
17/08/2012,Inpex Corp,"487,500",,
17/08/2012,Isetan Mitsukoshi Holdings Ltd,848,,
17/08/2012,Isuzu Motors Ltd,418,,
17/08/2012,Itochu Corp,850,,
17/08/2012,J.Front Retailing Co Ltd,394,,
17/08/2012,Japan Steel Works Ltd,458,,
17/08/2012,Japan Tobacco Inc,"2,480",,
17/08/2012,JFE Holdings Inc,"1,144",,
17/08/2012,JGC CORP,"2,522",,
17/08/2012,Jtekt Corp,721,,
17/08/2012,JX Holdings Inc,417,,
17/08/2012,Kajima Corp,225,,
17/08/2012,Kansai Electric Power Co Inc,677,,
17/08/2012,Kao Corp,"2,277",,
17/08/2012,Kawasaki Heavy Industries Ltd,186,,
17/08/2012,Kawasaki Kisen Kaisha Ltd,113,,
17/08/2012,Kddi Corp,"562,000",,
17/08/2012,Keio Corp,603,,
17/08/2012,Keisei Electric Railway Co Ltd,755,,
17/08/2012,Kikkoman Corp,"1,011",,
17/08/2012,Kirin Holdings Co Ltd,979,,
17/08/2012,Kobe Steel Ltd,70,,
17/08/2012,KOMATSU Ltd,"1,791",,
17/08/2012,Konami Corp,"1,791",,
17/08/2012,Konica Minolta Holdings Inc,608,,
17/08/2012,Kubota Corp,760,,
17/08/2012,Kuraray Co Ltd,932,,
17/08/2012,Kyocera Corp,"6,810",,
17/08/2012,Kyowa Hakko Kirin Co Ltd,904,,
17/08/2012,Marubeni Corp,543,,
17/08/2012,Maruha Nichiro Holdings Inc,137,,
17/08/2012,Marui Group Co Ltd,604,,
17/08/2012,Matsui Securities Co Ltd,497,,
17/08/2012,Mazda Motor Corp,97,,
17/08/2012,Meidensha Corp,299,,
17/08/2012,Meiji Holding Co Ltd,"3,590",,
17/08/2012,Minebea Co Ltd,321,,
17/08/2012,Mitsubishi Chemical Hldg Corp,339,,
17/08/2012,Mitsubishi Corp,"1,598",,
17/08/2012,Mitsubishi Electric Corp,683,,
17/08/2012,Mitsubishi Estate Co Ltd,"1,469",,
17/08/2012,Mitsubishi Heavy Industries Ltd,345,,
17/08/2012,Mitsubishi Logistics Corp,909,,
17/08/2012,Mitsubishi Materials Corp,244,,
17/08/2012,Mitsubishi Motors Corp,77,,
17/08/2012,Mitsubishi Paper Mills Ltd,70,,
17/08/2012,Mitsubishi UFJ Financial Group Inc,370,,
17/08/2012,Mitsui & Co Ltd,"1,209",,
17/08/2012,Mitsui Chemicals Inc,184,,
17/08/2012,Mitsui Engineering and Shipbuilding Co Ltd,99,,
17/08/2012,Mitsui Fudosan Co Ltd,"1,564",,
17/08/2012,Mitsui Mining And Smelting Co Ltd,170,,
17/08/2012,Mitsui OSK Lines Ltd,226,,
17/08/2012,Mitsumi Electric Co Ltd,512,,
17/08/2012,Mizuho Financial Group Inc,132,,
26/08/2011,Mizuho Securities Co Ltd,165,,
26/08/2011,Mizuho Trust & Banking Co Ltd,59,,
17/08/2012,Ms&Ad Insurance Group Holding Inc,"1,361",,
17/08/2012,Nec Corp,112,,
17/08/2012,NGK Insulators Ltd,"1,042",,
17/08/2012,Nichirei Corp,418,,
17/08/2012,Nikon Corp,"2,178",,
17/08/2012,Nippon Electric Glass Co Ltd,420,,
17/08/2012,Nippon Express Co Ltd,314,,
17/08/2012,Nippon Kayaku Co Ltd,822,,
17/08/2012,Nippon Light Metal Co Ltd,93,,
17/08/2012,Nippon Meat Packers Inc,"1,056",,
17/08/2012,Nippon Paper Group Inc,"1,104",,
17/08/2012,Nippon Sheet Glass Co Ltd,58,,
17/08/2012,Nippon Soda Co Ltd,345,,
17/08/2012,Nippon Steel Corp,177,,
17/08/2012,Nippon Suisan Kaisha Ltd,185,,
17/08/2012,Nippon Telegraph And Telephone Corp,"3,805",,
17/08/2012,Nippon Yusen KK,177,,
17/08/2012,Nissan Chemical Industries Ltd,933,,
17/08/2012,Nissan Motor Co Ltd,795,,
17/08/2012,Nisshin Seifun Group Inc,957,,
17/08/2012,Nisshin Steel Co Ltd,85,,
17/08/2012,Nisshinbo Holdings Inc,509,,
17/08/2012,Nitto Boseki Co Ltd,281,,
17/08/2012,NKSJ Holdings Inc,"1,580",,
17/08/2012,Nomura Hldg Inc,285,,
17/08/2012,NSK Ltd,530,,
17/08/2012,Ntn Corp,194,,
17/08/2012,NTT Data Corp,"242,000",,
17/08/2012,NTT Docomo Inc,"133,700",,
17/08/2012,Obayashi Corp,354,,
17/08/2012,Odakyu Electric Railway Co Ltd,824,,
17/08/2012,Oji Paper Co Ltd,269,,
17/08/2012,Oki Electric Industry Co Ltd,91,,
17/08/2012,Okuma Corp,486,,
17/08/2012,Olympus Corp,"1,468",,
17/08/2012,Osaka Gas Co Ltd,340,,
17/08/2012,Pacific Metals Co Ltd,284,,
17/08/2012,Panasonic Corp,588,,
17/08/2012,Pioneer Corp,221,,
17/08/2012,Resona Holdings Inc,323,,
17/08/2012,Ricoh Co Ltd,658,,
17/08/2012,Sapporo Holdings Ltd,235,,
17/08/2012,Secom Co Ltd,"3,875",,
17/08/2012,Sekisui House Ltd,749,,
17/08/2012,Seven & I Holdings Co Ltd,"2,569",,
17/08/2012,Sharp Corp,184,,
17/08/2012,Shimizu Corp,257,,
17/08/2012,Shin Etsu Chemical Co Ltd,"4,420",,
17/08/2012,Shinsei Bank Ltd,98,,
17/08/2012,Shionogi & Co Ltd,"1,092",,
17/08/2012,Shiseido Co Ltd,"1,152",,
17/08/2012,Showa Denko KK,141,,
17/08/2012,Showa Shell Sekiyu KK,434,,
17/08/2012,Sky Perfect Jsat Hldg Inc,"34,300",,
17/08/2012,Softbank Corp,"3,135",,
17/08/2012,Sojitz Corp,118,,
17/08/2012,Sony Corp,944,,
17/08/2012,SumCo Corp,642,,
17/08/2012,Sumitomo Chemical Co Ltd,221,,
17/08/2012,Sumitomo Corp,"1,107",,
17/08/2012,Sumitomo Electric Industries Ltd,971,,
17/08/2012,Sumitomo Heavy Industries Ltd,302,,
17/08/2012,Sumitomo Metal Industries Ltd,130,,
17/08/2012,Sumitomo Metal Mining Co Ltd,892,,
17/08/2012,Sumitomo Mitsui Financial Group Inc,"2,514",,
17/08/2012,Sumitomo Mitsui Trust Holdings Inc,227,,
17/08/2012,Sumitomo Osaka Cement Co Ltd,275,,
17/08/2012,Sumitomo Realty & Development Co Ltd,"2,024",,
17/08/2012,Suzuki Motor Corp,"1,566",,
17/08/2012,T&D Holdings Inc,856,,
17/08/2012,Taiheiyo Cement Corp,176,,
17/08/2012,Taisei Corp,224,,
17/08/2012,Taiyo Yuden Co Ltd,752,,
17/08/2012,Takara Holdings Inc,572,,
17/08/2012,Takashimaya Co Ltd,586,,
17/08/2012,Takeda Pharmaceutical Co Ltd,"3,680",,
17/08/2012,Tdk Corp,"3,570",,
17/08/2012,Teijin Ltd,190,,
17/08/2012,Terumo Corp,"3,540",,
17/08/2012,The Shizuoka Bank Ltd,847,,
17/08/2012,Tobu Railway Co Ltd,429,,
17/08/2012,Toho Co Ltd,"1,419",,
17/08/2012,Toho Zinc Co Ltd,284,,
17/08/2012,Tokai Carbon Co Ltd,274,,
17/08/2012,Tokio Marine Hldgs Inc,"1,963",,
17/08/2012,Tokyo Dome Corp,246,,
17/08/2012,Tokyo Electric Power Co Incorporated,152,,
17/08/2012,Tokyo Electron Ltd,"4,000",,
17/08/2012,Tokyo Gas Co Ltd,423,,
17/08/2012,Tokyo Tatemono Co Ltd,292,,
17/08/2012,Tokyu Corp,388,,
17/08/2012,Tokyu Land Corp,399,,
17/08/2012,Toppan Printing Co Ltd,485,,
17/08/2012,Toray Industries Inc,500,,
17/08/2012,Toshiba Corp,278,,
17/08/2012,Tosoh Corp,190,,
17/08/2012,Toto Ltd,599,,
17/08/2012,Toyo Seikan Kaisha Ltd,925,,
17/08/2012,Toyobo Co Ltd,91,,
17/08/2012,Toyota Motor Corp,"3,275",,
17/08/2012,Toyota Tsusho Corp,"1,618",,
17/08/2012,Trend Micro Inc,"2,200",,
17/08/2012,Ube Industries Ltd,187,,
17/08/2012,Unitika Ltd,39,,
17/08/2012,Uny Co Ltd,713,,
17/08/2012,West Japan Railway Co,"3,485",,
17/08/2012,Yahoo! Japan Corp,"27,290",,
17/08/2012,Yamaha Corp,800,,
17/08/2012,Yamato Holdings Co Ltd,"1,306",,
17/08/2012,Yaskawa Electric Corp,547,,
17/08/2012,Yokogawa Electric Corp,893,,
17/08/2012,Yokohama Rubber Co Ltd,593,,
,
Kuala Lumpur Stock Exchange,
Quoted in Ringgit,
,
Trading date,Company name,Last sale,,
17/08/2012,Ammb Hldg Bhd,6.39,,
17/08/2012,Axiata Group Bhd,6,,
17/08/2012,British American Tobacco Bhd,62.2,,
17/08/2012,CIMB Group Holdings Berhad,7.86,,
17/08/2012,Digi.com Bhd,4.99,,
17/08/2012,Gamuda Bhd,3.51,,
17/08/2012,Genting Bhd,9.06,,
17/08/2012,Genting Malaysia Bhd,3.49,,
17/08/2012,Hong Leong Bank Bhd,13.68,,
17/08/2012,Hong Leong Financial Group Bhd,12.54,,
17/08/2012,IOI Corporation Bhd,5.1,,
17/08/2012,Kuala Lumpur Kepong Bhd,23.6,,
17/08/2012,Malayan Banking Bhd,9.05,,
17/08/2012,Malaysia Marine and Heavy Engineering Holdings Bhd,4.78,,
17/08/2012,Maxis Bhd,6.96,,
