Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-09-07T16:45:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
06/09/2013,AIA Group Ltd,35.05,,
06/09/2013,Aluminum Corp Of China Ltd,2.76,,
06/09/2013,Bank of China Ltd,3.45,,
06/09/2013,Bank of Communications Co Ltd,5.49,,
06/09/2013,Belle International Holdings Ltd,10.74,,
06/09/2013,BOC Hong Kong Ltd,25.55,,
06/09/2013,Cathay Pacific Airways Ltd,14.04,,
06/09/2013,Cheung Kong  Ltd,113.5,,
06/09/2013,China Coal Energy Co Ltd,4.92,,
06/09/2013,China Construction Bank Corp,5.95,,
06/09/2013,China Life Insurance Co Ltd,20.55,,
06/09/2013,China Merchants Holdings Co Ltd,26.95,,
06/09/2013,China Mobile Ltd,86,,
06/09/2013,China Overseas Land & Investment Ltd,23.15,,
06/09/2013,China Petroleum & Chemical Corp,6.02,,
06/09/2013,China Resources Enterprise Ltd,23.2,,
06/09/2013,China Resources Land Ltd,21.6,,
06/09/2013,China Resources Power Holdings Co Ltd,17.34,,
06/09/2013,China Shenhua Energy Co Ltd,25.95,,
06/09/2013,China Unicom  Ltd,12.18,,
06/09/2013,Citic Pacific Ltd,9.38,,
06/09/2013,CLP Holdings Ltd,62.65,,
06/09/2013,Cnooc Ltd,15.94,,
06/09/2013,COSCO Pacific Ltd,11.88,,
06/09/2013,Esprit Holdings Ltd,12.68,,
06/09/2013,Hang Lung Properties Ltd,25.45,,
06/09/2013,Hang Seng Bank Ltd,124.7,,
06/09/2013,Henderson Land Development Co Ltd,47.2,,
06/09/2013,Hengan International Group Co Ltd,86.95,,
06/09/2013,Hong Kong Exchanges And Clearing Ltd,125.9,,
06/09/2013,HSBC Holdings PLC,86.35,,
06/09/2013,Hutchison Whampoa Ltd,93.05,,
06/09/2013,Industrial and Commercial Bank of China Ltd,5.28,,
06/09/2013,Li & Fung Ltd,11.32,,
06/09/2013,MTR Corp Ltd,30.1,,
06/09/2013,New World Development Co Ltd,11.66,,
06/09/2013,PetroChina Co Ltd,8.7,,
06/09/2013,Ping An Insurance Co Of China Ltd,57.4,,
06/09/2013,Power Assets Holdings Ltd,68.35,,
06/09/2013,Sino Land Co Ltd,10.98,,
06/09/2013,Sun Hung Kai Properties Ltd,102,,
06/09/2013,Swire Pacific Ltd,92,,
06/09/2013,Tencent Holdings Ltd,387,,
06/09/2013,The Bank Of East Asia Ltd,31.55,,
06/09/2013,The Hong Kong and China Gas Co Ltd,18.32,,
06/09/2013,Wharf Ltd,66.4,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
06/09/2013,adidas AG,79.84,,
06/09/2013,Allianz Se,112,,
06/09/2013,BASF SE,66.85,,
06/09/2013,Bayer AG,83.46,,
06/09/2013,Beiersdorf AG,64.84,,
06/09/2013,BMW AG,77.7,,
06/09/2013,COMMERZBANK AG,8.806,,
06/09/2013,Daimler AG,54.56,,
06/09/2013,Deutsche Bank AG,33.865,,
06/09/2013,Deutsche Boerse AG,54.21,,
06/09/2013,Deutsche Lufthansa AG,12.96,,
06/09/2013,Deutsche Post AG,22.715,,
06/09/2013,Deutsche Telekom AG,9.634,,
06/09/2013,EON AG,12.705,,
06/09/2013,Fresenius Medical Care AG & Co Kgaa,48.3,,
06/09/2013,Fresenius SE & Co KGaA,87.95,,
06/09/2013,Heidelbergcement AG,54.21,,
06/09/2013,Henkel AG & Co KGaA,72.55,,
06/09/2013,Infineon Technologies AG,7.126,,
06/09/2013,K+S AG,18.81,,
06/09/2013,Linde AG,145.9,,
06/09/2013,MAN SE,86.87,,
06/09/2013,Merck KGaA,111.8,,
06/09/2013,METRO AG,28.45,,
06/09/2013,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,135.05,,
06/09/2013,Rwe AG,23.275,,
06/09/2013,SAP AG,53.81,,
06/09/2013,Siemens AG,87.15,,
06/09/2013,ThyssenKrupp AG,15.865,,
06/09/2013,Volkswagen AG,171.8,,
06/09/2013,Singapore Telecom,2.014,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
06/09/2013,Advantest Corp,"1,264",,
06/09/2013,AEON Co Ltd,"1,351",,
06/09/2013,Ajinomoto Co Inc,"1,242",,
06/09/2013,All Nippon Airways Co Ltd,207,,
06/09/2013,Alps Electric Co Ltd,739,,
06/09/2013,Asahi Breweries Ltd,"2,491",,
06/09/2013,Asahi Glass Co Ltd,589,,
06/09/2013,Asahi Kasei Corp,735,,
06/09/2013,Astellas Pharma Inc,"5,190",,
06/09/2013,Bank Of Yokohama Ltd,519,,
06/09/2013,Bridgestone Corp,"3,415",,
06/09/2013,Canon Inc,"3,100",,
06/09/2013,Casio Computer Co Ltd,828,,
06/09/2013,Central Japan Railway Co,"11,750",,
06/09/2013,Chiba Bank Ltd,683,,
06/09/2013,Chiyoda Corp,"1,110",,
06/09/2013,Chubu Electric Power Co Inc,"1,327",,
06/09/2013,Chugai Pharmaceutical Co Ltd,"2,082",,
06/09/2013,Citizen Holdings Co Ltd,631,,
06/09/2013,Comsys Holdings Corp,"1,271",,
06/09/2013,Credit Saison Co Ltd,"2,357",,
27/09/2011,CSK Corp,279,,
06/09/2013,Dai Nippon Printing Co Ltd,994,,
06/09/2013,Daiichi Sankyo Co Ltd,"1,798",,
06/09/2013,Daiichi Sankyo Co Ltd,"1,798",,
06/09/2013,Daikin Industries Ltd,"4,795",,
06/09/2013,Dainippon Screen Mfg Co Ltd,470,,
06/09/2013,Dainippon Sumitomo Pharma Co Ltd,"1,275",,
06/09/2013,Daiwa House Industry Co Ltd,"1,803",,
06/09/2013,Daiwa Securities Group Inc,851,,
06/09/2013,Denki Kagaku Kogyo KK,375,,
06/09/2013,Denso Corp,"4,670",,
06/09/2013,Dentsu Inc,"3,260",,
06/09/2013,DOWA Holdings Co Ltd,938,,
06/09/2013,East Japan Railway Co,"7,970",,
06/09/2013,Ebara Corp,536,,
06/09/2013,Eisai Co Ltd,"4,135",,
06/09/2013,Fanuc Ltd,"16,080",,
06/09/2013,Fast Retailing Co Ltd,"32,950",,
06/09/2013,Fuji Electric Co Ltd,374,,
06/09/2013,Fuji Heavy Industries Ltd,"2,536",,
06/09/2013,Fujifilm Holdings Corp,"2,225",,
06/09/2013,Fujikura Ltd,338,,
06/09/2013,Fujitsu Ltd,357,,
06/09/2013,Fukuoka Financial Group Inc,429,,
06/09/2013,Furukawa Co Ltd,202,,
06/09/2013,Furukawa Electric Co Ltd,203,,
06/09/2013,GS Yuasa Corp,490,,
06/09/2013,Heiwa Real Estate Co Ltd,"1,624",,
06/09/2013,Hino Motors Ltd,"1,311",,
06/09/2013,Hitachi Construction Machinery Co Ltd,"2,023",,
06/09/2013,Hitachi Ltd,590,,
06/09/2013,Hitachi Zosen Corp,146,,
06/09/2013,Hokuetsu Kishu Paper Co Ltd,427,,
06/09/2013,Honda Motor Co Ltd,"3,785",,
06/09/2013,Ihi Corp,396,,
06/09/2013,Inpex Corp,"463,500",,
06/09/2013,Isetan Mitsukoshi Holdings Ltd,"1,342",,
06/09/2013,Isuzu Motors Ltd,591,,
06/09/2013,Itochu Corp,"1,141",,
06/09/2013,J.Front Retailing Co Ltd,790,,
06/09/2013,Japan Steel Works Ltd,539,,
06/09/2013,Japan Tobacco Inc,"3,385",,
06/09/2013,JFE Holdings Inc,"2,438",,
06/09/2013,JGC CORP,"3,570",,
06/09/2013,Jtekt Corp,"1,353",,
06/09/2013,JX Holdings Inc,538,,
06/09/2013,Kajima Corp,361,,
06/09/2013,Kansai Electric Power Co Inc,"1,251",,
06/09/2013,Kao Corp,"2,940",,
06/09/2013,Kawasaki Heavy Industries Ltd,361,,
06/09/2013,Kawasaki Kisen Kaisha Ltd,238,,
06/09/2013,Kddi Corp,"4,895",,
06/09/2013,Keio Corp,689,,
06/09/2013,Keisei Electric Railway Co Ltd,978,,
06/09/2013,Kikkoman Corp,"1,727",,
06/09/2013,Kirin Holdings Co Ltd,"1,366",,
06/09/2013,Kobe Steel Ltd,164,,
06/09/2013,KOMATSU Ltd,"2,223",,
