Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Friday at 2011-12-30T17:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
23/12/2011,AIA Group Ltd,24.15,,
23/12/2011,Aluminum Corp Of China Ltd,3.48,,
23/12/2011,Bank of China Ltd,2.92,,
23/12/2011,Bank of Communications Co Ltd,5.53,,
23/12/2011,Belle International Holdings Ltd,13.86,,
23/12/2011,BOC Hong Kong Ltd,18.58,,
23/12/2011,Cathay Pacific Airways Ltd,13.24,,
23/12/2011,Cheung Kong  Ltd,92.95,,
23/12/2011,China Coal Energy Co Ltd,8.67,,
23/12/2011,China Construction Bank Corp,5.52,,
23/12/2011,China Life Insurance Co Ltd,19.28,,
23/12/2011,China Merchants Holdings Co Ltd,23.65,,
23/12/2011,China Mobile Ltd,74.3,,
23/12/2011,China Overseas Land & Investment Ltd,14.22,,
23/12/2011,China Petroleum & Chemical Corp,8.31,,
23/12/2011,China Resources Enterprise Ltd,27.4,,
23/12/2011,China Resources Land Ltd,13.2,,
23/12/2011,China Resources Power Holdings Co Ltd,14.68,,
23/12/2011,China Shenhua Energy Co Ltd,34.6,,
23/12/2011,China Unicom  Ltd,16.52,,
23/12/2011,Citic Pacific Ltd,13.76,,
23/12/2011,CLP Holdings Ltd,66.05,,
23/12/2011,Cnooc Ltd,13.72,,
23/12/2011,COSCO Pacific Ltd,9.14,,
23/12/2011,Esprit Holdings Ltd,10.26,,
23/12/2011,Hang Lung Properties Ltd,22.75,,
23/12/2011,Hang Seng Bank Ltd,93.1,,
23/12/2011,Henderson Land Development Co Ltd,37.3,,
23/12/2011,Hengan International Group Co Ltd,74,,
23/12/2011,Hong Kong Exchanges And Clearing Ltd,126.1,,
23/12/2011,HSBC Holdings PLC,59.8,,
23/12/2011,Hutchison Whampoa Ltd,66,,
23/12/2011,Industrial and Commercial Bank of China Ltd,4.86,,
23/12/2011,Li & Fung Ltd,14.32,,
23/12/2011,MTR Corp Ltd,25.2,,
23/12/2011,New World Development Co Ltd,6.26,,
23/12/2011,PetroChina Co Ltd,9.48,,
23/12/2011,Ping An Insurance Co Of China Ltd,51.95,,
23/12/2011,Power Assets Holdings Ltd,57.05,,
23/12/2011,Sino Land Co Ltd,10.6,,
23/12/2011,Sun Hung Kai Properties Ltd,97.6,,
23/12/2011,Swire Pacific Ltd,93.65,,
23/12/2011,Tencent Holdings Ltd,159,,
23/12/2011,The Bank Of East Asia Ltd,28.6,,
23/12/2011,The Hong Kong and China Gas Co Ltd,18,,
23/12/2011,Wharf Ltd,35.65,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
23/12/2011,adidas AG,50.29,,
23/12/2011,Allianz Se,75.97,,
23/12/2011,BASF SE,52.83,,
23/12/2011,Bayer AG,48.135,,
23/12/2011,Beiersdorf AG,43.585,,
23/12/2011,BMW AG,52.5,,
23/12/2011,COMMERZBANK AG,1.341,,
23/12/2011,Daimler AG,34.39,,
23/12/2011,Deutsche Bank AG,29.795,,
23/12/2011,Deutsche Boerse AG,41.69,,
23/12/2011,Deutsche Lufthansa AG,9.179,,
23/12/2011,Deutsche Post AG,11.655,,
23/12/2011,Deutsche Telekom AG,8.822,,
23/12/2011,EON AG,16.655,,
23/12/2011,Fresenius Medical Care AG & Co Kgaa,51.99,,
23/12/2011,Fresenius SE & Co KGaA,71.49,,
23/12/2011,Heidelbergcement AG,32.37,,
23/12/2011,Henkel AG & Co KGaA,44.435,,
23/12/2011,Infineon Technologies AG,5.818,,
23/12/2011,K+S AG,35.22,,
23/12/2011,Linde AG,113.25,,
23/12/2011,MAN SE,67.41,,
23/12/2011,Merck KGaA,76.75,,
23/12/2011,METRO AG,28.155,,
23/12/2011,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,93.7,,
23/12/2011,Rwe AG,27.585,,
23/12/2011,SAP AG,40.56,,
23/12/2011,Siemens AG,72.67,,
23/12/2011,ThyssenKrupp AG,17.705,,
23/12/2011,Volkswagen AG,117.9,,
23/12/2011,Singapore Telecom,1.805,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
22/12/2011,Advantest Corp,740,,
22/12/2011,AEON Co Ltd,"1,062",,
22/12/2011,Ajinomoto Co Inc,932,,
22/12/2011,All Nippon Airways Co Ltd,220,,
22/12/2011,Alps Electric Co Ltd,525,,
22/12/2011,Asahi Breweries Ltd,"1,694",,
22/12/2011,Asahi Glass Co Ltd,660,,
22/12/2011,Asahi Kasei Corp,457,,
22/12/2011,Astellas Pharma Inc,"3,085",,
22/12/2011,Bank Of Yokohama Ltd,369,,
22/12/2011,Bridgestone Corp,"1,700",,
22/12/2011,Canon Inc,"3,415",,
22/12/2011,Casio Computer Co Ltd,467,,
22/12/2011,Central Japan Railway Co,"651,000",,
22/12/2011,Chiba Bank Ltd,494,,
22/12/2011,Chiyoda Corp,748,,
22/12/2011,Chubu Electric Power Co Inc,"1,451",,
22/12/2011,Chugai Pharmaceutical Co Ltd,"1,276",,
22/12/2011,Citizen Holdings Co Ltd,445,,
22/12/2011,Comsys Holdings Corp,793,,
22/12/2011,Credit Saison Co Ltd,"1,519",,
27/09/2011,CSK Corp,279,,
22/12/2011,Dai Nippon Printing Co Ltd,751,,
22/12/2011,Daiichi Sankyo Co Ltd,"1,519",,
22/12/2011,Daiichi Sankyo Co Ltd,"1,519",,
22/12/2011,Daikin Industries Ltd,"2,081",,
22/12/2011,Dainippon Screen Mfg Co Ltd,629,,
22/12/2011,Dainippon Sumitomo Pharma Co Ltd,871,,
22/12/2011,Daiwa House Industry Co Ltd,914,,
22/12/2011,Daiwa Securities Group Inc,244,,
22/12/2011,Denki Kagaku Kogyo KK,283,,
22/12/2011,Denso Corp,"2,077",,
22/12/2011,Dentsu Inc,"2,316",,
22/12/2011,DOWA Holdings Co Ltd,481,,
22/12/2011,East Japan Railway Co,"4,820",,
22/12/2011,Ebara Corp,270,,
22/12/2011,Eisai Co Ltd,"3,155",,
22/12/2011,Fanuc Ltd,"11,450",,
22/12/2011,Fast Retailing Co Ltd,"13,600",,
22/12/2011,Fuji Electric Co Ltd,214,,
22/12/2011,Fuji Heavy Industries Ltd,460,,
22/12/2011,Fujifilm Holdings Corp,"1,824",,
22/12/2011,Fujikura Ltd,223,,
22/12/2011,Fujitsu Ltd,397,,
22/12/2011,Fukuoka Financial Group Inc,321,,
22/12/2011,Furukawa Co Ltd,63,,
22/12/2011,Furukawa Electric Co Ltd,177,,
22/12/2011,GS Yuasa Corp,412,,
22/12/2011,Heiwa Real Estate Co Ltd,161,,
22/12/2011,Hino Motors Ltd,456,,
22/12/2011,Hitachi Construction Machinery Co Ltd,"1,288",,
22/12/2011,Hitachi Ltd,403,,
22/12/2011,Hitachi Zosen Corp,99,,
22/12/2011,Hokuetsu Kishu Paper Co Ltd,515,,
22/12/2011,Honda Motor Co Ltd,"2,325",,
22/12/2011,Ihi Corp,183,,
22/12/2011,Inpex Corp,"486,000",,
22/12/2011,Isetan Mitsukoshi Holdings Ltd,799,,
22/12/2011,Isuzu Motors Ltd,352,,
22/12/2011,Itochu Corp,761,,
22/12/2011,J.Front Retailing Co Ltd,360,,
22/12/2011,Japan Steel Works Ltd,517,,
22/12/2011,Japan Tobacco Inc,"363,000",,
22/12/2011,JFE Holdings Inc,"1,387",,
22/12/2011,JGC CORP,"1,809",,
22/12/2011,Jtekt Corp,724,,
22/12/2011,JX Holdings Inc,455,,
22/12/2011,Kajima Corp,228,,
22/12/2011,Kansai Electric Power Co Inc,"1,154",,
22/12/2011,Kao Corp,"2,042",,
22/12/2011,Kawasaki Heavy Industries Ltd,192,,
22/12/2011,Kawasaki Kisen Kaisha Ltd,140,,
22/12/2011,Kddi Corp,"492,000",,
22/12/2011,Keio Corp,546,,
22/12/2011,Keisei Electric Railway Co Ltd,574,,
22/12/2011,Kikkoman Corp,882,,
22/12/2011,Kirin Holdings Co Ltd,939,,
22/12/2011,Kobe Steel Ltd,118,,
22/12/2011,KOMATSU Ltd,"1,817",,
22/12/2011,Konami Corp,"2,278",,
22/12/2011,Konica Minolta Holdings Inc,575,,
22/12/2011,Kubota Corp,623,,
22/12/2011,Kuraray Co Ltd,"1,074",,
22/12/2011,Kyocera Corp,"6,140",,
22/12/2011,Kyowa Hakko Kirin Co Ltd,942,,
22/12/2011,Marubeni Corp,455,,
22/12/2011,Maruha Nichiro Holdings Inc,138,,
22/12/2011,Marui Group Co Ltd,594,,
22/12/2011,Matsui Securities Co Ltd,385,,
22/12/2011,Mazda Motor Corp,136,,
22/12/2011,Meidensha Corp,263,,
22/12/2011,Meiji Holding Co Ltd,"3,195",,
22/12/2011,Minebea Co Ltd,313,,
22/12/2011,Mitsubishi Chemical Hldg Corp,429,,
22/12/2011,Mitsubishi Corp,"1,514",,
22/12/2011,Mitsubishi Electric Corp,703,,
22/12/2011,Mitsubishi Estate Co Ltd,"1,192",,
22/12/2011,Mitsubishi Heavy Industries Ltd,326,,
22/12/2011,Mitsubishi Logistics Corp,850,,
22/12/2011,Mitsubishi Materials Corp,205,,
22/12/2011,Mitsubishi Motors Corp,91,,
22/12/2011,Mitsubishi Paper Mills Ltd,70,,
22/12/2011,Mitsubishi UFJ Financial Group Inc,326,,
22/12/2011,Mitsui & Co Ltd,"1,176",,
22/12/2011,Mitsui Chemicals Inc,245,,
22/12/2011,Mitsui Engineering and Shipbuilding Co Ltd,120,,
22/12/2011,Mitsui Fudosan Co Ltd,"1,153",,
22/12/2011,Mitsui Mining And Smelting Co Ltd,199,,
22/12/2011,Mitsui OSK Lines Ltd,296,,
22/12/2011,Mitsumi Electric Co Ltd,575,,
22/12/2011,Mizuho Financial Group Inc,104,,
26/08/2011,Mizuho Securities Co Ltd,165,,
26/08/2011,Mizuho Trust & Banking Co Ltd,59,,
22/12/2011,Ms&Ad Insurance Group Holding Inc,"1,431",,
22/12/2011,Nec Corp,154,,
22/12/2011,NGK Insulators Ltd,915,,
22/12/2011,Nichirei Corp,374,,
22/12/2011,Nikon Corp,"1,691",,
22/12/2011,Nippon Electric Glass Co Ltd,732,,
22/12/2011,Nippon Express Co Ltd,298,,
22/12/2011,Nippon Kayaku Co Ltd,745,,
22/12/2011,Nippon Light Metal Co Ltd,99,,
22/12/2011,Nippon Meat Packers Inc,969,,
22/12/2011,Nippon Paper Group Inc,"1,651",,
