Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-11-19T16:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
16/11/2012,AIA Group Ltd,30.1,,
16/11/2012,Aluminum Corp Of China Ltd,3.31,,
16/11/2012,Bank of China Ltd,3.14,,
16/11/2012,Bank of Communications Co Ltd,5.34,,
16/11/2012,Belle International Holdings Ltd,14.58,,
16/11/2012,BOC Hong Kong Ltd,23.4,,
16/11/2012,Cathay Pacific Airways Ltd,13.56,,
16/11/2012,Cheung Kong  Ltd,112.4,,
16/11/2012,China Coal Energy Co Ltd,7.39,,
16/11/2012,China Construction Bank Corp,5.69,,
16/11/2012,China Life Insurance Co Ltd,22.15,,
16/11/2012,China Merchants Holdings Co Ltd,23.25,,
16/11/2012,China Mobile Ltd,84.85,,
16/11/2012,China Overseas Land & Investment Ltd,20.75,,
16/11/2012,China Petroleum & Chemical Corp,7.85,,
16/11/2012,China Resources Enterprise Ltd,25.85,,
16/11/2012,China Resources Land Ltd,18.66,,
16/11/2012,China Resources Power Holdings Co Ltd,16.86,,
16/11/2012,China Shenhua Energy Co Ltd,30.75,,
16/11/2012,China Unicom  Ltd,11.48,,
16/11/2012,Citic Pacific Ltd,9.92,,
16/11/2012,CLP Holdings Ltd,66.15,,
16/11/2012,Cnooc Ltd,15.98,,
16/11/2012,COSCO Pacific Ltd,10.14,,
16/11/2012,Esprit Holdings Ltd,12.16,,
16/11/2012,Hang Lung Properties Ltd,26.4,,
16/11/2012,Hang Seng Bank Ltd,114.9,,
16/11/2012,Henderson Land Development Co Ltd,53,,
16/11/2012,Hengan International Group Co Ltd,70.1,,
16/11/2012,Hong Kong Exchanges And Clearing Ltd,123,,
16/11/2012,HSBC Holdings PLC,73.95,,
16/11/2012,Hutchison Whampoa Ltd,76.35,,
16/11/2012,Industrial and Commercial Bank of China Ltd,5.02,,
16/11/2012,Li & Fung Ltd,12.06,,
16/11/2012,MTR Corp Ltd,29.7,,
16/11/2012,New World Development Co Ltd,11.86,,
16/11/2012,PetroChina Co Ltd,10.14,,
16/11/2012,Ping An Insurance Co Of China Ltd,59.6,,
16/11/2012,Power Assets Holdings Ltd,66.85,,
16/11/2012,Sino Land Co Ltd,13.1,,
16/11/2012,Sun Hung Kai Properties Ltd,114.1,,
16/11/2012,Swire Pacific Ltd,92.8,,
16/11/2012,Tencent Holdings Ltd,248.2,,
16/11/2012,The Bank Of East Asia Ltd,28.55,,
16/11/2012,The Hong Kong and China Gas Co Ltd,20.2,,
16/11/2012,Wharf Ltd,53.6,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
16/11/2012,adidas AG,62.61,,
16/11/2012,Allianz Se,92.4,,
16/11/2012,BASF SE,62.5,,
16/11/2012,Bayer AG,65.32,,
16/11/2012,Beiersdorf AG,58.24,,
16/11/2012,BMW AG,61.99,,
16/11/2012,COMMERZBANK AG,1.242,,
16/11/2012,Daimler AG,35.385,,
16/11/2012,Deutsche Bank AG,32.155,,
16/11/2012,Deutsche Boerse AG,41.145,,
16/11/2012,Deutsche Lufthansa AG,11.685,,
16/11/2012,Deutsche Post AG,14.885,,
16/11/2012,Deutsche Telekom AG,8.164,,
16/11/2012,EON AG,13.82,,
16/11/2012,Fresenius Medical Care AG & Co Kgaa,51.59,,
16/11/2012,Fresenius SE & Co KGaA,84.3,,
16/11/2012,Heidelbergcement AG,38.41,,
16/11/2012,Henkel AG & Co KGaA,58.41,,
16/11/2012,Infineon Technologies AG,5.37,,
16/11/2012,K+S AG,32.99,,
16/11/2012,Linde AG,125.25,,
16/11/2012,MAN SE,77.7,,
16/11/2012,Merck KGaA,97.14,,
16/11/2012,METRO AG,20.35,,
16/11/2012,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,124.9,,
16/11/2012,Rwe AG,31.705,,
16/11/2012,SAP AG,55.51,,
16/11/2012,Siemens AG,76.62,,
16/11/2012,ThyssenKrupp AG,15.96,,
16/11/2012,Volkswagen AG,151.25,,
16/11/2012,Singapore Telecom,1.934,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
16/11/2012,Advantest Corp,"1,057",,
16/11/2012,AEON Co Ltd,878,,
