Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2012-10-30T16:30:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
29/10/2012,OJI Paper,232,,
29/10/2012,OKI Electric,82,,
29/10/2012,Olympus,"1,363",,
29/10/2012,Osaka Gas,328,,
29/10/2012,Panasonic,492,,
29/10/2012,Pioneer,188,,
29/10/2012,Resona,351,,
29/10/2012,Ricoh,695,,
28/03/2011,Sanyo Electric,116,,
29/10/2012,Sapporo,229,,
29/10/2012,Secom,"4,100",,
29/10/2012,Sharp,162,,
29/10/2012,Sony,940,,
29/10/2012,Sumitomo,"1,076",,
29/10/2012,Sumitomo Electrical,853,,
28/03/2011,Sumitomo Tr,431,,
29/10/2012,Suzuki Motor,"1,752",,
29/10/2012,Taiheiyo Cement,166,,
29/10/2012,Taisei,221,,
29/10/2012,Takeda,"3,680",,
29/10/2012,TDK,"2,885",,
29/10/2012,Teijin,182,,
29/10/2012,Tokyo Elec Power,127,,
29/10/2012,Tokyo Electron,"3,540",,
29/10/2012,Tokyo Gas,409,,
29/10/2012,Toppan Print,458,,
29/10/2012,Toray,458,,
29/10/2012,Toshiba,285,,
29/10/2012,Toyota Motor,"3,030",,
29/10/2012,Yamaha,712,,
29/10/2012,Yamato,"1,208",,
,
Kuala Lumpur Stock Exchange,
Quoted in Ringgit,
,
Trading date,Company name,Last sale,,
25/10/2012,AMMB,6.36,,
25/10/2012,Brit Amer Tobacco,64.8,,
25/10/2012,Carlsberg Brew,12.36,,
25/10/2012,Digi,5.42,,
08/09/2011,EON Capital,2.6,,
25/10/2012,Genting,3.54,,
25/10/2012,Guinness,16.58,,
25/10/2012,IGB,2.43,,
25/10/2012,Land & General,.43,,
25/10/2012,Malaysian Airlines,1.06,,
25/10/2012,Petronas Gas,19.8,,
03/05/2012,Proton,5.48,,
25/10/2012,Public Bank,15.42,,
25/10/2012,RHB Capital,7.46,,
25/10/2012,Sime Darby,9.8,,
21/09/2010,Tanjong,21.8,,
25/10/2012,Telekom Malaysia,6.08,,
25/10/2012,Tenaga Nasional,6.95,,
25/10/2012,UMW,9.99,,
25/10/2012,YTL Corp,1.76,,
,
New Zealand Exchange,
Quoted in NZ Dollars,
,
Trading date,Company name,Last sale,,
29/10/2012,A2 Corp,.68,,
29/10/2012,Abano Health,5.74,,
15/10/2010,Affco,.36,,
29/10/2012,Air NZ,1.24,,
25/10/2012,Allied Farmers,.027,,
29/10/2012,AMP,5.68,,
29/10/2012,AMP Office,1.035,,
24/07/2012,AMP World,1,,
29/10/2012,ANZ,31.86,,
29/10/2012,APN News,.45,,
29/10/2012,Auckair,2.66,,
29/10/2012,Aust Found,6.01,,
26/10/2012,Bankers Inv,8.7,,
29/10/2012,Barramundi,.67,,
26/10/2012,Blis Tech,.009,,
29/10/2012,Briscoe,2.08,,
24/10/2012,Caledonia,29.53,,
29/10/2012,Cavalier,1.95,,
26/09/2011,Cavotec msl,2.45,,
26/10/2012,CDL Inv,.42,,
26/08/2011,,.43,,
29/10/2012,City of Ldn Inv,6.01,,
26/10/2012,Colonial Motor,3.7,,
29/10/2012,Comvita,3.85,,
29/10/2012,Contact,5.45,,
29/10/2012,Cue Energy,.178,,
29/10/2012,Delegats,3.13,,
29/10/2012,Dorchester,.18,,
29/10/2012,Ebos,8.28,,
17/10/2012,European Inv,10.2,,
17/10/2012,F&C Smaller,11.9,,
29/10/2012,FCITrust,6.04,,
11/10/2012,Finzsoft,.34,,
29/10/2012,FisherApp,1.26,,
29/10/2012,FisherHealth,2.36,,
29/10/2012,FletBuild,7.07,,
29/10/2012,Freightway,4.28,,
29/10/2012,Goodman,.74,,
29/10/2012,Goodman Prop,1.065,,
29/10/2012,GuinnessPeat,.57,,
29/10/2012,Guocoleisure,.6,,
29/10/2012,HalGlass,4.96,,
29/10/2012,Hellaby,3.01,,
26/10/2012,Henderson FE,6,,
29/10/2012,Henderson TP,3.2,,
29/10/2012,Infratil,2.33,,
29/10/2012,ING Medical Prop,1.27,,
29/10/2012,ING Prop,.915,,
25/10/2012,JPMF Japanese,3.15,,
26/10/2012,JPMorgan,14.5,,
29/10/2012,Kathmandu,1.84,,
25/10/2012,Kermadec,.76,,
29/10/2012,Kingfish,1.07,,
29/10/2012,Kirkcaldie,3.25,,
29/10/2012,Kiwitrust,1.175,,
26/10/2012,Lmenergy,.07,,
29/10/2012,Mainfreight,10.66,,
29/10/2012,Marlin Global,.72,,
29/10/2012,Methven,1.38,,
29/10/2012,Metlifecare,3.2,,
29/10/2012,MichaelHill,1.17,,
29/10/2012,Mill & Cop,.45,,
25/03/2011,Nat Prop,.51,,
29/10/2012,New Image,.26,,
24/10/2012,Northland Port,2.13,,
29/10/2012,Nuplex,3,,
24/10/2012,NZ Farming,.74,,
29/10/2012,NZ Oil & Gas,.85,,
29/10/2012,NZ Refin,2.73,,
29/10/2012,NZ Windfarms,.115,,
29/10/2012,NZX Limited,1.27,,
29/10/2012,Opus,2.07,,
29/10/2012,Pan Pac Pet,.14,,
29/10/2012,PggWright,.35,,
19/11/2010,Pike River Coal,.88,,
29/10/2012,Porttaur,12.95,,
29/10/2012,Postie Plus,.23,,
29/10/2012,Propindy,1.215,,
29/10/2012,Pumpkinpatch,1.21,,
29/10/2012,Pyne Gould,.33,,
29/10/2012,Rakon,.44,,
29/10/2012,Renaissance,.148,,
29/10/2012,Restaurant,2.52,,
29/10/2012,Rubicon,.27,,
29/10/2012,Ryman,3.99,,
26/10/2012,Salvus,.04,,
29/10/2012,Sanford,4.2,,
29/10/2012,Scott Tech,2.09,,
26/10/2012,Sealegs,.13,,
29/10/2012,Seeka,.9,,
29/10/2012,Skellerup,1.71,,
29/10/2012,SktTv,5.34,,
29/10/2012,Skycity,3.88,,
29/10/2012,Smartfonz,1.437,,
29/10/2012,Smartmidz,2.46,,
29/10/2012,Smartmozy,4.73,,
29/10/2012,Smartozzy,3.5,,
29/10/2012,Smartpay,.18,,
29/10/2012,Smarttenz,.983,,
29/10/2012,Smiths City,.57,,
29/10/2012,Steel & Tube,2.18,,
29/10/2012,Teamtalk,2.62,,
29/10/2012,Telecom,2.38,,
29/10/2012,Telstra,5.17,,
29/10/2012,Templeton Emerg,10.96,,
29/10/2012,Tenon,.67,,
29/10/2012,Tourhold,.74,,
29/10/2012,Tower,1.92,,
29/10/2012,Trustpower,8.55,,
24/10/2012,Turner Growers,1.55,,
26/10/2012,Turners Auctions,1.9,,
29/10/2012,Vector,2.74,,
29/10/2012,Wakefield,5.91,,
29/10/2012,Warehouse,3.25,,
29/10/2012,Wellington Drive,.18,,
29/10/2012,Westpac,32,,
17/09/2012,Windflow,.19,,
29/10/2012,Xero Live,5.55,,
,
Singapore Exchange,
Quoted in Singapore Dollars,
,
Trading date,Company name,Last sale,,
25/10/2012,CapitalLand,3.33,,
25/10/2012,City Dev,11.41,,
25/10/2012,Creative Tech,3.13,,
25/10/2012,DBS,14.02,,
25/10/2012,Fraser & Neave,9.23,,
25/10/2012,Keppel Corp,11.1,,
25/10/2012,Keppel Land,3.43,,
25/10/2012,Neptune Orient Lines,1.17,,
25/10/2012,Oversea-Chinese Banking,9.18,,
25/10/2012,Sembcorp Industry,5.51,,
25/10/2012,Singapore Airlines,10.68,,
25/10/2012,Singapore Exchange,6.79,,
25/10/2012,Singapore Press,4.08,,
25/10/2012,Singapore Tech Engineering,3.52,,
25/10/2012,Singapore Telecom,3.2,,
25/10/2012,United Overseas Bank,18.58,,
25/10/2012,Venture,7.85,,
,
Johannesburg Stock Exchange,
Quoted in Rand,
,
Trading date,Company name,Last sale,,
26/10/2012,ABSA,"14,000",,
26/10/2012,Anglo American Platinum,"40,750",,
26/10/2012,Anglo American PLC,"26,867",,
26/10/2012,Anglo Gold,"28,051",,
26/10/2012,Arcmittal,"3,538",,
26/10/2012,Barloworld,"7,003",,
26/10/2012,BATS,"43,600",,
26/10/2012,Bidvest,"20,321",,
26/10/2012,Billiton,"27,601",,
26/10/2012,Datatec,"5,350",,
13/12/2010,Dimension Data,"1,305",,
26/10/2012,FirstRand,"2,796",,
26/10/2012,GoldFields,"10,364",,
26/10/2012,Harmony,"7,120",,
26/10/2012,Impala Platinum,"15,301",,
26/10/2012,Nedbank,"18,123",,
26/10/2012,Old Mutual,"2,408",,
26/10/2012,SAB,"36,825",,
26/10/2012,Sanlam,"3,883",,
26/10/2012,Sappi,"2,400",,
26/10/2012,Sasol,"36,919",,
26/10/2012,Standard Bank,"10,658",,
26/10/2012,Telekom,"1,800",,
26/10/2012,Tongaat,"14,078",,
26/10/2012,Woolies,"6,411",,
,
Korea Exchange,
Quoted in Korean Won,
,
Trading date,Company name,Last sale,,
26/10/2012,Amorepacific,"1,296,000",,
26/10/2012,Chiel Indus,"90,000",,
26/10/2012,Daelim,"75,200",,
26/10/2012,Daishin,"8,370",,
26/10/2012,Hyundai Motor,"226,500",,
26/10/2012,Korea Elec Power,"27,900",,
26/10/2012,LG Chem,"288,500",,
26/10/2012,LG Electronics,"73,000",,
26/10/2012,Samsung Electronics,"1,287,000",,
26/10/2012,Samsung Heavy,"32,100",,
26/10/2012,SK Telecom,"158,500",,
26/10/2012,Yuhan,"175,500",,
,
Swiss Exchange,
Quoted in SFrancs,
,
Trading date,Company name,Last sale,,
26/10/2012,ABB AG,17.11,,
26/10/2012,Actelion,44.87,,
26/10/2012,Adecco,45.37,,
26/10/2012,Baloise,77.4,,
26/10/2012,Clariant,10.77,,
26/10/2012,Credit Suisse,21.16,,
26/10/2012,Givaudan,922,,
26/10/2012,Holcim,63.65,,
26/10/2012,Julius Baer,31.84,,
26/10/2012,Lonza,46.7,,
26/10/2012,Nestle,59.7,,
26/10/2012,Nobel Biocare,8.5,,
26/10/2012,Novartis,56.85,,
26/10/2012,Richemont,60,,
26/10/2012,Roche,182.1,,
26/10/2012,SGS,"1,982",,
26/10/2012,Swatch,382.4,,
26/10/2012,Swiss Life,118,,
07/12/2011,Swiss Re,49.04,,
26/10/2012,Swisscom,384.6,,
26/10/2012,Syngenta,356.1,,
13/06/2012,Synthes,158.6,,
26/10/2012,UBS,12.23,,
26/10/2012,Zurich FS,232.7,,
,
London Stock Exchange,
Quoted in UK Pence,
,
Trading date,Company name,Last sale,,
26/10/2012,AngloAmerican,"1,933.5",,
26/10/2012,Antofagasta,"1,269",,
26/10/2012,Arm,656.5,,
26/10/2012,Assoc.Br.Foods,"1,389",,
26/10/2012,AstraZeneca,"2,901",,
26/10/2012,Aviva,330.1,,
26/10/2012,BAE Systems,310.9,,
26/10/2012,Barclays Bank,232.5,,
26/10/2012,BG,"1,324",,
26/10/2012,BHP Billiton,"1,981.5",,
26/10/2012,BP Amoco,431.6,,
26/10/2012,Br.Telecom,217.1,,
26/10/2012,Brit Amer Tobacco,"3,134",,
20/01/2011,British Airways,282.5,,
26/10/2012,British Land,531.5,,
26/10/2012,BSkyB,718,,
26/10/2012,Bunzl,"1,021",,
26/10/2012,Cairn Energy,279.2,,
26/10/2012,Capita,719.5,,
26/10/2012,Carnival,"2,475",,
26/10/2012,Centrica,324.1,,
26/10/2012,Cobham,214.3,,
26/10/2012,Compass,681,,
26/10/2012,Eurasian,334.2,,
26/10/2012,Experian,"1,065",,
26/10/2012,GlaxoSmithKline,"1,410",,
26/10/2012,Hammerson,469.8,,
26/10/2012,Home Retail,112,,
26/10/2012,HSBC,610.4,,
26/10/2012,ICAP,324.2,,
26/10/2012,Imperial Tobacco,"2,343",,
27/06/2012,Intl Power,417.5,,
26/10/2012,Johnson Matthey,"2,255",,
26/10/2012,Kazakhmys,714.5,,
26/10/2012,Kingfisher,285,,
26/10/2012,Legal & General,133.9,,
26/10/2012,Lloyds,40.47,,
26/10/2012,Lond Stock Exch,968.5,,
26/10/2012,Marks & Spencer,394.3,,
26/10/2012,National Grid,701.5,,
26/10/2012,Next,"3,617",,
26/10/2012,Old Mutual,173.2,,
26/10/2012,Pearson,"1,221",,
26/10/2012,Prudential,837,,
26/10/2012,Reckitt Bncsr,"3,750",,
26/10/2012,Reed Elsevier,600.5,,
26/10/2012,Rentokil Initial,87.1,,
26/10/2012,Rexam,446,,
26/10/2012,Rio Tinto,"3,110.5",,
26/10/2012,Rolls Royce,854,,
26/10/2012,Royal Bank Scotland,277.7,,
26/10/2012,Royal Dutch Shell A,"2,106.5",,
26/10/2012,Royal Dutch Shell B,"2,174.5",,
26/10/2012,SAB Miller,"2,644",,
26/10/2012,Sage,304.2,,
26/10/2012,Sainsbury,355,,
26/10/2012,Schroders,"1,539",,
26/10/2012,Scot &Sth Energy,"1,442",,
26/10/2012,Severn Trent,"1,647",,
26/10/2012,Smith & Nephew,652,,
26/10/2012,Smiths,"1,042",,
26/10/2012,Standard Chartered,"1,499",,
26/10/2012,Standard Life,284,,
26/10/2012,Tesco,317.45,,
26/10/2012,Thomas Cook,23,,
26/10/2012,Tullow Oil,"1,396",,
26/10/2012,Unilever,"2,302",,
26/10/2012,United Util.,717.5,,
26/10/2012,Vodafone,169.7,,
26/10/2012,Whitbread,"2,301",,
,
New York Stock Exchange,
Quoted in US Dollars,
,
Trading date,Company name,Last sale,,
26/10/2012,3M Company,88.03,,
26/10/2012,Abbott Labs,65.48,,
26/10/2012,Abercrombie,30.58,,
26/10/2012,Advantest Corp,12.5,,
26/10/2012,Aetna Inc,44.1,,
26/10/2012,AFLAC Inc,49.58,,
26/10/2012,AK Steel,5.19,,
26/10/2012,Alcatel-Lucent,1.03,,
26/10/2012,Alcoa Inc,8.65,,
26/10/2012,Alere Inc,19.18,,
25/02/2011,Allegheny Energy,24.99,,
26/10/2012,Allergan,91.64,,
26/10/2012,Altria Group,31.76,,
26/10/2012,Am Ele Pwr,43.95,,
26/10/2012,Am Express,55.75,,
26/10/2012,Am Intl Group,34.72,,
04/01/2012,AMR Corp,.24,,
26/10/2012,Anadarko Pete,66.49,,
26/10/2012,Aon Corp,53.84,,
26/10/2012,Apache Corp,82.36,,
26/10/2012,Arbitron Inc,36.53,,
26/10/2012,Arch Dan Mid,27.05,,
26/10/2012,ASA Ltd,23.67,,
26/10/2012,Ashland Inc,68.74,,
26/10/2012,AT&T Corp,34.63,,
26/10/2012,Avery Denison,32.25,,
26/10/2012,Avon Products,15.48,,
26/10/2012,Bank of America,9.12,,
26/10/2012,Bank of NY,24.37,,
26/10/2012,Baxter Intl,61.16,,
26/10/2012,BB&T Corp,29.01,,
26/10/2012,Becton Dickinsn,75.34,,
26/10/2012,Boeing Co,71.11,,
26/10/2012,BP PLC,41.73,,
26/10/2012,Brist Myr Sqb,33.62,,
26/10/2012,Brunswick Corp,23.05,,
26/10/2012,Campbell Soup,34.72,,
26/10/2012,Canon Inc,32.28,,
26/10/2012,Caterpillar,84.25,,
26/10/2012,Chesapeake Energy,20.1,,
26/10/2012,ChevronTexaco Corp,111.18,,
26/10/2012,Citigroup,36.6,,
26/10/2012,CMS Engy,24.22,,
26/10/2012,CocaCola,37.04,,
26/10/2012,Colgate-Palmolive,103.87,,
26/10/2012,Computer Sci,30.59,,
26/10/2012,Con Edison,59.97,,
26/10/2012,ConAgra Foods,28.21,,
26/10/2012,Corning Inc,11.82,,
26/10/2012,Crane Co,41.85,,
26/10/2012,CSX Corp,20.55,,
26/10/2012,Curtis-Wright,30.86,,
26/10/2012,Darling Intl,16.55,,
26/10/2012,Dean Foods,16.74,,
26/10/2012,Deere Co,85.47,,
26/10/2012,Diebold Inc,29.51,,
26/10/2012,Disney,50.08,,
26/10/2012,Dow Chemical,29.57,,
26/10/2012,Dr Pepper Snapple Gp,42.76,,
26/10/2012,DTE Energy Co,61.66,,
26/10/2012,Duke Energy,65.11,,
26/10/2012,DuPont,21.62,,
18/01/2012,East Kodak,.5547,,
26/10/2012,Eaton Corp,45.12,,
26/10/2012,Edison Intl,46.57,,
26/10/2012,Eli Lilly,50.21,,
26/10/2012,EMC Corp,23.91,,
26/10/2012,Emerson Elec,47.84,,
26/10/2012,Ensco Int,58.13,,
26/10/2012,Entergy,72.1,,
26/10/2012,Exxon Mobil Corp,90.62,,
26/10/2012,Ferro Inc,2.65,,
26/10/2012,First Horizon,9.2,,
26/10/2012,Foot Locker Inc,33.49,,
26/10/2012,Ford Motor,10.36,,
26/10/2012,Fortune Brands,55.69,,
26/10/2012,Freeport-McMoran,39.07,,
26/10/2012,GATX,41.89,,
26/10/2012,Gen Dynamics,67.32,,
26/10/2012,Gen Electric,21.11,,
26/10/2012,Gen Mills,39.85,,
26/10/2012,GenCorp,8.75,,
26/10/2012,Genesco Inc,56.63,,
26/10/2012,Goldman Sachs Grp,119.44,,
26/10/2012,Goodrich Corp,12.38,,
26/10/2012,Goodyear,11.02,,
10/12/2010,Grt Atl Pac,.9311,,
26/10/2012,H&R Block,17.75,,
26/10/2012,Heinz,57.2,,
26/10/2012,Hess Corp,53.24,,
26/10/2012,Hewlett Packard,14.09,,
26/04/2012,Hitachi,63.7,,
26/10/2012,Home Depot,60.04,,
26/10/2012,Honda Motors,31.58,,
26/10/2012,Honeywell Intl,61.49,,
26/10/2012,HSBC Holdings,49.28,,
26/10/2012,IBM,193.27,,
26/10/2012,ING Groep,8.72,,
26/10/2012,Ingersoll Rand,46.38,,
26/10/2012,Interpublic,10.29,,
26/10/2012,Intl Flav Frag,63.94,,
26/10/2012,Intl Paper,35.66,,
26/10/2012,ITT Inds Inc,20.69,,
26/10/2012,JC Penney,25.46,,
26/10/2012,Johnson & Johnson,70.9,,
26/10/2012,Joy Global,61.55,,
26/10/2012,JP Morgan Chase,41.16,,
26/10/2012,K12 Inc,21.46,,
26/10/2012,Kellogg Co,52.9,,
26/10/2012,Keycorp,8.39,,
26/10/2012,Kimberly Clark,82.75,,
26/10/2012,Kimco Realty,19.63,,
28/02/2011,King Pharm,14.24,,
26/10/2012,Kroger Co,25.18,,
26/10/2012,Kubota Cp,51.95,,
26/10/2012,Kyocera Corp,89.56,,
26/10/2012,Limited Inc,47.6,,
26/10/2012,Lincoln Natl,24.68,,
26/10/2012,Lockheed Martin,92.84,,
26/10/2012,Loews Corp,42.39,,
26/10/2012,Manpower Inc,37.66,,
26/10/2012,Marathon Oil,29.91,,
26/10/2012,Marsh & McLennan,33.74,,
26/10/2012,Masco Corp,14.6,,
01/06/2011,Massey Energy Co,65.14,,
26/10/2012,McClatchy,2.62,,
26/10/2012,McDonalds Corp,86.71,,
26/10/2012,McGraw Hill,56.03,,
26/10/2012,Merck & Co,46.15,,
26/10/2012,Mitsub UFJ Fin,4.52,,
26/10/2012,Monster Wrldwide,6.21,,
26/10/2012,Morgan Stanley,17.04,,
26/10/2012,Motorola Inc,51.62,,
26/10/2012,NextEra Energy,69.52,,
26/10/2012,Newmont Mining,53.31,,
26/10/2012,Nike Inc,91.15,,
26/10/2012,Nippon T&T,23.19,,
26/10/2012,NL Indust,10.27,,
26/10/2012,Nokia Corp,2.56,,
26/10/2012,Nomura Holdings,3.53,,
26/10/2012,Norfolk Sthn,62.77,,
26/10/2012,Northrop Grumman,68.02,,
26/10/2012,NTT DoCoMo Inc,15.12,,
26/10/2012,NV Energy Inc,18.79,,
26/10/2012,Occid Petl,80.44,,
26/10/2012,Officemax,7.35,,
26/10/2012,Olin Corp,20.89,,
26/10/2012,Omnicom,48.11,,
26/10/2012,Orix Corp,52.09,,
26/10/2012,Panasonic,6.12,,
26/10/2012,Pepco,19.76,,
26/10/2012,PepsiCo,68.98,,
26/10/2012,Pfizer Inc,25.43,,
26/10/2012,PG&E Corp,42,,
26/10/2012,Pitney Bowes,14.33,,
26/10/2012,Plum Creek Timb,43.81,,
26/10/2012,PPG Inds,116.12,,
26/10/2012,Praxair Inc,105.3,,
26/10/2012,Procter Gamble,69.44,,
