Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2014-12-29T14:30:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
24/12/2014,AIA Group Ltd,43,,
24/12/2014,Aluminum Corp Of China Ltd,3.54,,
24/12/2014,Bank of China Ltd,4.21,,
24/12/2014,Bank of Communications Co Ltd,6.96,,
24/12/2014,Belle International Holdings Ltd,8.61,,
24/12/2014,BOC Hong Kong Ltd,25.8,,
24/12/2014,Cathay Pacific Airways Ltd,16.68,,
24/12/2014,Cheung Kong  Ltd,130,,
24/12/2014,China Coal Energy Co Ltd,4.94,,
24/12/2014,China Construction Bank Corp,6.17,,
24/12/2014,China Life Insurance Co Ltd,28.05,,
24/12/2014,China Merchants Holdings Co Ltd,25.6,,
24/12/2014,China Mobile Ltd,91.45,,
24/12/2014,China Overseas Land & Investment Ltd,21.45,,
24/12/2014,China Petroleum & Chemical Corp,6.24,,
24/12/2014,China Resources Enterprise Ltd,16.04,,
24/12/2014,China Resources Land Ltd,19.52,,
24/12/2014,China Resources Power Holdings Co Ltd,19.86,,
24/12/2014,China Shenhua Energy Co Ltd,23.05,,
24/12/2014,China Unicom  Ltd,10.44,,
24/12/2014,Citic Pacific Ltd,13.2,,
24/12/2014,CLP Holdings Ltd,67.45,,
24/12/2014,Cnooc Ltd,10.56,,
24/12/2014,COSCO Pacific Ltd,10.86,,
24/12/2014,Esprit Holdings Ltd,8.81,,
24/12/2014,Hang Lung Properties Ltd,21.4,,
24/12/2014,Hang Seng Bank Ltd,129,,
24/12/2014,Henderson Land Development Co Ltd,53,,
24/12/2014,Hengan International Group Co Ltd,79.75,,
24/12/2014,Hong Kong Exchanges And Clearing Ltd,171.3,,
24/12/2014,HSBC Holdings PLC,74.25,,
24/12/2014,Hutchison Whampoa Ltd,90.65,,
24/12/2014,Industrial and Commercial Bank of China Ltd,5.46,,
24/12/2014,Li & Fung Ltd,7.2,,
24/12/2014,MTR Corp Ltd,31.75,,
24/12/2014,New World Development Co Ltd,8.83,,
24/12/2014,PetroChina Co Ltd,8.63,,
24/12/2014,Ping An Insurance Co Of China Ltd,73.75,,
24/12/2014,Power Assets Holdings Ltd,75,,
24/12/2014,Sino Land Co Ltd,12.34,,
24/12/2014,Sun Hung Kai Properties Ltd,117,,
24/12/2014,Swire Pacific Ltd,100,,
24/12/2014,Tencent Holdings Ltd,112.7,,
24/12/2014,The Bank Of East Asia Ltd,30.65,,
24/12/2014,The Hong Kong and China Gas Co Ltd,17.58,,
24/12/2014,Wharf Ltd,55.6,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
23/12/2014,adidas AG,56.74,,
23/12/2014,Allianz Se,139.7,,
23/12/2014,BASF SE,71.01,,
23/12/2014,Bayer AG,115.2,,
23/12/2014,Beiersdorf AG,67.82,,
23/12/2014,BMW AG,90.83,,
23/12/2014,COMMERZBANK AG,11.095,,
23/12/2014,Daimler AG,70.06,,
23/12/2014,Deutsche Bank AG,25.35,,
23/12/2014,Deutsche Boerse AG,59.78,,
23/12/2014,Deutsche Lufthansa AG,13.855,,
23/12/2014,Deutsche Post AG,27.445,,
23/12/2014,Deutsche Telekom AG,13.595,,
23/12/2014,EON AG,14.47,,
23/12/2014,Fresenius Medical Care AG & Co Kgaa,61.18,,
23/12/2014,Fresenius SE & Co KGaA,43.045,,
23/12/2014,Heidelbergcement AG,59.06,,
23/12/2014,Henkel AG & Co KGaA,89.69,,
23/12/2014,Infineon Technologies AG,8.748,,
23/12/2014,K+S AG,23.375,,
23/12/2014,Linde AG,155,,
23/12/2014,MAN SE,92.49,,
23/12/2014,Merck KGaA,78.56,,
23/12/2014,METRO AG,25.065,,
23/12/2014,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,168.5,,
23/12/2014,Rwe AG,26.375,,
23/12/2014,SAP AG,58.25,,
23/12/2014,Siemens AG,94.59,,
23/12/2014,ThyssenKrupp AG,21.475,,
23/12/2014,Volkswagen AG,187.1,,
23/12/2014,Singapore Telecom,2.35,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
26/12/2014,Advantest Corp,"1,558",,
26/12/2014,AEON Co Ltd,"1,190.5",,
26/12/2014,Ajinomoto Co Inc,"2,287.5",,
26/12/2014,All Nippon Airways Co Ltd,302.3,,
26/12/2014,Alps Electric Co Ltd,"2,399",,
26/12/2014,Asahi Breweries Ltd,"3,807.5",,
26/12/2014,Asahi Glass Co Ltd,587,,
26/12/2014,Asahi Kasei Corp,"1,116",,
26/12/2014,Astellas Pharma Inc,"1,724.5",,
26/12/2014,Bank Of Yokohama Ltd,671.3,,
26/12/2014,Bridgestone Corp,"4,247",,
26/12/2014,Canon Inc,"3,927",,
26/12/2014,Casio Computer Co Ltd,"1,902",,
26/12/2014,Central Japan Railway Co,"18,320",,
26/12/2014,Chiba Bank Ltd,805,,
26/12/2014,Chiyoda Corp,"1,038",,
26/12/2014,Chubu Electric Power Co Inc,"1,440",,
26/12/2014,Chugai Pharmaceutical Co Ltd,"3,050",,
26/12/2014,Citizen Holdings Co Ltd,956,,
26/12/2014,Comsys Holdings Corp,"1,693",,
26/12/2014,Credit Saison Co Ltd,"2,271",,
27/09/2011,CSK Corp,279,,
26/12/2014,Dai Nippon Printing Co Ltd,"1,104",,
26/12/2014,Daiichi Sankyo Co Ltd,"1,702.5",,
26/12/2014,Daiichi Sankyo Co Ltd,"1,702.5",,
26/12/2014,Daikin Industries Ltd,"8,016",,
26/12/2014,Dainippon Screen Mfg Co Ltd,740,,
26/12/2014,Dainippon Sumitomo Pharma Co Ltd,"1,200",,
