Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-12-04T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
02/12/2011,AIA Group Ltd,23.85,,
02/12/2011,Aluminum Corp Of China Ltd,3.74,,
02/12/2011,Bank of China Ltd,2.78,,
02/12/2011,Bank of Communications Co Ltd,5.36,,
02/12/2011,Belle International Holdings Ltd,14.22,,
02/12/2011,BOC Hong Kong Ltd,18,,
02/12/2011,Cathay Pacific Airways Ltd,13.56,,
02/12/2011,Cheung Kong  Ltd,90.95,,
02/12/2011,China Coal Energy Co Ltd,9.33,,
02/12/2011,China Construction Bank Corp,5.65,,
02/12/2011,China Life Insurance Co Ltd,21,,
02/12/2011,China Merchants Holdings Co Ltd,22.85,,
02/12/2011,China Mobile Ltd,75.95,,
02/12/2011,China Overseas Land & Investment Ltd,14.7,,
02/12/2011,China Petroleum & Chemical Corp,8.22,,
02/12/2011,China Resources Enterprise Ltd,28.2,,
02/12/2011,China Resources Land Ltd,12.54,,
02/12/2011,China Resources Power Holdings Co Ltd,14.48,,
02/12/2011,China Shenhua Energy Co Ltd,34.25,,
02/12/2011,China Unicom  Ltd,16.58,,
02/12/2011,Citic Pacific Ltd,14.18,,
02/12/2011,CLP Holdings Ltd,67.4,,
02/12/2011,Cnooc Ltd,15.24,,
02/12/2011,COSCO Pacific Ltd,9.17,,
02/12/2011,Esprit Holdings Ltd,11.02,,
02/12/2011,Hang Lung Properties Ltd,24,,
02/12/2011,Hang Seng Bank Ltd,94.6,,
02/12/2011,Henderson Land Development Co Ltd,38.5,,
02/12/2011,Hengan International Group Co Ltd,72.6,,
02/12/2011,Hong Kong Exchanges And Clearing Ltd,132.6,,
02/12/2011,HSBC Holdings PLC,61.6,,
02/12/2011,Hutchison Whampoa Ltd,67.95,,
02/12/2011,Industrial and Commercial Bank of China Ltd,4.81,,
02/12/2011,Li & Fung Ltd,16.4,,
