Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Eisai Co Ltd,"7,608",,
30/10/2015,Fanuc Ltd,"21,555",,
30/10/2015,Fast Retailing Co Ltd,"44,380",,
30/10/2015,Fuji Electric Co Ltd,543,,
30/10/2015,Fuji Heavy Industries Ltd,"4,728",,
30/10/2015,Fujifilm Holdings Corp,"4,852",,
30/10/2015,Fujikura Ltd,625,,
30/10/2015,Fujitsu Ltd,575.2,,
30/10/2015,Fukuoka Financial Group Inc,641,,
30/10/2015,Furukawa Co Ltd,287,,
30/10/2015,Furukawa Electric Co Ltd,222,,
30/10/2015,GS Yuasa Corp,462,,
30/10/2015,Heiwa Real Estate Co Ltd,"1,464",,
30/10/2015,Hino Motors Ltd,"1,392",,
30/10/2015,Hitachi Construction Machinery Co Ltd,"1,882",,
30/10/2015,Hitachi Ltd,702.9,,
30/10/2015,Hitachi Zosen Corp,665,,
30/10/2015,Hokuetsu Kishu Paper Co Ltd,845,,
30/10/2015,Honda Motor Co Ltd,"4,044",,
30/10/2015,Ihi Corp,344,,
30/10/2015,Inpex Corp,"1,155.5",,
30/10/2015,Isetan Mitsukoshi Holdings Ltd,"1,955",,
30/10/2015,Isuzu Motors Ltd,"1,421.5",,
30/10/2015,Itochu Corp,"1,524",,
30/10/2015,J.Front Retailing Co Ltd,"2,002",,
30/10/2015,Japan Steel Works Ltd,452,,
30/10/2015,Japan Tobacco Inc,"4,211",,
30/10/2015,JFE Holdings Inc,"1,916",,
30/10/2015,JGC CORP,"1,924",,
30/10/2015,Jtekt Corp,"2,102",,
30/10/2015,JX Holdings Inc,476,,
30/10/2015,Kajima Corp,697,,
30/10/2015,Kansai Electric Power Co Inc,"1,558",,
30/10/2015,Kao Corp,"6,239",,
30/10/2015,Kawasaki Heavy Industries Ltd,489,,
30/10/2015,Kawasaki Kisen Kaisha Ltd,273,,
