Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-05T18:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
03/08/2012,AIA Group Ltd,26.75,,
03/08/2012,Aluminum Corp Of China Ltd,3.17,,
03/08/2012,Bank of China Ltd,2.95,,
03/08/2012,Bank of Communications Co Ltd,5.18,,
03/08/2012,Belle International Holdings Ltd,13.9,,
03/08/2012,BOC Hong Kong Ltd,23.75,,
03/08/2012,Cathay Pacific Airways Ltd,12.66,,
03/08/2012,Cheung Kong  Ltd,103.9,,
03/08/2012,China Coal Energy Co Ltd,7.61,,
03/08/2012,China Construction Bank Corp,5.27,,
03/08/2012,China Life Insurance Co Ltd,21.3,,
03/08/2012,China Merchants Holdings Co Ltd,23.35,,
03/08/2012,China Mobile Ltd,88,,
03/08/2012,China Overseas Land & Investment Ltd,18,,
03/08/2012,China Petroleum & Chemical Corp,7,,
03/08/2012,China Resources Enterprise Ltd,21.25,,
03/08/2012,China Resources Land Ltd,14.9,,
03/08/2012,China Resources Power Holdings Co Ltd,16.84,,
03/08/2012,China Shenhua Energy Co Ltd,29.25,,
03/08/2012,China Unicom  Ltd,11.48,,
03/08/2012,Citic Pacific Ltd,11.16,,
03/08/2012,CLP Holdings Ltd,66.85,,
03/08/2012,Cnooc Ltd,15.34,,
03/08/2012,COSCO Pacific Ltd,10.52,,
03/08/2012,Esprit Holdings Ltd,9.37,,
03/08/2012,Hang Lung Properties Ltd,27.3,,
03/08/2012,Hang Seng Bank Ltd,108.4,,
03/08/2012,Henderson Land Development Co Ltd,45.6,,
03/08/2012,Hengan International Group Co Ltd,73.55,,
03/08/2012,Hong Kong Exchanges And Clearing Ltd,105.3,,
03/08/2012,HSBC Holdings PLC,65.6,,
03/08/2012,Hutchison Whampoa Ltd,68.35,,
