ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4831.5 at 16:35 12/3/2010  Report at 19:08 Friday 12/3/2010. Processed 12:52 Sunday 14/3/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,884.98,9.909,6.742,0.052,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.26,-1,0.25,0.26,0.27,0.23,-4.92,0.39,0.07
DDD,816.865,3.781,0.28,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.02,-0.1,0.02,0.022,0.025,0.02,-5.98,0.026,0.007
AAO,121.515,1.141,2.023,0.007,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.072,1.2,0.072,0.09,0.072,0.06,18.78,0.12,0.018
ARH,798.584,6.48,1.956,0.204,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.46,0.5,0.455,0.475,0.525,0.45,-0.12,0.70,0.29
AAM,5000.82,31.245,9.872,0.052,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.285,-5,0.28,0.285,0.345,0.27,-16.14,0.42,0.11
ABU,40723.4,149.029,9.471,0.027,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.026,0.1,0.025,0.026,0.034,0.025,2.78,0.07,0.006
AII,63.609,0.49,0.473,0.023,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.165,0.5,0.125,0.16,0.17,0.165,1.91,0.25,0.15
ACB,1043.47,13.34,7.39,0.06,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.37,-0.5,0.36,0.375,0.37,0.345,-2.55,0.60,0.125
ACS,380.833,10.735,2.015,0.028,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.195,0.5,0.19,0.195,0.20,0.19,1.41,0.27,0.075
AEX,190425,1308.54,24.272,0.023,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.024,,0.022,0.024,0.029,0.022,-1.22,0.029,0.003
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.002,0.025,0.003,0.003,-1.22,0.003,0.003
AIV,708,4.086,1.638,0.006,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.08,-0.2,0.078,0.08,0.082,0.08,-3.66,0.12,0.046
AIVO,600.489,1.288,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.012,,0.013,0.016,0.012,0.01,-1.22,0.06,0.001
ADU,5815.15,21.502,4.487,0.114,-,-,-12.87,-,-,-,-,,Adamus Res,,0.40,,0.395,0.40,0.405,0.355,-1.22,0.53,0.31
ADD,488.148,6.814,3.188,0.005,0.02,1.3,-0.96,-,-,-,-,,Adavale Resource,,0.027,,0.027,0.038,0.03,0.026,-1.22,0.065,0.016
ADE,833.561,14.57,4.982,0.026,-,-,1.39,10.1,-,-,-,,Adelaide Energy,,0.14,-2,0.14,0.15,0.16,0.14,-13.72,0.16,0.048
ADN,619.649,18.908,3.011,0.023,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.205,-0.5,0.205,0.215,0.215,0.20,-3.60,0.395,0.049
ADI,457.408,17.162,2.35,0.044,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.30,1,0.29,0.30,0.34,0.30,2.23,0.385,0.045
ABY,2639.18,30.849,54.265,0.302,1.42,0.7,-17.34,-,-,-,-,,Aditya Birla,,0.965,0.5,0.965,0.975,1.03,0.965,-0.70,1.65,0.115
ADY,108605,849.062,2183.71,0.023,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.011,-0.2,0.01,0.011,0.013,0.01,-16.60,0.037,0.01
AVD,-,0.417,1.05,0.009,-,-,-3.1,-,-,-,-,,Advance Energy,,0.06,,0.04,0.05,0.06,0.06,-1.22,0.125,0.03
