ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4942.2 at 16:42 8/1/2010  Report at 19:06 Friday 8/1/2010. Processed 12:04 Saturday 9/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,1978.11,1.978,0.539,0.073,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.37,3,0.36,0.38,0.37,0.34,7.61,0.375,0.07
DDD,336,0.336,-,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.022,0.2,0.021,0.025,0.022,0.02,8.78,0.026,0.007
AAO,200.607,0.201,0.089,0.008,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.075,,0.075,0.09,0.075,0.075,-1.22,0.12,0.018
ARH,761.789,0.762,0.266,0.228,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.515,1.5,0.515,0.525,0.535,0.48,1.78,0.70,0.29
AAM,3069.63,3.07,0.689,0.064,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.37,,0.365,0.37,0.385,0.35,-1.22,0.42,0.076
ABU,22301.8,22.302,2.002,0.032,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.035,,0.035,0.037,0.037,0.031,-1.22,0.07,0.006
AII,4.2,0.004,0.083,0.028,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.20,,0.17,0.20,0.20,0.20,-1.22,0.25,0.13
ACB,519.825,0.52,0.893,0.061,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.375,1,0.38,0.385,0.385,0.365,1.52,0.60,0.105
ACS,709,0.709,0.052,0.021,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.17,1.5,0.17,0.175,0.175,0.16,8.46,0.27,0.055
AEX,45658.6,45.659,6.359,0.004,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.005,,0.005,0.006,0.006,0.004,-1.22,0.008,0.003
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,-,0.003,0.003,-1.22,0.003,0.003
AIV,459.35,0.459,0.08,0.006,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.09,-0.4,0.09,0.095,0.095,0.09,-5.47,0.12,0.032
AIVO,75,0.075,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.025,0.2,0.023,0.035,0.025,0.023,7.48,0.06,0.001
ADU,1379.2,1.379,0.186,0.135,-,-,-10.25,-,-,-,-,,Adamus Res,,0.475,3,0.47,0.475,0.49,0.435,5.52,0.53,0.165
ADD,190,0.19,0.394,0.007,0.03,1.3,-0.3,-,-,-,-,,Adavale Resource,,0.039,-0.6,0.037,0.045,0.045,0.039,-14.55,0.065,0.014
ADE,1003.7,1.004,0.4,0.026,-,-,1.39,10.1,-,-,-,,Adelaide Energy,,0.14,1.5,0.135,0.14,0.14,0.125,10.78,0.16,0.037
ADN,1913.12,1.913,1.351,0.029,-,-,4.86,5.3,-,-,-,,Adelaide Res,,0.26,,0.26,0.27,0.29,0.24,-1.22,0.395,0.046
ADI,1201.19,1.201,0.385,0.023,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.155,-0.5,0.15,0.165,0.185,0.14,-4.34,0.185,0.045
ABY,2568.54,2.569,16.968,0.436,1.42,1.0,-17.34,-,-,-,-,,Aditya Birla,,1.39,15.5,1.39,1.41,1.47,1.235,11.33,1.65,0.096
ADY,216285,216.285,905.735,0.038,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.018,0.3,0.017,0.018,0.019,0.015,18.78,0.04,0.011
AVD,62,0.062,-,0.009,0.04,1.5,-1.06,-,-,-,-,,Advance Energy,,0.06,-1.2,0.057,0.065,0.072,0.06,-17.88,0.125,0.029
AED,2270.37,2.27,1.983,0.108,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.655,5.5,0.655,0.66,0.67,0.585,7.95,1.24,0.50
AFR,2400.51,2.401,0.762,0.042,-,-,-1.5,-,-,-,-,,African Energy Res cdi,,0.15,1.5,0.14,0.15,0.155,0.12,9.89,0.24,0.013
ALG,15,0.015,-,0.004,-,-,-1.12,-,-,-,-,,Alamar Res Ltd,,0.185,-0.5,0.185,0.24,0.19,0.185,-3.85,0.23,0.14
AUQ,254.719,0.255,0.565,0.011,-,-,-11.01,-,-,-,-,,Alara Res Ltd,,0.14,-4,0.14,0.165,0.175,0.14,-23.44,0.25,0.035
ALY,1150.31,1.15,0.02,0.051,-,-,-3.27,-,-,-,-,,Alchemy Resource,,0.76,10.5,0.76,0.77,0.77,0.65,14.81,1.27,0.04
ALYO,130.985,0.131,-,0.011,-,-,-,-,-,-,-,,  opt aug10,,0.50,10,0.50,0.54,0.50,0.43,23.78,0.96,0.001
AYN,3617.81,3.618,-,0.025,-,-,-8.29,-,-,-,-,,Alcyone Res Ltd,,0.04,-0.1,0.04,0.041,0.042,0.039,-3.66,0.06,0.039
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,0.001,-,0.021,0.021,-1.22,0.021,0.021
ALK,1812.69,1.813,0.597,0.097,-,-,-0.25,-,-,-,-,,Alkane Res Ltd,,0.39,4,0.39,0.395,0.41,0.35,10.21,0.49,0.155
AGS,1602.69,1.603,2.585,0.206,-,-,-8.3,-,-,-,-,,Alliance Res,,0.605,0.5,0.60,0.61,0.605,0.585,-0.38,0.98,0.363
ALD,1961.38,1.961,1.225,0.342,0.29,1.1,-1.92,-,-,-,-,,Allied Gold Ltd,,0.33,-0.5,0.325,0.34,0.345,0.325,-2.71,0.57,0.29
AYR,208.21,0.208,-,0.002,-,-,-0.82,-,-,-,-,,Alloy Res,,0.032,0.7,0.032,0.034,0.032,0.026,26.78,0.045,0.011
AJM,110.667,0.111,0.043,0.049,-,-,-4.6,-,-,-,-,,Altura Min Ltd,,0.25,2.5,0.25,0.27,0.25,0.24,9.89,0.37,0.065
AJMO,-,-,-,-,-,-,-,-,-,-,-,,  opt may10,,0.04,,0.018,0.06,0.04,0.04,-1.22,0.08,0.01
AWC,71247.2,71.247,28.876,4.71,1.30,1.5,9.42,20.5,-,-,-,,Alumina Ltd,,1.93,9,1.92,1.935,2.01,1.83,3.67,2.01,0.683
AMU,3328.67,3.329,0.121,0.079,0.48,0.5,3.5,7.4,-,-,-,,Amadeus Energy,,0.26,-1.5,0.26,0.265,0.28,0.26,-6.67,0.43,0.205
AXZ,24.09,0.024,-,0.009,-,-,-5.32,-,-,-,-,,Amex Res,,0.20,1,0.17,0.20,0.20,0.19,4.04,0.25,0.08
AMX,715.941,0.716,0.143,0.093,-,-,-6.37,-,-,-,-,,Ampella Min,,0.63,3,0.62,0.63,0.635,0.60,3.78,0.69,0.068
AMXO,181.521,0.182,-,0.007,-,-,-,-,-,-,-,,  opt jul10,,0.44,3,0.405,0.48,0.46,0.40,6.10,0.50,0.03
AHR,310.857,0.311,-,0.007,-,-,-1.57,-,-,-,-,,Anchor Res,,0.19,1.5,0.175,0.185,0.19,0.165,7.35,0.193,0.032
AHRO,25,0.025,-,-,-,-,-,-,-,-,-,,  opt mar10,,0.007,0.1,0.002,0.01,0.007,0.006,15.45,0.03,0.001
AND,1208.23,1.208,0.965,1.25,-,-,-1.8,-,-,-,-,,Andean Res Ltd,,2.67,7,2.65,2.67,2.70,2.60,1.47,2.72,0.78
