ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, April 15, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4939.3 at 2011-04-15T16:39:15. Report at Friday, April 15, 2011. Processed Saturday at 2011-04-16T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,187.455,4.181,13.412,.040,-,-,-.44,-,-,-,-,,3D Oil,,.20,-,.20,.205,.20,.19,+1.93,.285,.14,,
DDD,830.532,10.383,4.714,.010,-,-,-.93,-,-,-,-,,3D Res,,.053,-.1,.053,.055,.056,.051,+.08,.062,.019,,
AAO,276.700,10.097,3.521,.038,-,-,-1.22,-,-,-,-,,A'asia Consolidated,,.20,-,.195,.20,.20,.19,+1.93,.295,.044,,
AAOO,70.000,3.057,-,.012,-,-,-,-,-,-,-,,  opt apr13,,.095,-,.095,.105,.095,.095,+1.93,.16,.011,,
ARH,216.516,8.678,8.035,.142,-,-,.57,56.1,-,-,-,,A'asian Resources,,.32,-3,.315,.355,.345,.31,-6.64,.63,.20,,
AAM,1986.01,67.134,51.219,.010,-,-,-2.95,-,-,-,-,,A1 Minerals,,.049,-.5,.049,.05,.052,.047,-7.33,.27,.039,,
ABU,112764,1154.42,267.053,.098,-,-,.82,5.4,-,-,-,,ABM Res,,.044,+.2,.043,.044,.047,.039,+6.69,.047,.016,,
AII,291.447,2.127,.613,.053,-,-,-1.98,-,-,-,-,,Abra Min,,.375,-.5,.375,.385,.38,.375,+.61,.39,.086,,
ACB,2737.82,72.516,23.116,.070,-,-,-2.10,-,-,-,-,,A-Cap Res,,.35,-1,.33,.35,.355,.30,-.85,.76,.28,,
ACS,212.200,6.452,16.008,.042,-,-,-.69,-,-,-,-,,Accent Res,,.245,+1,.245,.25,.25,.235,+6.18,.46,.13,,
AEX,13087.2,406.662,1439.82,.007,-,-,-.21,-,-,-,-,,Acclaim Explore,,.005,+.1,.004,.005,.005,.004,+26.93,.027,.004,,
AEXCD,-,1.000,-,-,-,-,-,-,-,-,-,,  ctg,,.004,-,-,.005,.004,.004,+1.93,.004,.003,,
AIV,2684.93,70.337,11.427,.006,-,-,-1.06,-,-,-,-,,Activex,,.055,-,.055,.056,.059,.054,+1.93,.135,.048,,
ADU,1953.21,74.145,39.186,.311,-,-,-38.53,-,-,-,-,,Adamus Res,,.69,-5,.69,.70,.755,.67,-4.83,.895,.387,,
ADD,791.858,59.711,10.696,.010,.02,1.5,-.61,-,-,-,-,,Adavale Resources,,.03,-,.03,.031,.03,.028,+1.93,.046,.015,,
ADE,4645.79,75.219,26.976,.054,-,-,.37,41.9,-,-,-,,Adelaide Energy,,.155,-2,.15,.155,.175,.145,-9.50,.185,.06,,
ADN,1157.22,13.922,22.804,.022,-,-,-.58,-,-,-,-,,Adelaide Res,,.155,-.5,.155,.165,.165,.15,-1.20,.27,.125,,
ABY,5526.88,40.911,51.302,.514,1.61,1.0,18.71,8.8,-,-,-,,Aditya Birla,,1.64,-10.5,1.635,1.64,1.835,1.625,-4.09,1.835,.62,,
ADY,22229.3,154.505,1521.25,.024,-,-,3.01,1.3,-,-,-,,Admiralty Res,†,.039,+.1,.039,.04,.048,.037,+4.56,.06,.023,,
AVD,577.000,140.402,.780,.004,-.02,-,-4.95,-,-,-,-,,Advance Energy,,.018,+.1,.018,.02,.018,.017,+7.81,.043,.007,,
AVDOA,750.000,64.670,-,-,-,-,-,-,-,-,-,,  opt aug12,,.003,-.2,.004,.006,.005,.003,-38.07,.01,.002,,
ADX,6160.97,157.678,71.391,.036,-,-,-.76,-,-,-,-,,ADX Energy,,.09,-.9,.089,.09,.096,.088,-7.16,.265,.082,,
AED,1649.89,33.142,24.254,.049,.89,.3,-3.48,-,-,-,-,,AED Oil,,.24,+1,.235,.24,.245,.225,+6.28,.635,.21,,
AFR,14755.3,210.446,18.019,.251,-,-,-.63,-,-,-,-,,African Energy Res,,.85,+15,.835,.85,.85,.69,+23.36,1.045,.064,,
AKI,2495.19,128.061,2.183,.099,-,-,1.05,26.2,-,-,-,,African Iron,†,.275,-2.5,.27,.275,.30,.25,-6.40,.45,.086,,
AKIOA,496.875,3.775,.942,.002,-,-,-,-,-,-,-,,  opt dec13,†,.10,-1.5,.075,.10,.12,.10,-11.11,.25,.015,,
AAE,5123.14,187.185,40.595,.009,-,-,-15.73,-,-,-,-,,Agri Energy,,.018,+.1,.017,.016,.018,.015,+7.81,.033,.009,,
AGR,585.541,13.128,5.258,.060,-,-,-5.47,-,-,-,-,,Aguia Res,,.98,-10,.97,1.00,1.06,.89,-7.33,1.56,.405,,
AQG,2433.80,19.937,-,.732,-,-,-,-,-,-,-,,Alacer Gold Corp,,10.43,+60,10.41,10.44,10.49,9.57,+8.03,10.49,7.61,,
ALG,546.083,1.351,.649,.017,-,-,-2.23,-,-,-,-,,Alamar Res,,.63,+23,.61,.63,.675,.48,+59.43,.675,.15,,
ALGO,164.000,.333,-,.004,-,-,-,-,-,-,-,,  opt mar13,,.40,+20,.35,.50,.40,.295,+101.9,.40,.03,,
AUQ,2316.14,39.061,3.127,.049,-,-,-3.44,-,-,-,-,,Alara Res,,.385,-1.5,.385,.39,.42,.375,-1.82,.51,.08,,
ALB,4026.12,62.178,-,.049,-,-,18.52,.8,-,-,-,,Albidon,,.14,-1.5,.13,.14,.16,.135,-7.75,.30,.039,,
ALY,1008.75,24.538,31.563,.031,-,-,-2.22,-,-,-,-,,Alchemy Resources,,.32,-4,.31,.33,.36,.305,-9.18,.815,.26,,
AYN,248566,2317.78,86.061,.171,-,-,-.20,-,-,-,-,,Alcyone Res,,.13,+2.5,.13,.135,.145,.105,+25.74,.145,.019,,
AYNOB,-,.100,-,-,-,-,-,-,-,-,-,,  opt sep11,,.033,-,-,.024,.033,.033,+1.93,.039,.021,,
ALK,16531.4,128.631,16.538,.708,-,-,3.00,87.7,-,-,-,,Alkane Res,,2.63,+38,2.62,2.63,2.73,2.26,+18.82,2.73,.23,,
AGS,2434.19,27.775,27.864,.089,-,-,-1.90,-,-,-,-,,Alliance Res,,.26,-3.5,.26,.265,.30,.26,-9.94,.54,.26,,
ALD,3498.21,109.357,60.336,.755,.35,1.8,6.45,9.8,-,-,-,,Allied Gold,,.63,-6,.615,.63,.70,.615,-6.77,.76,.29,,
AGE,1515.33,47.173,-,.015,-,-,-,-,-,-,-,,Alligator Energy,,.145,-.5,.145,.15,.15,.14,-1.40,.245,.12,,
AYR,281.000,38.837,7.471,.005,-,-,-.31,-,-,-,-,,Alloy Res,,.036,+.1,.035,.036,.036,.035,+4.79,.067,.018,,
AOH,8989.14,108.704,60.987,.130,-,-,.57,48.2,-,-,-,,Altona Min,,.275,-2,.27,.275,.30,.265,-4.85,.452,.084,,
AJM,1282.26,41.236,8.074,.049,-,-,1.30,11.5,-,-,-,,Altura Min,,.15,-,.145,.15,.16,.145,+1.93,.296,.115,,
AJMOA,-,20.733,-,.003,-,-,-,-,-,-,-,,  opt aug11,,.024,-,.023,.03,.024,.024,+1.93,.065,.022,,
AWC,88174.5,1190.73,1227.13,5.978,1.13,2.2,1.38,177.5,6.17,.22,2.52,f,Alumina,,2.45,-25,2.44,2.45,2.72,2.42,-7.33,2.72,1.45,,
AMU,1913.22,73.706,35.132,.081,.29,.9,-2.64,-,-,-,-,,Amadeus Energy,,.27,-1,.265,.27,.28,.265,-1.64,.315,.175,,
AXZ,567.336,6.880,.436,.042,-,-,-2.13,-,-,-,-,,Amex Res,,.71,+14,.71,.72,.73,.56,+26.49,.73,.115,,
AMX,1108.45,39.189,60.156,.539,-,-,-11.95,-,-,-,-,,Ampella Min,,2.65,-20,2.62,2.66,2.88,2.57,-5.09,3.42,1.23,,
AHR,656.046,9.011,5.307,.014,-,-,-1.46,-,-,-,-,,Anchor Res,,.28,+1,.28,.31,.29,.27,+5.63,.33,.12,,
ATM,-,-,.004,2.385,.11,11.4,1.91,65.4,1.42,1.35,1.14,,Aneka Tambang,,1.25,-,.125,-,1.25,1.25,+1.93,1.365,1.186,,
AAR,2157.94,73.311,18.295,.012,-,-,-.15,-,-,-,-,,Anglo Aust Res,,.021,-.1,.021,.023,.023,.021,-2.62,.066,.018,,
AGG,7.451,.497,.494,.830,8.69,1.1,-99.23,-,4.27,-,.46,,Anglogold Ashanti,,9.30,-20,9.27,9.30,9.70,9.16,-.18,10.50,8.10,,
AZZ,4388.60,102.175,100.684,.114,-,-,26.56,1.6,-,-,-,,Antares Energy,,.415,-1,.41,.42,.44,.40,-.42,.86,.29,,
AVM,73.658,1.888,2.073,.066,-,-,-23.97,-,-,-,-,,Anvil Min,,6.32,-48,6.22,6.50,6.97,6.32,-5.13,7.30,2.96,,
AAL,100.000,2.593,1.185,.005,-,-,-.19,-,-,-,-,,APAC Coal,,.022,+.2,.021,.024,.022,.022,+11.93,.065,.02,,
AXM,29363.4,1225.18,1000.93,.067,-,-,-.87,-,-,-,-,,Apex Minerals,,.012,-,.011,.012,.013,.011,+1.93,.026,.011,,
AXMO,8226.94,98.274,149.677,.002,-,-,-,-,-,-,-,,  opt nov12,,.003,-,.003,.004,.004,.002,+1.93,.008,.002,,
AQQ,498.389,30.009,-,.013,-,-,-.32,-,-,-,-,,Aphrodite Gold,,.11,-,.105,.11,.115,.105,+1.93,.175,.086,,
AQQO,237.500,6.183,-,.001,-,-,-,-,-,-,-,,  opt dec13,,.025,-.5,.027,.029,.03,.025,-14.74,.042,.021,,
AON,180.666,11.350,4.809,.012,-,-,-3.96,-,-,-,-,,Apollo Minerals,,.077,-.8,.077,.082,.088,.075,-7.48,.18,.069,,
AONO,20.000,.801,.200,-,-,-,-,-,-,-,-,,  opt nov11,,.011,-,.011,.02,.011,.011,+1.93,.025,.01,,
AQP,8729.06,99.300,104.734,2.496,-,-,26.29,20.2,8.27,3.18,1.56,,Aquarius Platinum,,5.31,-29,5.29,5.39,5.64,5.20,-3.25,7.54,3.89,,
AQA,2258.84,31.989,63.733,3.515,-,-,-10.50,-,-,-,-,,Aquila Res,,9.39,-32,9.35,9.42,9.84,9.12,-1.37,10.31,6.26,,
ARU,8243.41,171.232,42.406,.486,-,-,-3.00,-,-,-,-,,Arafura Resources,,1.32,-3,1.315,1.32,1.395,1.265,-.29,1.79,.38,,
AAG,906.686,38.958,27.710,.068,-,-,1.60,18.1,-,-,-,,Aragon Res,,.29,-,.285,.29,.29,.28,+1.93,.325,.15,,
ARX,8465.75,452.092,103.331,.028,-,-,-.67,-,-,-,-,,ARC Explore,,.034,-.4,.034,.035,.039,.034,-8.60,.053,.015,,
