ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, December 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5256.1 at 2015-12-24T15:05:05. Report at Thursday, December 24, 2015. Processed Saturday at 2015-12-26T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
1PG,3718.51,162.979,744.011,.366,.08,40.50,-15.05,-,-,-,-,,1-Page,,3.24,+87,3.05,3.25,3.25,2.37,+34.78,5.69,.90,,
TDO,210.000,38.885,17.226,.008,-,-,.97,3.4,-,-,-,,3D Oil,,.033,+.5,.031,.033,.033,.028,+15.93,.086,.028,,
DDD,-,34.640,20.923,-,-,-,-.20,-,-,-,-,,3D Res,,.003,-,.002,.004,.003,.003,-1.93,.008,.003,,
4DS,16171.4,108.764,7.901,.022,-,-,-6.71,-,-,-,-,,4DS Memory,†,.04,+.7,.04,.043,.05,.033,+19.28,.077,.009,,
88E,67477.3,3160.14,422.537,.028,-,-,-8.45,-,-,-,-,,88 Energy,,.009,-.1,.008,.009,.009,.007,-11.93,.019,.007,,
88EO,24771.7,503.744,-,.001,-,-,-,-,-,-,-,,  opt mar18,,.003,-.2,.003,.004,.005,.003,-41.93,.007,.002,,
AYC,319.465,37.814,4.984,.012,-,-,-5.90,-,-,-,-,,A1 Gold,,.027,+.2,.026,.028,.027,.026,+6.07,.054,.02,,
AYCO,-,9.820,3.406,.002,-,-,-,-,-,-,-,,  opt nov19,,.007,-,.007,.01,.007,.007,-1.93,.03,.006,,
ABL,-,6.846,98.243,.004,-,-,-4.89,-,-,-,-,,Abilene Oil & Gas,,.012,-,.012,.034,.012,.012,-1.93,.04,.002,,
ABU,6118.76,114.186,484.945,.013,-,-,-3.81,-,-,-,-,,ABM Res,,.037,-2.7,.036,.039,.065,.036,-44.12,.359,.036,,
AJC,2674.75,201.460,125.234,.003,-,-,-.02,-,-,-,-,,Acacia Coal,,.003,-,.003,.004,.003,.003,-1.93,.004,.001,,
ACB,3096.00,26.240,33.985,.009,-,-,-.78,-,-,-,-,,A-Cap Res,,.019,+.2,.016,.019,.019,.015,+9.83,.061,.015,,
ACS,8.300,.724,1.175,.018,-,-,-7.67,-,-,-,-,,Accent Resources,,.10,-2,.10,.12,.12,.10,-18.60,.36,.10,,
AIV,-,38.111,28.151,.006,-,-,-.15,-,-,-,-,,ActiveX,,.01,-,.008,.012,.01,.01,-1.93,.035,.008,,
ADD,-,.631,9.867,-,-,-,-3.69,-,-,-,-,,Adavale Resources,,.014,-,.015,.035,.014,.014,-1.93,.027,.013,,
ADN,432.611,47.323,53.421,.004,-,-,-.44,-,-,-,-,,Adelaide Resources,,.01,-,.009,.011,.011,.009,-1.93,.041,.009,,
ADNO,-,1.110,.522,-,-,-,-,-,-,-,-,,  opt sep16,,.001,-,.001,.004,.001,.001,-1.93,.009,.001,,
ABY,3.872,28.201,34.237,.056,.59,.31,-48.00,-,-,-,-,,Aditya Birla,,.18,-1,.18,.19,.18,.18,-7.19,.26,.145,,
ADY,1517.92,81.782,123.966,.010,-,-,-.48,-,-,-,-,,Admiralty Res,,.01,-,.009,.014,.011,.01,-1.93,.037,.01,,
ADX,200.000,98.270,89.046,.003,-,-,.01,40.0,-,-,-,,ADX Energy,,.004,-,.003,.005,.004,.004,-1.93,.008,.003,,
AQR,999.596,19.791,26.845,.011,-,-,-3.09,-,-,-,-,,AEON Metals,,.031,+.2,.03,.05,.031,.029,+4.96,.10,.029,,
AFR,2510.00,59.239,64.473,.032,-,-,-1.17,-,-,-,-,,African Energy Res,,.052,-,.05,.052,.052,.05,-1.93,.092,.045,,
AMN,150.000,18.985,19.583,.017,-,-,-1.41,-,-,-,-,,Agrimin,,.18,-2,.17,.195,.20,.18,-11.93,.25,.10,,
AGR,238.407,112.289,34.532,.050,-,-,-4.32,-,-,-,-,,Aguia Res,,.135,+.5,.135,.145,.14,.125,+1.91,.225,.025,,
AQG,495.803,61.663,154.968,.172,-,-,34.18,7.5,-,-,-,,Alacer Gold,,2.55,-5,2.50,2.55,2.63,2.43,-3.85,3.39,2.30,,
AUQ,17059.8,611.740,179.877,.008,-,-,-.67,-,-,-,-,,Alara Res,,.016,-.1,.016,.017,.025,.015,-7.81,.042,.005,,
AUQO,1827.16,3.833,-,.002,-,-,-,-,-,-,-,,  opt apr17,,.007,-,.005,.007,.009,.006,-1.93,.009,.002,,
ALY,-,56.974,30.149,.003,-,-,-2.41,-,-,-,-,,Alchemy Resources,,.015,-,.014,.021,.015,.015,-1.93,.051,.013,,
AWD,-,2050.48,1146.05,-,-,-,-24.57,-,-,-,-,,Aleator Energy,†,-,-,-,-,.026,.026,-1.93,.048,.002,,
AQI,-,5.327,3.624,.002,-,-,-5.00,-,-,-,-,,Alicanto Min,,.04,-,.032,.036,.04,.04,-1.93,.077,.035,,
AQX,875.794,14.308,21.637,.005,-,-,-.89,-,-,-,-,,Alice Queen,†,.052,-,.052,.054,.055,.04,-1.93,.055,.005,,
ALK,1209.96,79.335,120.527,.093,-,-,-1.00,-,-,-,-,,Alkane Res,,.225,+4.5,.225,.23,.24,.20,+23.07,.405,.18,,
