ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, March 28, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4979.9 at 2013-03-28T16:46:35. Report at Thursday, March 28, 2013. Processed Saturday at 2013-03-30T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,145.000,1.633,3.561,.024,-,-,-3.61,-,-,-,-,,3D Oil,,.10,-,.071,.095,.10,.08,+.02,.14,.06,,
DDD,-,2.648,6.500,.009,-,-,-.10,-,-,-,-,,3D Res,,.037,-,.03,.036,.037,.037,+.02,.045,.023,,
ARH,228.264,3.256,4.533,.023,-,-,-2.33,-,-,-,-,,A'asian Resources,,.047,-.3,.047,.055,.05,.047,-5.98,.18,.047,,
AYC,103.003,.450,-,.011,-,-,-.47,-,-,-,-,,A1 Gold,,.195,+1.5,.19,.195,.20,.18,+8.35,.30,.18,,
ABU,15031.3,359.985,690.772,.141,-,-,-.43,-,-,-,-,,ABM Res,,.043,-.1,.042,.043,.044,.041,-2.25,.065,.035,,
AJC,2288.23,40.205,119.386,.013,-,-,-.42,-,-,-,-,,Acacia Coal,,.014,-,.014,.015,.014,.013,+.02,.046,.013,,
ACB,1849.74,9.448,17.028,.021,-,-,-1.08,-,-,-,-,,A-Cap Res,,.092,-.3,.09,.092,.097,.09,-3.14,.275,.09,,
ACS,-,.296,89.648,.033,-,-,-.86,-,-,-,-,,Accent Res,,.185,-,.18,.19,.185,.185,+.02,.335,.18,,
AIV,90.000,9.064,7.485,.004,-,-,-.48,-,-,-,-,,ActiveX,,.016,+.3,.013,.016,.016,.013,+23.09,.025,.011,,
ADD,233.334,3.138,13.028,.003,-,-,-1.58,-,-,-,-,,Adavale Resources,,.011,-.5,.012,.016,.015,.011,-31.23,.021,.011,,
ADN,7.500,6.750,44.965,.008,-,-,-3.84,-,-,-,-,,Adelaide Res,,.04,-,.04,.044,.04,.04,+.02,.115,.035,,
ABY,374.163,17.690,22.510,.136,1.61,.27,1.34,32.5,5.00,.27,11.49,,Aditya Birla,,.435,-.5,.435,.46,.475,.435,-1.12,.74,.385,,
ADY,886.578,14.450,28.495,.024,-,-,-2.52,-,-,-,-,,Admiralty Res,,.033,-.1,.033,.034,.035,.033,-2.92,.052,.031,,
AVD,104.406,191.671,3.668,.001,-,-,-.60,-,-,-,-,,Advance Energy,,.001,-,-,.001,.001,.001,+.02,.007,.001,,
ADX,668.014,73.836,50.646,.009,-,-,-3.10,-,-,-,-,,ADX Energy,,.018,-,.018,.02,.019,.017,+.02,.099,.014,,
AQR,173.449,13.593,2.334,.046,-,-,-.13,-,-,-,-,,AEON Metals,,.265,-,.26,.27,.30,.255,+.02,.335,.06,,
AFR,1324.63,28.148,56.898,.042,-,-,-3.36,-,-,-,-,,African Energy Res,,.12,+1,.125,.13,.13,.11,+9.11,.30,.095,,
AGR,94.000,5.244,9.870,.013,-,-,-11.68,-,-,-,-,,Aguia Res,,.10,-3,.11,.12,.13,.10,-23.06,.36,.10,,
AQG,1711.58,51.969,39.325,.410,-,-,-130.01,-,-,-,-,,Alacer Gold,,3.92,+20,3.88,3.95,3.94,3.68,+5.39,8.35,3.10,,
AUQ,147.754,34.601,14.757,.034,-,-,-2.58,-,-,-,-,,Alara Res,,.14,+.5,.135,.14,.145,.13,+3.72,.42,.11,,
ALY,488.030,11.882,14.319,.012,-,-,-.39,-,-,-,-,,Alchemy Resources,,.075,-.2,.072,.075,.082,.071,-2.58,.16,.07,,
