ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AHN,-,1.744,7.799,.002,-,-,-.23,-,-,-,-,,Athena Res,-,.01,-,.007,.01,.01,.01,-1.92,.031,.008,
ATE,440.777,9.172,6.775,.035,-,-,.22,56.8,-,-,-,,Atherton Res,-,.125,-2,.125,.14,.145,.125,-15.72,.205,.09,
AGO,49053.7,1595.13,2378.48,.085,.24,.13,-150.08,-,2.00,-,62.50,,Atlas Iron,-,.032,-,.031,.033,.034,.03,-1.92,.555,.018,
AGOO,8210.00,188.584,-,.009,-,-,-,-,-,-,-,,  opt jun17,-,.005,-.2,.005,.006,.006,.005,-30.49,.013,.003,
ATU,80.090,13.696,24.356,.103,-,-,-14.05,-,-,-,-,,Atrum Coal,-,.555,-3.5,.56,.59,.58,.55,-7.86,1.482,.45,
ACP,-,.144,.184,.053,-,-,-.23,-,-,-,-,,Audalia Res,-,.225,-,.02,.20,.225,.225,-1.92,.23,.14,
AUK,-,4.322,14.033,.005,-,-,-.25,-,-,-,-,,Augur Res,-,.017,-,.013,.034,.017,.017,-1.92,.033,.01,
AEE,1132.42,88.997,53.447,.005,-,-,-1.35,-,-,-,-,,Aura Energy,-,.014,-.3,.014,.015,.019,.014,-19.57,.041,.014,
AEEOA,-,5.164,-,-,-,-,-,-,-,-,-,,  opt jun17,-,.004,-,.002,.006,.004,.004,-1.92,.006,.004,
AMI,4641.71,112.026,57.271,.006,-,-,-2.93,-,-,-,-,,Aurelia Metals,-,.016,-2,.016,.017,.036,.015,-57.48,.358,.015,
AOU,35.900,5.726,1.760,.005,-,-,-2.37,-,-,-,-,,Auroch Min,-,.08,-,.08,.085,.08,.08,-1.92,.125,.02,
ARM,250.000,12.867,20.295,.003,-,-,-1.27,-,-,-,-,,Aurora Minerals,-,.026,+.4,.026,.032,.026,.022,+16.26,.047,.021,
AQJ,-,30.369,5.347,.003,-,-,-6.66,-,-,-,-,,Aus Asia Minerals,-,.004,-,.003,.004,.004,.004,-1.92,.028,.001,
ANW,-,57.459,41.986,.005,-,-,-.12,-,-,-,-,,Aus Tin Mining,-,.004,-,.004,.005,.004,.004,-1.92,.006,.003,
AUC,-,15.797,36.809,.010,-,-,-.36,-,-,-,-,,Ausgold,-,.036,-,.037,.04,.036,.036,-1.92,.05,.02,
AOA,250.000,12.413,24.002,.001,-,-,-.35,-,-,-,-,,Ausmon Resources,-,.005,-,.005,.007,.005,.005,-1.92,.01,.005,
AQC,2151.06,118.355,403.663,.003,.01,.70,-1.04,-,-,-,-,,Aust Pacific Coal,X,.007,+.1,.006,.008,.007,.005,+14.74,.02,.002,
AQD,1014.52,289.025,88.154,.009,-,-,-.24,-,-,-,-,,AusQuest,-,.018,-,.017,.018,.018,.017,-1.92,.035,.007,
AQDO,286.250,17.840,11.162,-,-,-,-,-,-,-,-,,  opt nov16,-,.004,-,.002,.004,.004,.004,-1.92,.01,.002,
AQDOA,-,17.821,-,-,-,-,-,-,-,-,-,,  opt apr18,-,.008,-,.008,.01,.008,.008,-1.92,.013,.004,
ABX,806.536,33.729,56.142,.033,-,-,-1.33,-,-,-,-,,Aust Bauxite,-,.235,+3.5,.235,.24,.235,.195,+15.58,.375,.145,
AUZ,6313.74,217.386,125.602,.005,-,-,-.40,-,-,-,-,,Aust Mines,-,.005,-,.004,.005,.005,.004,-1.92,.015,.004,
AOC,166.580,4.202,15.696,.005,-,-,-.98,-,-,-,-,,Aust Oil Co,-,.05,+1,.045,.06,.05,.043,+23.08,.21,.035,
ARW,-,3.472,2.789,.009,.47,.46,1.11,19.4,-,-,-,,Aust Renewable,-,.215,-,.16,.21,.215,.215,-1.92,.45,.076,
AYM,-,10.560,5.418,-,.03,.03,-.37,-,-,-,-,,Aust United Mining,-,.001,-,.001,.004,.001,.001,-1.92,.008,.001,
AOK,486.299,107.455,254.588,.040,.13,.55,-4.08,-,-,-,-,,AusTex Oil,-,.072,+.2,.07,.072,.072,.068,+.93,.27,.062,
AKK,983.000,120.279,2231.93,.007,-,-,-8.91,-,-,-,-,,Austin Explore,X,.02,-,.02,.021,.02,.019,-1.92,.21,.019,
APG,662.153,131.522,90.577,.010,-,-,-.08,-,-,-,-,,Austpac Res,-,.008,-.2,.007,.009,.01,.007,-21.92,.02,.005,
AGD,-,1.269,1.605,.072,-,-,-7.55,-,-,-,-,,Austral Gold,-,.15,-,.06,-,.15,.15,-1.92,.18,.081,
AVI,235.000,9.243,128.743,.007,-,-,-1.20,-,-,-,-,,Avalon Minerals,X,.028,+.3,.02,.028,.03,.028,+10.08,.08,.02,
AVB,2624.39,174.891,550.050,.145,-,-,-.05,-,-,-,-,,Avanco Res,-,.059,-,.058,.061,.061,.055,-1.92,.11,.055,
