ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BRBCA,-,.900,.328,-,-,-,-,-,-,-,-,,  ctg,-,.004,-,.011,.031,.004,.004,-1.92,.015,.003,
BGC,257.000,1.743,-,.007,7.21,.02,-.26,-,-,-,-,,Bridge Global Mgt,-,.175,+.5,.075,.18,.18,.14,+1.02,.22,.039,
BCK,2.133,10.157,20.590,.251,-,-,-.59,-,-,-,-,,Brockman Min,-,.03,-,.03,.05,.03,.03,-1.92,.053,.025,
BPL,-,4.295,3.943,.005,-,-,-.52,-,-,-,-,,Broken Hill Prospect,-,.037,-,.037,.049,.037,.037,-1.92,.067,.031,
BPLO,-,1.511,-,-,-,-,-,-,-,-,-,,  opt nov19,-,.005,-,.005,.01,.005,.005,-1.92,.012,.005,
BRK,38181.8,386.878,356.158,.007,-,-,-93.15,-,-,-,-,,Brookside Energy,X,.002,+.1,.001,.002,.002,.001,+98.08,.188,.001,
BNR,281.419,24.352,15.373,.005,-,-,1.17,2.2,-,-,-,,Bulletin Res,-,.026,+.1,.026,.027,.026,.022,+2.08,.031,.012,
BPF,831.300,27.992,22.567,.043,-.02,-,4.23,8.0,-,-,-,,Bulletproof Grp,-,.34,+2,.33,.34,.34,.30,+4.33,.37,.18,
BYR,220.000,142.218,51.998,.017,-,-,-.24,-,-,-,-,,Burey Gold,-,.024,+.2,.023,.024,.024,.022,+7.17,.037,.012,
BYRO,-,3.473,-,-,-,-,-,-,-,-,-,,  opt jul17,-,.005,-,.005,.01,.005,.005,-1.92,.005,.001,
BUR,23447.0,84.887,118.317,.001,-,-,-.48,-,-,-,-,,Burleson Energy,-,.003,+.1,.002,.004,.003,.002,+48.08,.015,.001,
BRU,3287.57,118.678,183.496,.114,-,-,-10.32,-,-,-,-,,Buru Energy,-,.335,-4,.33,.37,.38,.33,-12.59,.835,.26,
BUX,6592.27,146.936,68.876,.012,-,-,-5.81,-,-,-,-,,Buxton Res,-,.13,-4.5,.13,.135,.175,.12,-27.64,.325,.069,
BUXO,61.315,1.319,1.480,-,-,-,-,-,-,-,-,,  opt jan16,-,.05,-,.021,.05,.05,.05,-1.92,.12,.01,
BYE,5.356,4.024,17.249,.037,-,-,-2.96,-,-,-,-,,Byron Energy,-,.19,-1,.11,.19,.20,.19,-6.92,.76,.15,
CAD,13084.8,440.706,341.428,.003,-,-,-.77,-,-,-,-,,Caeneus Minerals,-,.004,-.3,.003,.004,.005,.004,-44.78,.02,.004,
CGH,225.624,18.676,19.576,.035,.05,2.00,-46.40,-,2.50,-,25.00,f,Calibre Grp,-,.10,-.5,.09,.115,.11,.10,-6.68,.42,.10,
CAE,100.000,5.479,10.567,.001,-,-,-.64,-,-,-,-,,Cannindah Res,-,.013,+.4,.005,.015,.013,.012,+42.52,.028,.008,
CAY,411.607,12.525,36.827,.007,-,-,-3.12,-,-,-,-,,Canyon Res,-,.05,-.2,.05,.053,.054,.05,-5.77,.056,.034,
CAYO,-,-,.750,-,-,-,-,-,-,-,-,,  opt feb16,-,.009,-,-,.007,.009,.009,-1.92,.009,.007,
CAYOA,3149.78,6.759,4.415,-,-,-,-,-,-,-,-,,  opt jan17,-,.009,-.1,.009,.01,.01,.009,-11.92,.013,.005,
CFE,3146.92,195.682,264.906,.011,-,-,-5.81,-,-,-,-,f,Cape Lambert Res,-,.017,-.1,.017,.018,.018,.016,-7.48,.12,.014,
CMYDA,686.198,.686,-,.002,-,-,-5.70,-,-,-,-,,Capital Min,X,.016,-,.012,.016,.016,.012,-,.016,.012,
CJC,.024,119.763,282.269,-,-,-,-34.20,-,-,-,-,,Carajas Copper Co,X,.007,-,.007,.012,.007,.007,-1.92,.06,.003,
CVV,338.500,108.753,104.501,.005,-,-,-.49,-,-,-,-,,Caravel Min,-,.005,-.1,.005,.006,.006,.005,-18.59,.018,.005,
CVVOA,-,2.200,23.095,-,-,-,-,-,-,-,-,,  opt may16,-,.001,-,-,.001,.001,.001,-1.92,.004,.001,
CRB,214.564,30.366,23.983,.009,-,-,-1.62,-,-,-,-,,Carbine Res,-,.063,+.3,.063,.068,.067,.06,+3.08,.085,.029,
CNQ,119.120,29.702,30.171,.022,-,-,-.79,-,-,-,-,,Carbine Tungsten,-,.07,-1,.07,.075,.08,.07,-14.42,.175,.07,
CNX,818.269,196.913,249.229,.019,-,-,-.47,-,-,-,-,,Carbon Energy,-,.014,-.1,.014,.015,.015,.014,-8.59,.10,.012,
CNXO,-,50.523,102.678,-,-,-,-,-,-,-,-,,  opt jul16,-,.002,-,.002,.003,.002,.002,-1.92,.04,.002,
CRM,-,.045,.176,.003,-,-,-.33,-,-,-,-,,Carbon Minerals,-,.18,-,.08,.18,.18,.18,-1.92,.25,.16,
CDV,56.685,21.444,19.175,.012,-,-,-4.99,-,-,-,-,,Cardinal Res,-,.11,-,-,-,.11,.11,-1.92,.13,.036,
CDVOA,-,11.959,-,.004,-,-,-,-,-,-,-,,  opt sep19,-,.045,-,-,-,.045,.045,-1.92,.05,.012,
CVN,2103.41,340.386,1079.21,.099,-,-,2.50,4.0,-,-,-,,Carnarvon Pet,-,.10,-.5,.10,.105,.105,.10,-6.68,.25,.09,
CVNO,305.000,3.500,13.491,-,-,-,-,-,-,-,-,,  opt dec15,-,.015,-.5,.01,.05,.016,.015,-26.92,.15,.015,
CAV,1303.40,272.292,18.063,.003,-,-,-.57,-,-,-,-,,Carnavale Res,-,.012,-.1,.012,.013,.013,.011,-9.62,.045,.009,
CAP,55.325,4.274,7.082,.004,-,-,-6.31,-,-,-,-,,Carpentaria Expl,-,.03,-,.03,.037,.036,.03,-1.92,.069,.025,
CZI,1282.81,90.955,197.449,.009,-,-,-8.55,-,-,-,-,,Cassini Res,-,.041,+.3,.041,.044,.041,.037,+5.97,.26,.037,
CCZ,-,150.272,174.025,-,-,-,-.40,-,-,-,-,,Castillo Copper,-,.002,-,.002,.003,.002,.002,-1.92,.004,.001,
CDT,250.000,6.273,20.600,.001,-,-,-.63,-,-,-,-,,Castle Minerals,-,.008,-,.007,.013,.008,.008,-1.92,.025,.006,
CYL,-,4.207,.178,.018,-,-,-2.30,-,-,-,-,,Catalyst Metals,-,.34,-,-,.34,.34,.34,-1.92,.42,.18,
CXU,39.915,6.502,35.652,.034,-,-,-2.91,-,-,-,-,,Cauldron Energy,-,.135,+.5,.135,.20,.135,.13,+1.92,.25,.09,
CAZ,872.638,14.007,12.030,.004,-,-,-1.58,-,-,-,-,,Cazaly Res,-,.028,+.9,.024,.028,.028,.019,+45.45,.057,.018,
CLA,1000.00,11.236,444.588,.003,-,-,-1.09,-,-,-,-,,Celsius Coal,-,.001,-,-,.001,.001,.001,-1.92,.001,.001,
CTM,71.875,92.307,25.241,.002,-,-,-3.83,-,-,-,-,,Centaurus Metals,-,.005,-,.005,.006,.005,.005,-1.92,.105,.004,
CTMO,-,.040,-,-,-,-,-,-,-,-,-,,  opt mar17,-,.001,-,.001,.002,.001,.001,-1.92,.001,.001,
CTP,1067.91,81.777,125.797,.039,-,-,-6.44,-,-,-,-,,Central Petroleum,-,.105,-.5,.105,.11,.11,.105,-6.47,.335,.076,
CXM,-,7.662,10.348,.021,-,-,-.39,-,-,-,-,f,Centrex Metals,-,.068,-,.068,.075,.068,.068,-1.92,.115,.062,
CHN,1036.95,30.486,45.549,.029,-,-,-4.11,-,-,-,-,,Chalice Gold Mines,-,.102,+.2,.10,.105,.102,.10,+.08,.14,.095,
CEL,1299.50,46.480,70.248,.011,-,-,-.37,-,-,-,-,,Challenger Energy,-,.03,-.1,.029,.03,.032,.029,-5.15,.09,.029,
CELO,-,2.036,2.089,-,-,-,-,-,-,-,-,,  opt jun16,-,.005,-,-,.005,.005,.005,-1.92,.025,.003,
CIA,195.667,16.612,12.427,.028,-,-,-6.19,-,-,-,-,,Champion Iron,-,.14,-,.12,.18,.14,.125,-1.92,.26,.07,
CHZ,15.210,141.430,90.844,.007,-,-,5.08,.6,-,-,-,,Chesser Res,-,.033,-,.033,.035,.033,.033,-1.92,.036,.017,
CMC,350.752,5.801,5.945,.007,.06,.58,-1.70,-,-,-,-,,China Magnesium,-,.035,+1.4,.035,.04,.035,.025,+64.74,.09,.021,
CWC,113.804,61.779,39.578,.049,-,-,-2.18,-,-,-,-,,China Waste Corp,-,.55,-7,.51,.575,.62,.55,-13.21,.75,.08,
CYU,81.000,16.854,19.692,.009,-,-,-1.65,-,-,-,-,,Chinalco Yunnan Cu,-,.018,-.2,.017,.022,.022,.018,-11.92,.038,.013,
CYS,332.925,30.389,8.939,.007,-,-,-1.35,-,-,-,-,,Chrysalis Res,-,.02,-.1,.02,.024,.021,.02,-6.68,.04,.006,
CNW,6194.48,271.073,74.661,.007,-,-,-2.03,-,-,-,-,,Cirrus Networks,X,.024,+.3,.024,.025,.025,.022,+12.36,.039,.012,
CTR,110.000,245.436,946.035,.004,-,-,-143.00,-,-,-,-,,Citation Res,X,.073,+.6,.067,.073,.073,.069,+7.03,.40,.001,
CTRO,-,.923,228.513,-,-,-,-,-,-,-,-,,  opt dec15,X,.001,-,-,.001,.001,.001,-1.92,.01,.001,
CTO,1334.05,500.697,139.617,.045,-,-,-18.89,-,-,-,-,,Citigold Corp,-,.026,+.1,.026,.027,.026,.025,+2.08,.045,.013,
CLY,2060.15,33.410,36.725,.003,-,-,-.53,-,-,-,-,,Clancy Explore,-,.01,+.1,.009,.01,.01,.009,+9.19,.017,.007,
CLZ,-,35.938,37.052,.002,-,-,-1.50,-,-,-,-,,Classic Minerals,-,.005,-,.004,.006,.005,.005,-1.92,.03,.004,
CDG,128.708,31.879,22.031,.012,-,-,-5.80,-,-,-,-,,Cleveland Min,-,.051,+.5,.051,.054,.051,.044,+8.95,.087,.032,
CDGO,-,.050,.380,-,-,-,-,-,-,-,-,,  opt jul16,-,.003,-,-,.001,.003,.003,-1.92,.007,.002,
CZA,31.091,11.531,5.651,.129,-,-,-.61,-,-,-,-,,Coal of Africa,-,.067,-.3,.067,.07,.07,.067,-6.21,.135,.027,
CBQ,-,26.168,105.216,.002,-,-,-.52,-,-,-,-,,Coalbank,-,.002,-,.002,.003,.002,.002,-1.92,.006,.001,
COK,910.000,1123.22,685.330,.067,.01,.10,-.06,-,-,-,-,,Cockatoo Coal,-,.001,-,.001,.002,.001,.001,-1.92,.005,.001,
CHK,433.753,2.838,8.312,.002,-,-,-1.41,-,-,-,-,,Cohiba Min,X,.016,+.1,.011,.016,.019,.016,+4.74,.055,.006,
CKA,85.200,122.762,52.688,.048,-,-,-3.59,-,-,-,-,,Cokal,-,.096,+.1,.091,.099,.096,.096,-.87,.16,.042,
CRL,-,5.221,3.789,.001,-,-,-.59,-,-,-,-,,Comet Res,-,.013,-,.014,.016,.013,.013,-1.92,.03,.011,
COI,2250.42,34.656,55.393,.047,-,-,-1.48,-,-,-,-,,Comet Ridge,-,.09,+3.1,.085,.093,.09,.059,+50.62,.17,.038,
CDB,5664.75,97.936,1329.23,.002,-,-,-.60,-,-,-,-,,Condor Blanco Min,X,.028,+.3,.028,.03,.032,.025,+10.08,.09,.005,
CPD,-,6.399,2.820,.001,-,-,-21.50,-,-,-,-,,Condoto Platinum,-,.016,-,.016,.025,.016,.016,-1.92,.024,.01,
CNJ,-,8.413,4.744,.001,-,-,-.32,-,-,-,-,,Conico,-,.009,-,.007,.01,.009,.009,-1.92,.012,.005,
CZL,4477.01,449.075,304.888,.008,-,-,-4.20,-,-,-,-,,Consolidated Zinc,X,.038,+.1,.038,.04,.039,.034,+.78,.08,.002,
CZLO,-,77.651,7.950,-,-,-,-,-,-,-,-,,  opt jul16,X,-,-,-,-,.001,.001,-1.92,.001,.001,
CSD,1020.31,29.623,25.161,.013,-,-,-.39,-,-,-,-,,Consolidated Tin Min,-,.048,-,.048,.053,.054,.046,-1.92,.078,.037,
CVG,-,35.752,58.176,.004,-,-,-.08,-,-,-,-,,Convergent Min,-,.01,-,-,-,.01,.01,-1.92,.024,.006,
COE,817.525,87.361,68.650,.055,.51,.32,6.70,2.5,-,-,-,,Cooper Energy,-,.165,-.5,.165,.17,.18,.165,-4.86,.475,.165,
CSE,-,12.798,50.906,.019,-,-,-.44,-,-,-,-,,Copper Strike,-,.18,-,.195,.20,.18,.18,-1.92,.295,.175,
COY,633.000,31.313,17.033,.002,-,-,-.29,-,-,-,-,,Coppermoly,-,.005,-,.005,.007,.007,.005,-1.92,.012,.003,
CZN,2622.49,228.381,249.996,.002,-,-,-.12,-,-,-,-,,Corazon Min,-,.005,-,.005,.006,.005,.005,-1.92,.01,.004,
CXO,484.973,54.915,171.771,.005,-,-,-.86,-,-,-,-,,Core Exploration,-,.026,+.2,.025,.026,.026,.024,+6.41,.072,.02,
CMT,-,3.299,9.528,.002,-,-,-2.42,-,-,-,-,,Cott Oil & Gas,-,.022,-,.022,.03,.022,.022,-1.92,.125,.018,
CMTO,-,-,.509,-,-,-,-,-,-,-,-,,  opt dec15,-,.025,-,-,-,.025,.025,-1.92,.025,.02,
CGM,-,20.742,30.938,-,-,-,.05,2.0,-,-,-,,Cougar Metals,-,.001,-,.001,.002,.001,.001,-1.92,.005,.001,
CCJ,50.000,5.679,7.277,.002,.03,.60,-11.57,-,-,-,-,,County Coal,-,.018,+.5,.007,.018,.018,.018,+42.08,.031,.013,
CVT,4173.93,264.051,339.273,.110,.02,14.25,-8.50,-,-,-,-,,Covata,X,.285,-1,.28,.29,.30,.265,-5.31,.685,.021,
CVE,2914.00,85.071,-,.005,-,-,-.88,-,-,-,-,,Cove Res,-,.005,-,.005,.006,.005,.004,-1.92,.006,.003,
CVEO,-,7.700,-,.002,-,-,-,-,-,-,-,,  opt jun19,-,.003,-,.002,.003,.003,.003,-1.92,.003,.001,
CYY,2401.78,215.377,5.722,.012,-,-,2.15,2.8,-,-,-,,Coventry Res,-,.061,-.1,.06,.061,.063,.058,-3.54,.11,.006,
CZR,20.000,20.490,49.065,.018,-,-,-.21,-,-,-,-,,Coziron Res,-,.014,-.1,.011,.014,.014,.014,-8.59,.03,.003,
CXX,27.500,16.009,16.139,.030,-,-,-1.55,-,-,-,-,,Cradle Res,-,.23,-,.205,.23,.23,.22,-1.92,.28,.13,
CGN,123.791,11.362,12.954,.019,-,-,-1.26,-,-,-,-,,Crater Gold Mining,-,.11,+1.1,.10,.11,.11,.096,+9.19,.155,.079,
CRQ,-,5.986,4.035,.002,-,-,-.62,-,-,-,-,,Credo Res,-,.025,-,.01,.023,.025,.025,-1.92,.03,.012,
CTT,100.888,30.229,4.594,.002,-,-,-.95,-,-,-,-,,Crest Min,-,.011,-,.013,.015,.011,.011,-1.92,.013,.003,
CUX,424.156,9.831,29.642,.002,-,-,-.58,-,-,-,-,,Crossland Metals,-,.006,-.1,.006,.009,.006,.006,-16.21,.012,.006,
CAS,-,8.654,41.889,.024,-,-,-8.88,-,-,-,-,,Crusader Res,-,.145,-,.12,.14,.145,.145,-1.92,.375,.115,
CUE,-,220.895,61.241,.045,.12,.54,5.74,1.1,-,-,-,,Cue Energy Res,-,.065,-,.065,.079,.065,.065,-1.92,.115,.059,
CQC,-,4.218,9.400,.016,-,-,-.66,-,-,-,-,,Cuesta Coal,-,.03,-,.022,.03,.03,.03,-1.92,.087,.02,
CUL,2850.57,133.473,404.217,.004,-,-,-.19,-,-,-,-,,Cullen Res,-,.003,-,.003,.004,.004,.003,-1.92,.013,.003,
DCN,772.002,11.335,4.671,.059,-,-,-6.50,-,-,-,-,,Dacian Gold,-,.61,+12,.61,.625,.64,.49,+22.57,.64,.25,
DKO,2.150,11.872,301.458,.001,-,-,-1.36,-,-,-,-,,Dakota Minerals,X,.021,+.1,.021,.022,.021,.02,+3.08,.10,.001,
DAU,.150,3.886,13.112,.001,-,-,-2.07,-,-,-,-,,Dampier Gold,-,.016,-,.014,.02,.016,.016,-1.92,.026,.009,
DNK,346.459,26.521,31.192,.054,-,-,-5.43,-,-,-,-,,Danakali,-,.31,-2,.305,.31,.32,.295,-7.98,.565,.167,
DTM,146.000,22.314,24.923,.004,-,-,-.22,-,-,-,-,,Dart Min,-,.016,-,.014,.017,.016,.016,-1.92,.048,.012,
DTR,-,5.678,5.026,-,-,-,-.94,-,-,-,-,,Dateline Res,-,.01,-,.008,.015,.01,.01,-1.92,.03,.008,
DEG,-,135.170,220.345,.001,-,-,-.04,-,-,-,-,,De Grey Min,-,.001,-,-,.001,.001,.001,-1.92,.002,.001,
DYL,462.660,195.988,342.610,.019,-,-,-1.12,-,-,-,-,,Deep Yellow,-,.01,-,.01,.011,.011,.01,-1.92,.019,.008,
DSB,-,3.583,3.085,.005,.34,.32,1.59,6.9,-,-,-,f,Delta SBD,-,.11,-,.09,.11,.11,.11,-1.92,.20,.056,
DMI,153.525,1.208,3.162,.002,-,-,-1.63,-,-,-,-,,Dempsey Min,-,.075,-,.066,.08,.075,.074,-1.92,.087,.05,
DGR,17.912,48.456,39.225,.014,-,-,-3.16,-,-,-,-,f,DGR Global,-,.033,-.2,.033,.037,.033,.033,-7.64,.047,.023,
DRX,125.000,19.472,25.448,.008,-,-,-1.07,-,-,-,-,,Diatreme Res,-,.01,+.3,.009,.01,.01,.007,+40.93,.019,.006,
DRXO,-,1.000,6.974,-,-,-,-,-,-,-,-,,  opt mar16,-,.002,-,-,.002,.002,.002,-1.92,.002,.002,
DAF,199.586,8.329,29.940,-,-,-,-4.84,-,-,-,-,,Discovery Africa,-,.004,-.1,.004,.006,.005,.004,-21.92,.028,.004,
DAFO,-,.662,6.484,-,-,-,-,-,-,-,-,,  opt dec16,-,.001,-,-,-,.001,.001,-1.92,.008,.001,
DME,2.222,.622,.334,.060,-,-,-1.32,-,-,-,-,,Dome Gold Mines,-,.43,-2,-,.43,.45,.43,-6.37,.45,.26,
DRM,1320.06,75.651,99.854,.117,-,-,9.65,4.4,-,-,-,,Doray Minerals,-,.425,+.5,.42,.425,.425,.415,-.73,.619,.265,
DUO,82336.3,2168.93,12.075,.008,-,-,143.50,.0,-,-,-,,Dourado Res,X,.013,-.1,.012,.013,.014,.011,-9.07,.08,.005,
DLE,-,.688,.384,.001,-,-,-.54,-,-,-,-,,Dragon Energy,-,.006,-,.006,-,.006,.006,-1.92,.053,.006,
DRA,58.366,4.693,3.662,.014,.56,.28,14.73,1.1,-,-,-,,Dragon Min,-,.155,-1.5,.15,.155,.16,.155,-10.75,.23,.08,
DMG,-,11.622,23.042,.003,-,-,-.19,-,-,-,-,,Dragon Mtn Gold,-,.013,-,.013,.017,.013,.013,-1.92,.02,.012,
DRK,2105.59,187.371,419.078,.002,-,-,-.47,-,-,-,-,,Drake Res,-,.004,-,.003,.004,.004,.003,-1.92,.013,.003,
DRKOB,-,29.200,-,-,-,-,-,-,-,-,-,,  opt aug17,-,.001,-,-,.001,.001,.001,-1.92,.002,.001,
DLS,10803.5,361.912,318.368,.231,.63,.79,-1.80,-,-,-,-,,Drillsearch Energy,-,.50,-2,.50,.52,.53,.485,-5.77,1.37,.485,
DGO,-,13.190,54.428,.001,-,-,-1.26,-,-,-,-,,Drummond Gold,X,.002,-,.002,.003,.002,.002,-1.92,.004,.002,
DKM,148.314,26.605,13.540,.008,-,-,-2.31,-,-,-,-,,Duketon Mining,-,.10,-,.10,.105,.10,.10,-1.92,.46,.096,
DMA,-,7.098,.785,.003,-,-,-.64,-,-,-,-,,Dynasty Resources,-,.008,-,.006,.012,.008,.008,-1.92,.03,.006,
EER,-,1.789,4.632,.004,-,-,-1.30,-,-,-,-,,East Energy Res,-,.01,-,.005,.018,.01,.01,-1.92,.03,.008,
EFE,10.307,4.616,4.570,.002,-,-,-1.44,-,-,-,-,,Eastern Iron,-,.012,-,.012,.019,.012,.012,-1.92,.043,.011,
EAR,57.500,10.067,15.102,.015,-,-,-1.07,-,-,-,-,,Echo Res,-,.11,-,.105,.11,.115,.11,-1.92,.159,.057,
EPM,250.000,73.161,56.999,.003,-,-,-.02,-,-,-,-,,Eclipse Metals,-,.004,+.1,.003,.004,.004,.004,+31.41,.006,.001,
EDE,11679.2,983.133,91.101,.068,-,-,-.18,-,-,-,-,,Eden Energy,-,.07,+.6,.069,.07,.073,.06,+7.45,.095,.008,
EDEO,1938.77,82.636,-,.009,-,-,-,-,-,-,-,,  opt sep18,-,.044,+.9,.043,.048,.045,.032,+23.79,.065,.002,
ELM,748.812,70.462,45.213,.081,-,-,-.97,-,-,-,-,,Elemental Min,-,.20,+4,.19,.20,.21,.165,+23.08,.28,.12,
ELMO,511.618,4.780,-,.003,-,-,-,-,-,-,-,,  opt jan16,-,.035,+.7,-,.06,.035,.028,+23.08,.05,.024,
ELT,420.000,71.288,37.808,.008,-,-,-.28,-,-,-,-,,Elementos,-,.011,+.2,.01,.011,.011,.009,+20.30,.012,.004,
EXR,-,197.312,60.387,.002,-,-,-.23,-,-,-,-,,Elixir Pet,-,.002,-,.001,.002,.002,.002,-1.92,.005,.001,
EXRO,-,-,3.000,-,-,-,-,-,-,-,-,,  opt sep16,-,.001,-,-,.001,.001,.001,-1.92,.001,.001,
ELK,29.180,20.116,25.658,.020,-,-,-3.55,-,-,-,-,,Elk Petroleum,-,.098,-,.081,.10,.098,.098,-1.92,.125,.02,
ELKO,-,9.863,.950,-,-,-,-,-,-,-,-,,  opt jul17,-,.01,-,.006,.012,.01,.01,-1.92,.013,.001,
EYM,200.000,22.449,76.987,.004,-,-,-.30,-,-,-,-,,Elysium Res,-,.003,-,.002,.003,.003,.003,-1.92,.009,.002,
EYMO,-,-,.319,-,-,-,-,-,-,-,-,,  opt mar16,-,.001,-,-,-,.001,.001,-1.92,.001,.001,
EMR,1733.34,101.038,448.031,.026,-,-,-.13,-,-,-,-,,Emerald Res,-,.02,-.1,.02,.023,.023,.02,-6.68,.027,.016,
EMG,7016.66,132.384,15.381,.004,-,-,-1.48,-,-,-,-,,Emergent Res,-,.018,+.1,.017,.018,.02,.016,+3.96,.026,.007,
ERM,622.280,81.425,171.202,.013,-,-,-.22,-,-,-,-,,Emmerson Res,-,.035,-,.035,.036,.036,.034,-1.92,.041,.021,
ERX,-,.265,-,.004,-,-,-.30,-,-,-,-,,Emperor Range Grp,-,.20,-,-,.18,.20,.20,-1.92,.23,.11,
EEG,609.153,39.581,29.767,.007,-,-,-4.50,-,-,-,-,,Empire Energy,-,.023,-.2,.023,.027,.027,.023,-9.92,.118,.020,
EGO,14316.1,1500.21,794.262,.041,-,-,.05,8.0,-,-,-,,Empire Oil & Gas,-,.004,-,.004,.005,.004,.004,-1.92,.008,.004,
EGOO,53.284,181.471,-,.002,-,-,-,-,-,-,-,,  opt apr18,-,.002,-,.002,.003,.002,.002,-1.92,.003,.001,
ERL,-,15.790,5.907,.002,-,-,-.50,-,-,-,-,,Empire Res,-,.008,-,.009,.02,.008,.008,-1.92,.023,.002,
EMU,-,2.124,.836,-,-,-,-.28,-,-,-,-,,Emu Nickel,-,.019,-,.019,.07,.019,.019,-1.92,.032,.017,
ENR,-,7.813,6.230,.020,-,-,-.37,-,-,-,-,,Encounter Res,-,.15,-,.14,.18,.15,.15,-1.92,.25,.081,
EVR,57.700,17.996,54.214,.027,-,-,-68.76,-,-,-,-,,Endeavour Mining,-,.63,+2.5,.63,.645,.63,.605,+2.21,.81,.415,
ENX,15.000,5.001,3.392,-,-,-,-.49,-,-,-,-,,Enegex NL,-,.009,-,.009,.01,.009,.009,-1.92,.018,.007,
EMX,3069.80,124.990,165.807,.028,-,-,-.97,-,-,-,-,,Energia Minerals,-,.046,-,.046,.047,.048,.046,-1.92,.065,.024,
EME,5.407,2.881,.717,.020,-,-,-.43,-,-,-,-,,Energy Metals,-,.093,-,.093,.13,.093,.093,-1.92,.15,.09,
ERA,4781.55,105.862,84.617,.166,-,-,-61.00,-,-,-,-,,Energy Res,-,.32,-1,.315,.34,.34,.32,-4.95,1.405,.32,
EWC,15581.3,124.780,330.881,.364,.38,.55,1.88,11.2,-,-,-,,Energy World Corp,-,.21,+1.5,.20,.225,.225,.195,+5.77,.45,.175,
ENA,32.000,2.840,-,.005,-,-,-7.33,-,-,-,-,,Ensurance,-,.20,-,.20,.22,.21,.20,-1.92,.26,.185,
ETE,410.000,41.790,85.778,.009,-,-,.87,2.0,-,-,-,,Entek Energy,-,.017,-.1,.016,.017,.018,.017,-7.48,.047,.016,
ENT,1047.00,88.017,160.802,.009,-,-,-3.20,-,-,-,-,,Enterprise Metals,-,.03,+.1,.028,.03,.03,.028,+1.53,.095,.011,
ENU,-,.624,1.672,.001,-,-,-4.93,-,-,-,-,,Enterprise Uranium,-,.018,-,.018,.027,.018,.018,-1.92,.05,.015,
ENZ,194.878,11.852,8.573,.012,-,-,-21.13,-,-,-,-,,Enzumo,X,.32,+1,.30,.33,.33,.29,+1.30,.40,.007,
EQX,1911.55,20.680,43.310,.041,-,-,-6.41,-,-,-,-,,Equatorial Res,-,.33,+5.5,.325,.335,.33,.275,+18.08,.33,.20,
EQE,2085.00,49.109,27.702,.005,-,-,-3.90,-,-,-,-,,Equus Min,-,.012,-.4,.011,.015,.016,.011,-26.92,.025,.008,
ESM,-,10.048,4.166,.005,-,-,-1.60,-,-,-,-,,Esperance Min,-,.042,-,.037,.042,.042,.042,-1.92,.05,.005,
ESRDA,714.250,.714,-,.002,-,-,-9.08,-,-,-,-,,Estrella Res,X,.03,-,.03,.032,.03,.03,-,.03,.03,
GOLD,13.944,1.159,1.297,.417,-,-,63.17,236.9,-,-,-,,ETFS Physical Gold,-,149.62,-46,149.50,152.30,150.50,147.64,-2.23,159.42,126.89,
EUM,-,1.083,1.202,.001,-,-,-2.73,-,-,-,-,,Eumeralla Res,-,.03,-,.027,.049,.03,.03,-1.92,.066,.03,
EMH,206.732,66.685,1.814,.009,-,-,-1.99,-,-,-,-,,European Metals,-,.11,+1,.11,.12,.115,.105,+8.08,.265,.04,
EMHO,-,19.352,-,-,-,-,-,-,-,-,-,,  opt jun16,-,.044,-,.044,.057,.044,.044,-1.92,.145,.005,
EVN,113869,1356.99,428.213,1.808,1.32,.95,13.71,9.2,2.00,6.85,1.59,,Evolution Mining,-,1.255,+12,1.25,1.27,1.305,1.125,+8.65,1.305,.435,
ERD,-,7.393,10.307,.003,-,-,-.81,-,-,-,-,,Exalt Res,-,.031,-,.033,.035,.031,.031,-1.92,.033,.012,
ERDO,-,-,.136,-,-,-,-,-,-,-,-,,  opt dec15,-,.002,-,-,.002,.002,.002,-1.92,.002,.002,
EXM,162.000,10.569,12.030,-,-,-,-1.40,-,-,-,-,,Excalibur Min,-,.005,-,.004,.005,.005,.004,-1.92,.01,.002,
EXG,1588.70,35.925,30.465,.032,-,-,-.68,-,-,-,-,,Excelsior Gold,-,.065,+.4,.06,.065,.065,.051,+4.63,.11,.051,
EXE,-,45.510,145.727,.016,-,-,-.22,-,-,-,-,,Exoma Engy,-,.038,-,-,-,.038,.038,-1.92,.05,.022,
EXU,257.608,105.335,17.474,.002,-,-,3.30,.8,-,-,-,,Explaurum,X,.026,-.4,.027,.03,.03,.025,-15.26,.07,.004,
EXC,-,14.200,9.492,.002,-,-,-.77,-,-,-,-,,Exterra Res,-,.01,-,.011,.016,.01,.01,-1.92,.022,.008,
FCN,677.000,63.722,11.471,.002,-,-,-.21,-,-,-,-,,Falcon Minerals,-,.012,-,.012,.014,.012,.011,-1.92,.018,.005,
