ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, October 21, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4203.4 at 2011-10-21T16:39:29. Report at Friday, October 21, 2011. Processed Saturday at 2011-10-22T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,146.677,14.283,26.267,.025,-,-,-.49,-,-,-,-,,3D Oil,,.125,-.5,.125,.135,.13,.125,-2.31,.285,.105,,
DDD,501.380,17.598,27.720,.010,-,-,-.33,-,-,-,-,,3D Res,,.045,+.1,.037,.043,.045,.038,+3.81,.062,.034,,
ARH,264.481,22.429,21.063,.119,-,-,-.07,-,-,-,-,,A'asian Resources,,.26,-2.5,.26,.265,.295,.255,-7.24,.63,.15,,
AAM,787.339,106.170,197.588,.003,-,-,-8.45,-,-,-,-,,A1 Minerals,,.017,-.1,.017,.018,.019,.017,-4.02,.14,.017,,
ABU,31866.7,2744.61,1886.93,.157,-,-,-.41,-,-,-,-,,ABM Res,,.059,-.3,.059,.06,.063,.058,-3.30,.068,.024,,
ACB,2833.53,155.604,46.113,.052,-,-,-2.30,-,-,-,-,,A-Cap Res,,.26,-3.5,.26,.275,.32,.24,-10.33,.76,.165,,
ACS,475.111,27.605,30.715,.055,-,-,-.54,-,-,-,-,,Accent Res,,.32,-,.32,.33,.34,.30,+1.54,.46,.205,,
AEX,4779.00,1089.36,2017.33,.004,-,-,-.50,-,-,-,-,,Acclaim Explore,,.002,-,.002,.003,.003,.002,+1.54,.025,.001,,
AEXCD,-,1.000,-,-,-,-,-,-,-,-,-,,  ctg,,.004,-,-,-,.004,.004,+1.54,.004,.003,,
ACN,505.492,121.295,150.321,.055,-,-,-5.10,-,-,-,-,,Acer Energy Ltd,,.12,-,.12,.13,.13,.12,+1.54,.245,.088,,
AIV,545.387,140.613,24.603,.005,-,-,-.95,-,-,-,-,,ActiveX,,.03,+.2,.028,.03,.03,.028,+8.68,.124,.025,,
AIVO,-,4.776,-,-,-,-,-,-,-,-,-,,  opt jul12,,.003,-,-,-,.003,.003,+1.54,.014,.002,,
ADU,7883.74,235.613,159.478,.295,-,-,-12.33,-,-,-,-,,Adamus Res,,.655,-2.5,.655,.665,.725,.65,-2.14,.895,.525,,
ADD,127.000,170.514,31.469,.007,.01,2.1,-.47,-,-,-,-,,Adavale Resources,,.021,-.4,.023,.025,.025,.021,-14.46,.042,.02,,
AAO,65.436,20.267,15.733,.031,-,-,-3.04,-,-,-,-,,Adept Solutions,†,.505,-4.5,.45,.525,.55,.505,-6.65,.80,.135,,
AAOO,-,4.089,.479,-,-,-,-,-,-,-,-,,  opt apr13,†,-,-,-,-,.066,.066,+1.54,.16,.05,,
ADE,1246.13,202.830,61.754,.063,-,-,-4.62,-,-,-,-,,Adelaide Energy,,.135,+.5,.13,.135,.135,.13,+5.38,.185,.06,,
ADN,1017.30,34.271,44.178,.013,-,-,-.98,-,-,-,-,,Adelaide Res,,.091,-.2,.083,.089,.095,.084,-.61,.27,.07,,
ABY,1671.58,120.963,149.310,.331,1.69,.6,18.32,5.8,9.00,2.04,8.53,f,Aditya Birla,,1.055,+2.5,1.05,1.055,1.13,.975,+3.96,1.95,.75,,
ADY,1255.42,645.543,2742.13,.029,-,-,2.84,1.7,-,-,-,,Admiralty Res,†,.048,-.1,.048,.049,.05,.048,-.50,.097,.023,,
AVD,676.507,170.818,14.024,.002,-.03,-,-4.44,-,-,-,-,,Advance Energy,,.008,-,.008,.01,.01,.008,+1.54,.035,.006,,
AVDOA,-,81.133,-,-,-,-,-,-,-,-,-,,  opt aug12,,.002,-,-,-,.002,.002,+1.54,.01,.001,,
ADX,5198.64,313.462,349.172,.039,-,-,-1.57,-,-,-,-,,ADX Energy,,.095,+.9,.089,.098,.099,.088,+12.00,.13,.062,,
AFR,4794.62,501.895,68.586,.116,-,-,-1.58,-,-,-,-,,African Energy Res,,.355,-1.5,.35,.36,.39,.35,-2.52,1.045,.20,,
AKI,16340.9,376.773,5.310,.092,-,-,-2.70,-,-,-,-,,African Iron,†,.24,-,.24,.245,.30,.23,+1.54,.45,.165,,
AKIOA,1554.33,19.417,1.751,.003,-,-,-,-,-,-,-,,  opt dec13,†,.12,+4,.11,.135,.135,.079,+51.54,.25,.055,,
AAE,4756.64,489.807,112.045,.004,-,-,-.17,-,-,-,-,,Agri Energy,,.006,-.1,.006,.007,.007,.005,-12.75,.033,.004,,
AGR,255.978,22.765,12.617,.047,-,-,-4.62,-,-,-,-,,Aguia Res,,.60,+3,.60,.61,.62,.59,+6.80,1.56,.405,,
AQG,1679.44,92.066,-,.821,-,-,-,-,-,-,-,,Alacer Gold,,10.15,-20,9.91,10.20,10.79,9.91,-.40,11.68,7.60,,
AUQ,558.848,95.171,21.477,.061,-,-,-3.84,-,-,-,-,,Alara Res,,.29,-.5,-,-,.30,.27,-.16,.51,.22,,
ALY,2149.60,70.048,106.355,.013,-,-,-1.58,-,-,-,-,,Alchemy Resources,,.13,-.5,.13,.135,.15,.125,-2.17,.815,.125,,
AYN,25007.5,4133.65,1022.01,.122,-,-,-.39,-,-,-,-,,Alcyone Res,,.092,-.3,.091,.092,.098,.09,-1.62,.145,.035,,
ALK,3442.63,350.565,146.524,.296,-,-,-1.22,-,-,-,-,,Alkane Res,,1.10,-11.5,1.10,1.115,1.275,1.065,-7.93,2.73,.65,,
AGS,5312.61,95.359,80.107,.044,-,-,-2.53,-,-,-,-,,Alliance Res,,.13,-1.5,.13,.135,.14,.125,-8.81,.54,.125,,
ALD,168.382,174.785,149.701,.170,-,-,-.64,-,-,-,-,,Allied Gold,†,2.30,-30,2.28,2.56,2.63,2.22,-10.00,4.00,.425,,
AGE,789.529,83.747,-,.015,-,-,-,-,-,-,-,,Alligator Energy,,.115,+1,.105,.12,.115,.10,+11.06,.245,.076,,
AYR,1283.70,287.478,37.529,.006,-,-,-.30,-,-,-,-,,Alloy Res,,.031,+.3,.031,.032,.033,.028,+12.25,.076,.025,,
AYM,393.524,12.542,-,.017,-,-,-,-,-,-,-,,Altuis Mining,,.083,+.7,.076,.083,.085,.076,+10.75,.15,.06,,
AOH,4259.91,315.119,148.346,.127,-,-,-3.83,-,-,-,-,,Altona Min,,.245,-2,.245,.255,.27,.24,-6.01,.452,.205,,
AJM,1626.52,110.170,58.177,.072,-,-,-.59,-,-,-,-,,Altura Min,,.16,+.5,.16,.17,.165,.155,+4.76,.225,.13,,
AWC,71869.0,3492.68,4008.24,3.306,1.14,1.2,1.88,72.1,6.83,.28,5.04,f,Alumina,,1.355,-15,1.355,1.37,1.535,1.35,-8.43,2.72,1.32,,
AMU,2415.17,161.075,109.728,.058,.27,.8,-2.23,-,-,-,-,,Amadeus Energy,,.205,-,.205,.21,.215,.205,+1.54,.315,.19,,
AXZ,32.500,10.946,3.144,.080,-,-,-3.29,-,-,-,-,,Amex Res,,1.245,+1.5,1.115,1.21,1.245,1.10,+2.76,1.50,.16,,
AMX,1097.30,87.367,134.438,.311,-,-,-12.25,-,-,-,-,,Ampella Min,,1.515,-20,1.50,1.56,1.795,1.505,-10.13,3.42,1.505,,
AHR,-,13.250,9.045,.015,-,-,-2.96,-,-,-,-,,Anchor Res,,.28,-,-,-,.28,.28,+1.54,.34,.14,,
ATM,-,-,.017,2.385,-,-,2.60,48.1,3.28,.79,2.62,,Aneka Tambang,,1.25,-,-,-,1.217,1.217,+1.54,1.365,1.20,,
AAR,248.000,151.803,340.890,.007,-,-,-.13,-,-,-,-,,Anglo Aust Res,,.011,-,.011,.012,.011,.011,+1.54,.046,.008,,
AGG,6.439,3.243,4.671,.719,2.60,3.1,55.83,14.4,4.65,12.01,.58,,Anglogold Ashanti,,8.06,-24,7.45,8.60,8.25,8.01,-1.36,10.25,6.50,,
AZZ,1435.23,211.374,299.368,.096,-,-,26.90,1.4,-,-,-,,Antares Energy,,.365,-1,.365,.375,.39,.355,-1.13,.56,.34,,
AZY,742.681,44.114,-,.010,-,-,-,-,-,-,-,,Antipa Min Ltd,,.19,-1,.19,.21,.215,.19,-3.46,.31,.12,,
AZYO,37.500,9.492,-,.002,-,-,-,-,-,-,-,,  opt mar13,,.075,-,.057,.095,.075,.075,+1.54,.13,.04,,
AVM,419.322,5.104,5.009,.082,-,-,-23.97,-,-,-,-,,Anvil Min,,7.43,+10,7.31,7.48,7.43,7.25,+2.90,7.68,4.64,,
AAL,-,3.677,2.576,.002,-,-,-.32,-,-,-,-,,APAC Coal,,.01,-,-,-,.01,.01,+1.54,.04,.009,,
AXM,30145.3,3201.38,2331.14,.044,-,-,.49,1.6,-,-,-,,Apex Minerals,,.008,-,.008,.009,.009,.007,+1.54,.026,.006,,
AXMO,7369.87,186.445,310.965,.002,-,-,-,-,-,-,-,,  opt nov12,,.003,+.1,.003,.004,.003,.002,+51.54,.008,.001,,
AQQ,473.526,59.455,18.091,.011,-,-,-.60,-,-,-,-,,Aphrodite Gold,,.09,-.2,.09,.094,.095,.088,-.64,.16,.086,,
AQQO,-,15.304,7.555,.001,-,-,-,-,-,-,-,,  opt dec13,,.025,-,.016,.025,.025,.025,+1.54,.042,.021,,
AON,248.000,27.687,18.220,.011,-,-,-1.80,-,-,-,-,,Apollo Minerals,,.07,+.5,.068,.07,.07,.065,+9.23,.125,.049,,
AONO,-,3.301,1.029,-,-,-,-,-,-,-,-,,  opt nov11,,.001,-,-,-,.001,.001,+1.54,.016,.001,,
AQP,4916.94,271.971,329.767,1.279,-,-,-2.10,-,7.71,-,2.83,,Aquarius Platinum,,2.72,-23,2.70,2.80,3.12,2.69,-6.26,6.81,2.58,,
AQA,1253.41,88.539,131.080,1.939,-,-,-17.70,-,-,-,-,,Aquila Res,,5.18,-30,5.17,5.40,5.75,5.15,-3.94,10.31,4.32,,
ARU,4468.76,382.269,204.039,.221,-,-,-2.20,-,-,-,-,,Arafura Resources,,.60,-5.0,.595,.62,.679,.60,-6.11,1.736,.456,,
ARX,1490.00,590.076,351.789,.012,-,-,-.44,-,-,-,-,,ARC Explore,,.015,+.1,.015,.016,.016,.014,+8.68,.053,.012,,
ARXO,-,1.471,5.066,-,-,-,-,-,-,-,-,,  opt jun12,,.002,-,-,-,.002,.002,+1.54,.016,.001,,
AXE,-,21.800,7.437,.013,-,-,-1.50,-,-,-,-,,Archer Explore,,.19,-,-,-,.19,.19,+1.54,.32,.13,,
ARD,903.331,153.504,22.631,.026,-,-,-8.40,-,-,-,-,,Argent Minerals,,.185,-.5,.185,.195,.21,.185,-1.10,.29,.073,,
AVK,177.816,24.306,-,.004,-,-,-,-,-,-,-,,Argentina Min,,.12,-1,.12,.14,.13,.105,-6.16,.375,.105,,
AVKO,80.000,7.821,-,.001,-,-,-,-,-,-,-,,  opt mar15,,.054,-,-,-,.06,.054,+1.54,.22,.038,,
AXT,50.000,43.132,71.148,.003,-,-,-1.51,-,-,-,-,,Argo Explore,,.04,-,-,-,.04,.04,+1.54,.165,.036,,
ARE,986.857,79.323,57.047,.018,-,-,-1.75,-,-,-,-,,Argonaut Res,,.07,-.5,-,-,.078,.07,-5.13,.195,.047,,
AGY,357.920,31.327,6.118,.009,-,-,-1.12,-,-,-,-,,Argosy Minerals,†,.076,-2.3,.078,.12,.12,.075,-21.70,.365,.024,,
AHK,372.350,24.114,-,.005,-,-,-,-,-,-,-,,ARK Mines Ltd,,.195,-.5,.185,.225,.20,.185,-.96,.425,.14,,
ARV,2182.17,211.701,263.361,.007,-,-,-1.70,-,-,-,-,,Artemis Res,,.021,-.5,.021,.024,.033,.021,-17.69,.10,.021,,
AAJ,254.298,6.467,3.511,.002,-,-,-,-,-,-,-,,Aruma Res,,.065,-.7,.065,.07,.075,.065,-8.19,.25,.065,,
ATN,2582.66,517.327,111.498,.009,-,-,-.22,-,-,-,-,,Ashburton Min,,.012,+.1,.011,.012,.013,.011,+10.63,.071,.007,,
AKM,7873.15,309.347,218.031,.236,-,-,-.93,-,-,-,-,,Aspire Min,,.38,-6.5,.375,.385,.45,.375,-13.07,1.14,.21,,
AZT,2142.25,111.822,18.056,2.080,-,-,127.00,8.0,-,-,-,,Aston Res,,10.17,-17,10.01,10.40,10.44,10.02,-.11,12.22,6.02,,
ARO,15145.0,1260.65,2730.13,.005,-,-,-.06,-,-,-,-,,Astro Res,,.003,-,.003,.004,.003,.002,+1.54,.007,.002,,
AROOB,-,48.770,238.050,-,-,-,-,-,-,-,-,,  opt nov12,,.001,-,-,-,.001,.001,+1.54,.003,.001,,
AHN,293.612,56.258,10.653,.009,-,-,-.79,-,-,-,-,,Athena Res,,.085,-.1,.084,.089,.086,.084,+.37,.221,.075,,
AHNOA,-,2.486,2.061,.001,-,-,-,-,-,-,-,,  opt apr12,,.03,-,-,-,.03,.03,+1.54,.09,.02,,
ATV,825.722,78.151,75.682,.022,-,-,-.19,-,-,-,-,,Atlantic Gold,,.042,-.4,.041,.044,.046,.042,-7.16,.078,.039,,
ATVCD,3672.60,4.781,.188,-,-,-,-,-,-,-,-,,  ctg,,.003,-.3,.003,.005,.006,.001,-48.46,.03,.001,,
ATI,125.142,33.240,830.722,.178,-,-,12.60,12.4,-,-,-,,Atlantic,,1.56,-4,1.56,1.65,1.60,1.50,-.96,2.45,1.20,,
ATIO,-,1.595,131.867,.006,-,-,-,-,-,-,-,,  opt dec11,,1.26,-,-,-,1.26,1.26,+1.54,2.15,1.02,,
AGO,51936.5,1508.96,831.502,2.712,1.98,1.5,26.70,11.4,3.00,8.90,.98,,Atlas Iron,,3.05,-25,3.04,3.06,3.48,2.94,-6.04,4.34,2.43,,
ACZ,-,3.894,1.878,.005,-,-,.07,257.1,-,-,-,,Atticus Resources,,.18,-,-,-,.18,.18,+1.54,.20,.15,,
ACZO,-,2.176,.993,-,-,-,-,-,-,-,-,,  opt sep12,,.023,-,-,-,.023,.023,+1.54,.05,.023,,
AYA,-,3.082,-,.002,-,-,-3.03,-,-,-,-,,Attila Res,,.15,-,-,-,.15,.15,+1.54,1.007,.15,,
AYAO,-,.324,-,.001,-,-,-,-,-,-,-,,  opt jun14,,.10,-,-,-,.10,.10,+1.54,.21,.081,,
ACP,-,.823,-,.003,-,-,-,-,-,-,-,,Audalia Res Ltd,,.21,-,-,-,.21,.21,+1.54,.24,.10,,
ACPO,-,.045,-,-,-,-,-,-,-,-,-,,  opt apr14,,.03,-,-,-,.03,.03,+1.54,.03,.03,,
AUK,124.731,67.830,32.565,.046,-,-,-1.64,-,-,-,-,,Augur Res,,.26,-1,-,-,.27,.255,-2.17,.48,.18,,
AEE,482.776,126.187,65.105,.030,-,-,-2.10,-,-,-,-,,Aura Energy,,.22,-3,.22,.23,.255,.22,-10.46,.56,.18,,
AGU,906.000,234.028,130.416,.008,-,-,-.31,-,-,-,-,,Aurium Res,,.027,+.5,.025,.027,.027,.025,+24.26,.097,.022,,
AGUOA,175.000,74.984,20.250,-,-,-,-,-,-,-,-,,  opt sep12,,.006,-,-,-,.006,.006,+1.54,.062,.006,,
ARM,304.101,80.292,92.587,.014,-,-,-6.17,-,-,-,-,,Aurora Minerals,,.13,-.5,.13,.14,.145,.13,-2.17,.645,.13,,
AUT,7792.25,428.034,152.077,1.143,-,-,1.73,160.7,-,-,-,,Aurora Oil & Gas,,2.78,+3,2.75,2.80,2.95,2.75,+2.63,3.71,1.245,,
AIW,245.225,268.825,193.374,.007,-,-,-2.50,-,-,-,-,,Aust-American Min,†,.10,-,.082,.095,.10,.096,+1.54,.45,.045,,
AIWO,1445.33,57.968,8.025,-,-,-,-,-,-,-,-,,  opt dec12,†,.003,+.1,-,-,.003,.003,+51.54,.036,.001,,
AUC,58.636,30.604,47.172,.114,-,-,-1.11,-,-,-,-,,Ausgold,,1.335,-1.5,1.335,1.49,1.38,1.33,+.42,1.81,.38,,
AUCO,10.000,5.685,32.278,.055,-,-,-,-,-,-,-,,  opt mar13,,1.13,+1,-,-,1.13,1.13,+2.43,1.60,.20,,
AOA,-,1.172,4.329,.014,-,-,-2.23,-,-,-,-,,Ausmon Resources,,.20,-,-,.25,.20,.20,+1.54,.225,.14,,
ANW,130.000,3.981,1.252,.002,-,-,-1.10,-,-,-,-,,AusNiCo,,.04,-.4,-,-,.044,.04,-7.56,.22,.04,,
AQC,1081.67,645.282,238.134,.020,-,-,-.50,-,-,-,-,,Aust Pacific Coal,,.037,-.1,.037,.038,.04,.037,-1.10,.095,.018,,
AQD,172.200,37.972,29.828,.018,-,-,-4.59,-,-,-,-,,AusQuest,,.08,+.4,.075,.08,.08,.077,+6.80,.22,.075,,
AQR,100.100,18.690,180.581,.028,-,-,-3.71,-,-,-,-,,Aussie Q Res,,.19,-1,-,-,.20,.19,-3.46,.59,.19,,
ABZ,204.701,12.209,20.503,.022,-,-,-1.38,-,-,-,-,,Aust Bauxite,,.48,-,.47,.49,.49,.47,+1.54,.89,.395,,
AKA,49.828,15.255,15.854,.007,-,-,-1.07,-,-,-,-,,Aust Minerals &  Min,,.14,-.5,-,-,.145,.14,-1.91,.235,.095,,
AKAO,2185.16,20.499,1.715,-,-,-,-,-,-,-,-,,  opt oct11,,.012,-,.012,.015,.012,.007,+1.54,.045,.001,,
AUZ,2824.95,231.652,5329.34,.011,-,-,-.73,-,-,-,-,,Aust Mines,†,.017,+.3,.016,.017,.017,.014,+22.96,.04,.013,,
AUZO,-,49.467,1.500,-,-,-,-,-,-,-,-,,  opt jun13,†,.004,-,-,-,.004,.004,+1.54,.017,.001,,
AOC,233.067,23.738,5.397,.005,-,-,-1.20,-,-,-,-,,Aust Oil Co,,.075,-.2,.065,.08,.085,.075,-1.06,.19,.06,,
AOCOA,-,8.345,2.657,-,-,-,-,-,-,-,-,,  opt dec11,,.018,-,-,-,.018,.018,+1.54,.029,.009,,
AOM,13770.0,2101.32,45.631,.007,-,-,-.16,-,-,-,-,,Aust Oriental Min,,.003,+.2,-,-,.003,.001,+201.5,.004,.001,,
ARW,24452.9,608.452,242.855,.032,.01,1.8,-.48,-,-,-,-,,Aust Renewable,,.018,+.2,.017,.018,.019,.016,+14.04,.029,.011,,
ARWO,2583.33,205.169,-,.004,-,-,-,-,-,-,-,,  opt dec11,,.009,+.2,.008,.01,.009,.007,+30.11,.02,.004,,
AOK,434.459,67.317,146.801,.019,-,-,-1.08,-,-,-,-,,AusTex Oil,,.086,+.7,.079,.085,.093,.083,+10.40,.14,.07,,
AOKO,-,11.800,12.519,-,-,-,-,-,-,-,-,,  opt dec11,,.001,-,-,-,.001,.001,+1.54,.023,.001,,
AKK,48897.1,783.614,353.835,.017,-,-,-.21,-,-,-,-,,Austin Explore,,.028,+.1,.027,.028,.029,.025,+5.24,.044,.022,,
AKKO,-,65.826,86.965,-,-,-,-,-,-,-,-,,  opt nov11,,.001,-,-,-,.001,.001,+1.54,.01,.001,,
AKKOA,6832.14,81.107,-,.001,-,-,-,-,-,-,-,,  opt jul13,,.007,-.1,.006,.007,.008,.005,-10.96,.01,.004,,
AKKOB,11822.2,106.141,-,-,-,-,-,-,-,-,-,,  opt jul12,,.003,-,.002,.003,.003,.003,+1.54,.006,.002,,
APG,1488.73,425.212,199.472,.044,-,-,-.25,-,-,-,-,,Austpac Res,,.044,-,.042,.044,.044,.042,+1.54,.105,.031,,
AGD,223.556,3.858,3.277,.048,-,-,7.90,3.6,-,-,-,,Austral Gold,,.285,+2.5,.25,.285,.285,.25,+11.15,.35,.20,,
AZX,290.314,43.903,52.665,.025,-,-,-2.40,-,-,-,-,,Auzex Res,*,.26,-1.5,.24,.25,.271,.247,-3.92,.75,.247,,
AZXOA,-,2.734,2.583,.002,-,-,-,-,-,-,-,,  opt feb12,,.13,-,-,.135,.13,.13,+1.54,.54,.13,,
AVI,302.849,49.957,28.727,.018,-,-,-1.10,-,-,-,-,,Avalon Minerals,,.074,-,.075,.08,.082,.072,+1.54,.345,.071,,
AVB,245060,1962.79,3496.76,.079,-,-,-.35,-,-,-,-,,Avanco Res,,.10,+2.8,.10,.105,.125,.089,+40.42,.195,.056,,
AVBOB,12221.6,144.364,1117.07,.013,-,-,-,-,-,-,-,,  opt apr12,,.083,+2.7,.083,.087,.10,.075,+49.75,.17,.042,,
AVY,-,2.217,1.092,.003,-,-,-.99,-,-,-,-,,Avenue Res,,.165,-,-,-,.165,.165,+1.54,.40,.14,,
