ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 19, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4171.9 at 2011-08-19T16:44:18. Report at Friday, August 19, 2011. Processed Saturday at 2011-08-20T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,192.245,11.538,21.022,.027,-,-,-.44,-,-,-,-,,3D Oil,,.135,-,.13,.145,.135,.115,+1.56,.285,.105,,
DDD,725.800,15.320,14.591,.008,-,-,-.93,-,-,-,-,,3D Res,,.041,-.1,.041,.045,.042,.036,-.82,.062,.028,,
ARH,204.327,17.915,15.694,.094,-,-,.57,36.0,-,-,-,,A'asian Resources,,.205,-.5,.205,.21,.22,.20,-.82,.63,.15,,
AAM,3321.51,94.269,152.110,.005,-,-,-2.95,-,-,-,-,,A1 Minerals,,.024,-.6,.025,.026,.029,.023,-18.44,.165,.022,,
ABU,26795.5,2217.83,950.259,.125,-,-,.82,5.7,-,-,-,,ABM Res,,.047,-.3,.047,.049,.052,.046,-4.44,.058,.024,,
ACB,1739.62,130.461,38.981,.061,-,-,-2.10,-,-,-,-,,A-Cap Res,,.305,-5,.305,.31,.365,.30,-12.53,.76,.165,,
ACS,372.175,20.920,24.462,.060,-,-,-.69,-,-,-,-,,Accent Res,,.345,+1,.34,.345,.355,.33,+4.54,.46,.205,,
AEX,10826.0,985.134,1767.80,.005,-,-,-.21,-,-,-,-,,Acclaim Explore,,.003,+.1,.002,.003,.003,.002,+51.56,.027,.002,,
AEXCD,-,1.000,-,-,-,-,-,-,-,-,-,,  ctg,,.004,-,-,-,.004,.004,+1.56,.004,.003,,
ACN,791.789,113.622,91.756,.062,-,-,-2.20,-,-,-,-,,Acer Energy Ltd,,.135,-1,.135,.14,.155,.135,-5.34,.245,.069,,
AIV,100.000,92.674,19.994,.005,-,-,-1.06,-,-,-,-,,ActiveX,,.033,-.2,.031,.035,.035,.032,-4.16,.124,.025,,
AIVO,-,2.302,-,-,-,-,-,-,-,-,-,,  opt jul12,,.004,-,-,-,.004,.004,+1.56,.014,.002,,
ADU,9569.35,144.979,115.657,.293,-,-,-38.53,-,-,-,-,,Adamus Res,,.65,-,.645,.65,.68,.64,+1.56,.895,.525,,
ADD,961.334,158.202,22.624,.008,.02,1.3,-.61,-,-,-,-,,Adavale Resources,,.026,+.2,.026,.029,.027,.024,+9.89,.042,.015,,
AAO,156.743,18.701,7.558,.037,-,-,-1.22,-,-,-,-,,Adept Solutions,†,.60,+3,.60,.70,.60,.52,+6.82,.80,.051,,
AAOO,-,4.089,.113,-,-,-,-,-,-,-,-,,  opt apr13,†,-,-,-,-,.066,.066,+1.56,.16,.011,,
ADE,16888.4,159.496,49.624,.049,-,-,.37,33.8,-,-,-,,Adelaide Energy,,.125,-,.125,.13,.155,.12,+1.56,.185,.06,,
ADN,124.100,27.156,35.541,.014,-,-,-.58,-,-,-,-,,Adelaide Res,,.094,-.4,.094,.099,.105,.094,-2.52,.27,.087,,
ABY,2724.50,90.304,121.465,.354,1.69,.7,18.32,6.2,9.00,2.04,7.96,f,Aditya Birla,,1.13,-9,1.12,1.13,1.32,1.12,-5.82,1.95,.82,,
ADY,3171.30,629.863,2301.54,.032,-,-,3.01,1.7,-,-,-,,Admiralty Res,†,.052,-.1,.045,.054,.053,.051,-.33,.097,.023,,
AVD,2796.57,164.342,11.750,.003,-.02,-,-4.95,-,-,-,-,,Advance Energy,,.012,+.2,.008,.012,.012,.008,+21.56,.035,.007,,
AVDOA,800.000,73.040,-,-,-,-,-,-,-,-,-,,  opt aug12,,.002,-,-,-,.002,.002,+1.56,.01,.002,,
ADX,4191.36,245.938,248.198,.039,-,-,-.76,-,-,-,-,,ADX Energy,,.097,-.1,.094,.099,.105,.095,+.54,.16,.07,,
AED,-,92.427,49.082,.035,.89,.2,-3.48,-,-,-,-,,AED Oil,,.145,-,-,-,.145,.145,+1.56,.585,.074,,
AFR,15417.8,414.367,34.536,.122,-,-,-.63,-,-,-,-,,African Energy Res,,.375,-.5,.375,.385,.495,.37,+.24,1.045,.077,,
AKI,7969.29,295.093,3.870,.108,-,-,1.05,28.6,-,-,-,,African Iron,†,.30,-,.30,.31,.33,.295,+1.56,.45,.09,,
AKIOA,462.666,15.784,1.628,.003,-,-,-,-,-,-,-,,  opt dec13,†,.12,+.5,.115,.12,.125,.115,+5.90,.25,.02,,
AAE,8925.18,428.452,106.845,.005,-,-,-15.73,-,-,-,-,,Agri Energy,,.008,-,.008,.009,.009,.008,+1.56,.033,.005,,
AGR,882.006,20.108,9.530,.052,-,-,-5.47,-,-,-,-,,Aguia Res,,.66,+6,.64,.66,.70,.62,+11.56,1.56,.405,,
AQG,3927.96,67.203,-,.756,-,-,-,-,-,-,-,,Alacer Gold,,9.95,+50,9.92,9.97,10.10,8.97,+6.85,10.53,7.60,,
AUQ,1126.44,85.432,6.535,.061,-,-,-3.44,-,-,-,-,,Alara Res,,.29,-.5,.29,.295,.32,.275,-.14,.51,.091,,
ALB,230.000,88.485,-,.031,-,-,18.52,.5,-,-,-,,Albidon,,.089,+.4,.082,.085,.09,.084,+6.26,.30,.039,,
ALY,1198.08,58.117,74.903,.015,-,-,-2.22,-,-,-,-,,Alchemy Resources,,.15,-1,.145,.15,.17,.145,-4.69,.815,.125,,
AYN,28644.3,3800.67,250.705,.124,-,-,-.20,-,-,-,-,,Alcyone Res,,.094,-.2,.094,.095,.10,.091,-.53,.145,.019,,
AYNOB,-,.117,-,-,-,-,-,-,-,-,-,,  opt sep11,,.024,-,-,-,.024,.024,+1.56,.039,.021,,
ALK,5919.96,285.070,58.986,.444,-,-,3.00,55.0,-,-,-,,Alkane Res,,1.65,-4,1.61,1.66,1.87,1.555,-.81,2.73,.425,,
AGS,4467.62,72.157,58.539,.063,-,-,-1.90,-,-,-,-,,Alliance Res,,.185,+3,.175,.185,.20,.16,+20.91,.54,.135,,
