ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:07 Friday 21/5/2010. Processed 13:42 Sunday 23/5/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,954.2,16.317,14.362,0.04,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.20,2,0.18,0.20,0.21,0.18,17.94,0.39,0.087
DDD,1365.53,7.91,2.659,0.003,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,-0.2,0.02,0.022,0.022,0.02,-2.26,0.026,0.009
AAO,136,4.368,5.137,0.008,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.072,0.8,0.05,0.06,0.072,0.064,19.33,0.109,0.025
AAOO,-,0.063,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.02,,0.016,0.02,0.02,0.02,6.83,0.02,0.012
ARH,840.894,11.115,7.016,0.119,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.27,-5.5,0.25,0.27,0.335,0.215,-10.09,0.70,0.215
AAM,5430.98,72.526,23.9,0.036,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.185,-4.5,0.19,0.195,0.24,0.18,-12.73,0.42,0.13
ABU,24120.6,401.352,100.066,0.028,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.018,-0.4,0.018,0.019,0.023,0.016,-11.35,0.07,0.016
AII,92,0.712,0.884,0.018,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.13,2,0.12,0.13,0.13,0.11,25.01,0.25,0.11
ACB,666.352,28.236,21.02,0.049,0.14,2.1,-0.91,-,-,-,-,,A-Cap Res,,0.30,-5,0.30,0.34,0.35,0.30,-7.45,0.60,0.30
ACS,357.25,18.272,3.315,0.023,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.16,-2,0.15,0.16,0.17,0.13,-4.28,0.27,0.12
AEX,17131.7,1506.75,93.776,0.013,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.013,-0.4,0.013,0.014,0.017,0.01,-16.70,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.02,0.003,0.003,6.83,0.003,0.003
AIV,309.717,14.934,3.387,0.007,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.08,-2,0.07,0.08,0.095,0.08,-13.17,0.14,0.05
AIVO,-,2.523,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.01,,0.006,0.02,0.01,0.01,6.83,0.06,0.001
ADU,7461.63,76.466,7.645,0.183,-,-,-12.87,-,-,-,-,,Adamus Res,,0.47,-7,0.46,0.475,0.58,0.43,-6.13,0.58,0.303
ADD,390.968,14.753,11.852,0.006,0.02,1.7,-0.96,-,-,-,-,,Adavale Resource,,0.033,0.2,0.033,0.037,0.038,0.031,13.28,0.065,0.019
ADE,1584,35.802,16.141,0.03,-,-,0.97,13.9,-,-,-,,Adelaide Energy,,0.135,-1.5,0.135,0.14,0.165,0.135,-3.17,0.215,0.105
ADN,1100.44,28.279,17.979,0.018,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.16,-1,0.14,0.16,0.165,0.135,0.95,0.395,0.075
ADI,23203.2,54.27,18.829,0.069,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.405,12.5,0.405,0.41,0.42,0.405,51.47,0.42,0.059
ABY,6403.4,76.657,189.255,0.23,1.51,0.5,19.61,3.7,-,-,-,,Aditya Birla,,0.735,-21.5,0.73,0.735,0.94,0.665,-15.80,1.65,0.50
ADY,51143.1,1775.95,4163.53,0.021,-,-,0.09,10.0,-,-,-,,Admiralty Res,,0.009,-0.1,0.009,0.01,0.011,0.009,-3.17,0.032,0.009
AVD,-,1.066,4.328,0.006,-,-,-3.1,-,-,-,-,,Advance Energy,,0.037,,0.018,0.025,0.037,0.037,6.83,0.125,0.036
AED,1268.78,31.33,50.587,0.099,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.525,-7.5,0.51,0.535,0.60,0.485,-5.67,1.04,0.485
AFR,889.347,22.557,7.022,0.022,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.079,-0.6,0.08,0.09,0.09,0.079,-0.23,0.24,0.05
