ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4597.2 at 16:47 27/11/2009  Report at 19:06 Friday 27/11/2009. Processed 20:06 Sunday 29/11/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,843.491,63.986,120.213,0.051,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.255,-1.5,0.255,0.28,0.285,0.255,-3.23,0.325,0.07
DDD,13.165,12.566,8.056,0.002,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.02,,0.02,0.025,0.02,0.02,2.33,0.026,0.007
AAO,274,17.312,6.262,0.009,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.092,-0.3,0.086,0.095,0.095,0.086,-0.83,0.12,0.018
ARH,631.983,22.203,44.37,0.215,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.485,-4,0.485,0.50,0.54,0.48,-5.29,0.70,0.29
AAM,6474.81,92.176,38.982,0.051,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.305,2.5,0.305,0.31,0.325,0.285,11.26,0.34,0.068
ABU,12393.4,338.995,81.132,0.027,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.036,-0.1,0.035,0.036,0.037,0.034,-0.38,0.07,0.006
AII,38.9,2.929,18.73,0.035,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.25,2,0.23,0.32,0.25,0.23,11.02,0.25,0.13
ACB,2890.37,79.944,63.043,0.073,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.45,4.5,0.445,0.45,0.47,0.405,13.44,0.60,0.084
ACS,542.583,36.175,68.252,0.019,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.15,0.5,0.145,0.15,0.155,0.14,5.78,0.27,0.055
AEX,9601.71,600.201,503.764,0.004,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.005,-0.1,0.005,0.006,0.006,0.005,-14.34,0.008,0.003
