ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, May 17, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5159.8 at 2013-05-17T16:40:36. Report at Friday, May 17, 2013. Processed Saturday at 2013-05-18T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AXZ,8.000,1.496,1.118,.086,-,-,-4.67,-,-,-,-,,Amex Res,,1.10,-25,1.10,1.20,1.35,1.10,-17.92,1.73,.73,,
AMX,3965.57,66.522,101.960,.057,-,-,-16.08,-,-,-,-,,Ampella Min,,.23,+1,.21,.23,.245,.21,+5.15,.85,.17,,
AEK,50.000,4.148,1.038,.010,-,-,-1.15,-,-,-,-,,Anatolia Energy,,.058,+1.3,-,.058,.058,.058,+29.49,.09,.041,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.002,-,.001,-,.002,.002,+.60,.002,.002,,
AHR,-,-,.012,.010,-,-,-2.31,-,-,-,-,,Anchor Res,,.19,-,.056,.19,.19,.19,+.60,.20,.12,,
ATM,-,-,-,.001,-,-,5.64,19.5,4.05,1.39,3.68,,Aneka Tambang,,1.10,-,1.10,1.10,1.25,1.25,+.60,1.25,1.209,,
AAR,1315.18,87.198,35.058,.004,-,-,-1.15,-,-,-,-,,Anglo Aust Res,,.005,-.1,.004,.005,.006,.004,-16.06,.012,.004,,
AGG,15.015,7.251,.697,.323,14.37,.25,207.05,1.7,5.87,35.27,1.62,,Anglogold Ashanti,,3.62,-13,3.50,3.98,3.76,3.50,-2.86,7.80,3.38,,
AWV,142.900,20.103,17.289,.006,-,-,-10.35,-,-,-,-,,Anova Metals,,.038,-.4,.038,.04,.042,.038,-8.92,.085,.038,,
AZZ,2922.90,44.181,44.235,.094,-,-,-3.10,-,-,-,-,,Antares Energy,,.365,+.5,.36,.365,.415,.36,+1.99,.60,.355,,
AZY,1113.69,187.065,5.085,.010,-,-,-1.44,-,-,-,-,,Antipa Min,,.058,-.6,.058,.06,.067,.058,-8.77,.255,.035,,
