ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, December 27, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5323.8 at 2013-12-27T16:52:06. Report at Friday, December 27, 2013. Processed Saturday at 2013-12-28T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,50.200,25.977,35.123,.031,-,-,-.92,-,-,-,-,,3D Oil,,.13,-.5,.13,.135,.135,.125,-4.89,.14,.075,,
DDD,-,11.713,18.874,.006,-,-,-.12,-,-,-,-,,3D Res,,.025,-,.018,.029,.025,.025,-1.18,.042,.012,,
ARH,35.680,16.445,17.703,.024,-,-,-4.70,-,-,-,-,,A'asian Resources,,.05,-.5,.05,.055,.055,.049,-10.27,.16,.021,,
AYC,5.000,2.446,3.743,.012,-,-,-.89,-,-,-,-,,A1 Gold,,.13,-,.13,.14,.13,.13,-1.18,.274,.12,,
ABU,6801.47,1532.84,2175.86,.069,-,-,-.46,-,-,-,-,,ABM Res,,.021,-.1,.021,.022,.022,.021,-5.73,.047,.021,,
AJC,-,162.180,262.196,.009,-,-,-.08,-,-,-,-,,Acacia Coal,,.01,-,.01,.011,.01,.01,-1.18,.023,.007,,
ACB,30.000,35.607,59.255,.012,-,-,-.93,-,-,-,-,,A-Cap Res,,.045,-.3,.045,.05,.048,.045,-7.43,.13,.042,,
ACS,2.130,1.297,91.406,.033,-,-,-.40,-,-,-,-,,Accent Res,,.185,-,.18,.22,.185,.185,-1.18,.24,.15,,
AIV,-,142.442,33.441,.005,-,-,-1.33,-,-,-,-,,ActiveX,,.014,-,.014,.015,.014,.014,-1.18,.022,.010,,
ADD,-,12.412,28.071,.001,-,-,-1.38,-,-,-,-,,Adavale Resources,,.004,-,.003,.01,.004,.004,-1.18,.021,.002,,
ADN,420.352,276.219,82.851,.013,-,-,-3.63,-,-,-,-,,Adelaide Res,,.057,-.3,.059,.069,.063,.057,-6.18,.25,.036,,
ABY,150.611,72.282,148.689,.103,1.59,.21,-.21,-,-,-,-,,Aditya Birla,,.33,+1,.33,.335,.335,.32,+1.94,.60,.315,,
ADY,394.750,48.846,85.306,.010,-,-,-2.90,-,-,-,-,,Admiralty Res,,.014,-.1,.014,.016,.016,.014,-7.85,.045,.014,,
AVD,-,203.241,272.314,.001,-,-,-.13,-,-,-,-,,Advance Energy,,.001,-,-,.001,.001,.001,-1.18,.002,.001,,
ADX,64.868,123.545,238.834,.009,-,-,-3.21,-,-,-,-,,ADX Energy,,.016,-,.015,.016,.016,.015,-1.18,.04,.012,,
AQR,50.000,20.998,12.437,.023,-,-,-.04,-,-,-,-,,AEON Metals,,.125,-,.13,.14,.125,.125,-1.18,.335,.08,,
AFR,284.257,74.717,246.948,.042,-,-,-3.86,-,-,-,-,,African Energy Res,,.097,-.8,.10,.11,.11,.097,-8.80,.19,.063,,
AGR,400.000,65.234,21.957,.010,-,-,-2.01,-,-,-,-,,Aguia Res,,.055,-.5,.055,.07,.06,.051,-9.52,.19,.045,,
AQG,984.669,205.112,174.001,.228,-,-,-318.93,-,-,-,-,,Alacer Gold,,2.27,-3,2.18,2.29,2.29,2.10,-2.49,4.730,1.94,,
AUQ,287.672,117.875,77.029,.018,-,-,-2.84,-,-,-,-,,Alara Res,,.075,+1.1,.066,.075,.079,.067,+16.00,.205,.035,,
ALY,290.000,23.852,29.692,.004,-,-,-1.36,-,-,-,-,,Alchemy Resources,,.026,+.2,.027,.035,.026,.024,+7.15,.146,.023,,
AYN,19532.5,3299.63,1207.68,.012,-,-,-.68,-,-,-,-,,Alcyone Res,,.002,+.1,.001,.002,.002,.001,+98.82,.030,.001,,
AYNO,-,66.331,26.099,-,-,-,-,-,-,-,-,,  opt may15,,.001,-,-,.001,.001,.001,-1.18,.02,.001,,
AYNOA,1000.00,421.732,-,.001,-,-,-,-,-,-,-,,  opt jul15,,.001,-,-,.001,.001,.001,-1.18,.002,.001,,
AQI,-,3.294,1.436,.005,-,-,-4.80,-,-,-,-,,Alicanto Min,,.22,-,.20,.21,.22,.22,-1.18,.25,.145,,
ALK,1098.96,117.296,209.961,.130,-,-,19.00,1.8,-,-,-,,Alkane Res,,.35,+.5,.335,.35,.355,.325,+.27,.825,.245,,
AHQ,-,6.000,6.373,-,-,-,-.88,-,-,-,-,,Allegiance Coal,,.014,-,.015,.03,.014,.014,-1.18,.065,.012,,
AHQO,-,.566,.918,-,-,-,-,-,-,-,-,,  opt mar14,,-,-,-,.001,.001,.001,-1.18,.01,.001,,
AGS,832.828,57.040,216.698,.046,-,-,-2.14,-,-,-,-,,Alliance Res,,.135,+1,.12,.135,.135,.11,+6.82,.235,.093,,
AGE,230.000,45.703,41.846,.010,-,-,-.93,-,-,-,-,,Alligator Energy,,.05,-.3,.046,.053,.051,.05,-6.84,.089,.023,,
AYR,1131.44,363.275,85.266,.002,-,-,-.42,-,-,-,-,,Alloy Res,,.005,-.1,.005,.006,.006,.005,-17.85,.018,.003,,
AYM,-,1.461,32.053,.005,-,-,-.52,-,-,-,-,,Altuis Mining,,.009,-,.005,.018,.009,.009,-1.18,.019,.005,,
AOH,382.907,157.529,185.934,.080,-,-,2.40,6.3,-,-,-,,Altona Min,,.15,-.5,.145,.155,.16,.14,-4.41,.31,.115,,
AJM,16.500,40.347,91.067,.061,-,-,-.22,-,-,-,-,,Altura Min,,.135,-.5,.135,.14,.14,.135,-4.75,.19,.076,,
AWC,14703.0,3076.36,4223.98,2.961,1.01,1.04,-1.92,-,-,-,-,,Alumina,,1.055,+2.5,1.05,1.06,1.075,1.025,+1.24,1.405,.89,,
AQO,749.900,80.061,94.670,.020,-,-,-3.78,-,-,-,-,,Ambassador Oil & Gas,,.14,-3,.14,.15,.16,.14,-18.83,.275,.13,,
AXZ,44.459,2.706,2.855,.099,-,-,-4.51,-,-,-,-,,Amex Res,,1.25,+25,1.25,1.30,1.25,1.02,+23.82,1.73,.92,,
AMX,1030.09,180.032,298.608,.031,-,-,-10.56,-,-,-,-,,Ampella Min,,.125,-,.12,.13,.125,.12,-1.18,.42,.075,,
AEK,.300,34.212,8.544,.016,-,-,-.60,-,-,-,-,,Anatolia Energy,,.072,+.6,.066,.075,.072,.066,+7.91,.10,.032,,
AEKO,-,.250,.250,-,-,-,-,-,-,-,-,,  opt jun17,,.002,-,.003,-,.002,.002,-1.18,.002,.002,,
AHR,-,.023,.098,.010,-,-,-2.61,-,-,-,-,,Anchor Res,,.19,-,.05,.22,.19,.19,-1.18,.19,.19,,
ATM,-,.002,.002,.001,-,-,5.18,-,2.11,2.45,-,,Aneka Tambang,,-,-,-,-,1.079,1.079,-1.18,1.25,1.079,,
AAR,543.186,153.022,152.035,.003,-,-,-1.70,-,-,-,-,,Anglo Aust Res,†,.037,+1.2,.033,.037,.038,.028,+46.82,.09,.004,,
