ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:07 Friday 4/12/2009. Processed 20:44 Friday 4/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,1335.77,65.322,121.206,0.052,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.26,0.5,0.26,0.275,0.275,0.25,-0.74,0.325,0.07
DDD,1058.1,13.624,8.056,0.002,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.019,-0.1,0.019,0.022,0.02,0.017,-7.70,0.026,0.007
AAO,720.907,18.033,6.267,0.009,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.093,0.1,0.093,0.098,0.097,0.086,-1.61,0.12,0.018
ARH,405.658,22.609,44.597,0.21,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.475,-1,0.475,0.48,0.48,0.46,-4.76,0.70,0.29
AAM,10557.4,102.733,38.982,0.065,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.385,8,0.385,0.40,0.42,0.305,23.53,0.42,0.068
ABU,14763.9,353.759,81.497,0.028,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.037,0.1,0.036,0.037,0.038,0.034,0.08,0.07,0.006
AII,4.35,2.934,18.734,0.032,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.23,-2,0.18,0.23,0.25,0.23,-10.70,0.25,0.13
ACB,2943.15,82.887,63.777,0.066,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.41,-4,0.405,0.41,0.46,0.40,-11.59,0.60,0.084
ACS,747.394,36.922,68.288,0.018,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.145,-0.5,0.145,0.15,0.15,0.14,-6.03,0.27,0.055
AEX,10391.4,610.593,507.349,0.005,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.006,0.1,0.006,0.007,0.007,0.005,17.30,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.02,0.003,0.003,-2.70,0.003,0.003
AIV,445.6,18.326,7.589,0.006,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.09,,0.085,0.09,0.09,0.09,-2.70,0.12,0.028
AIVO,-,0.987,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.045,,0.026,0.055,0.045,0.045,-2.70,0.06,0.001
ADU,3223.38,61.834,23.509,0.135,-,-,-10.25,-,-,-,-,,Adamus Res,,0.475,3,0.48,0.49,0.495,0.44,4.05,0.53,0.16
ADD,366.668,51.218,45.266,0.008,0.03,1.5,-0.3,-,-,-,-,,Adavale Resource,,0.044,-0.1,0.045,0.048,0.045,0.041,-4.92,0.065,0.014
ADE,1427.89,50.679,45.026,0.023,-,-,1.39,9.4,-,-,-,,Adelaide Energy,,0.13,,0.125,0.13,0.14,0.13,-2.70,0.16,0.037
ADN,2568.49,100.17,42.84,0.032,-,-,4.86,5.9,-,-,-,,Adelaide Res,,0.285,1.5,0.285,0.29,0.31,0.275,2.86,0.37,0.042
ADI,1245.87,74.964,31.997,0.018,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.125,-0.5,0.125,0.135,0.14,0.125,-6.54,0.185,0.045
ABY,2600.87,371.857,362.962,0.42,1.42,0.9,-17.34,-,-,-,-,,Aditya Birla,,1.34,4,1.335,1.375,1.425,1.30,0.38,1.65,0.096
ADY,30632.6,6759.14,4022.14,0.033,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.016,,0.016,0.017,0.017,0.016,-2.70,0.054,0.009
AVD,159.002,20.885,8.463,0.011,0.04,1.8,-1.06,-,-,-,-,,Advance Energy,,0.07,-0.4,0.062,0.07,0.07,0.066,-8.10,0.125,0.025
AED,3471.19,119.623,261.767,0.091,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.55,,0.55,0.565,0.58,0.51,-2.70,1.305,0.50
AFR,4200.01,122.431,23.715,0.038,-,-,-1.5,-,-,-,-,,African Energy Res cdi,,0.15,1,0.145,0.15,0.17,0.14,4.45,0.24,0.01
ALG,30,0.715,0.619,0.004,-,-,-1.12,-,-,-,-,,Alamar Res Ltd,,0.195,0.5,0.195,0.20,0.195,0.19,-0.06,0.23,0.14
AUQ,186.689,21.577,16.653,0.016,-,-,-11.01,-,-,-,-,,Alara Res Ltd,,0.195,-0.5,0.19,0.195,0.20,0.17,-5.20,0.25,0.03
ALY,2512.01,177.328,10.959,0.049,-,-,-3.27,-,-,-,-,,Alchemy Resource,,0.74,-2.5,0.74,0.76,0.82,0.72,-5.96,1.27,0.035
ALYO,327,27.54,1.57,0.011,-,-,-,-,-,-,-,,  opt aug10,,0.51,-4,0.485,0.51,0.55,0.48,-9.97,0.96,0.001
AYN,9713.58,256.783,115.334,0.028,-,-,-8.29,-,-,-,-,,Alcyone Res Ltd,,0.045,-0.1,0.044,0.045,0.048,0.041,-4.87,0.06,0.041
AYNOB,-,-,0.294,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,-2.70,0.021,0.021
ALK,822.297,71.208,74.604,0.1,-,-,-0.25,-,-,-,-,,Alkane Res Ltd,,0.40,1,0.40,0.41,0.42,0.39,-0.13,0.49,0.10
AGS,3353.8,183.76,99.384,0.181,-,-,-8.3,-,-,-,-,,Alliance Res,,0.53,1.5,0.525,0.53,0.565,0.52,0.22,0.98,0.333
ALD,2661.46,87.706,83.076,0.237,0.29,1.4,-1.92,-,-,-,-,,Allied Gold Ltd,,0.41,2.5,0.405,0.41,0.42,0.385,3.80,0.57,0.24
AYR,213.6,18.489,12.011,0.002,-,-,-0.82,-,-,-,-,,Alloy Res,,0.028,0.1,0.028,0.032,0.028,0.027,1.01,0.045,0.011
AWC,73817.6,3658.49,1863.22,3.868,1.30,1.2,9.42,16.8,12,0.79,7.57,,Alumina Ltd,,1.585,4.5,1.585,1.60,1.615,1.53,0.23,2.00,0.683
AMU,2808.51,110.017,46.885,0.076,0.48,0.5,3.5,7.1,-,-,-,,Amadeus Energy,,0.25,-1.5,0.25,0.255,0.27,0.245,-8.36,0.43,0.205
AXZ,68.654,4.357,4.612,0.009,-,-,-5.32,-,-,-,-,,Amex Res,,0.20,3,0.17,0.20,0.20,0.17,14.95,0.25,0.08
AMX,2398.26,64.689,21.545,0.087,-,-,-6.37,-,-,-,-,,Ampella Min,,0.59,-3.5,0.585,0.62,0.64,0.555,-8.30,0.69,0.054
AMXO,69.752,3.315,-,0.007,-,-,-,-,-,-,-,,  opt jul10,,0.40,-3,0.375,0.45,0.43,0.38,-9.67,0.50,0.03
AHR,59.375,5.82,2.246,0.005,-,-,-1.57,-,-,-,-,,Anchor Res,,0.16,1,0.14,0.18,0.16,0.135,3.97,0.193,0.032
AHRO,-,1.581,0.66,-,-,-,-,-,-,-,-,,  opt mar10,,0.002,,0.004,0.025,0.002,0.002,-2.70,0.03,0.001
AND,2603.78,136.337,70.176,1.24,-,-,-1.8,-,-,-,-,,Andean Res Ltd,,2.65,13,2.56,2.65,2.66,2.54,2.46,2.72,0.53
ATM,-,0.014,0.023,2.022,-,-,0.36,294.4,2.94,0.12,2.77,,Aneka Tambang cdi 1:5,,1.06,,1.09,-,1.06,1.06,-2.70,2.50,0.97
AAR,2673.75,192.337,327.028,0.017,-,-,-0.16,-,-,-,-,,Anglo Aust,,0.033,,0.032,0.034,0.037,0.033,-2.70,0.044,0.019
AGP,-,0.003,0.006,0.283,-,-,45.18,5.9,15.87,2.85,5.99,,Anglo Pacific Grp,,2.65,6.9,2.71,3.55,2.581,2.581,-0.04,3.50,2.581
AGG,48.827,6.421,5.519,0.875,-,-,-71.44,-,3.33,-,0.34,,Anglogold Ashanti cdi 5:1,,9.81,-17,7.00,9.81,10.20,9.75,-4.40,11.50,6.70
AZZ,2630.53,148.907,120.52,0.103,-,-,0.26,163.5,-,-,-,,Antares Energy,,0.425,1.5,0.425,0.43,0.44,0.415,0.96,0.485,0.035
AVM,77.217,11.572,2.194,0.033,-,-,-370.7,-,-,-,-,,Anvil Min cdi,,3.44,3,3.31,3.43,3.51,3.44,-1.82,3.62,0.95
AAL,10,3.588,4.178,0.007,-,-,-0.75,-,-,-,-,,Apac Coal,,0.065,-0.2,0.045,0.067,0.067,0.065,-5.68,0.115,0.03
AXM,104724,1788.21,221.299,0.136,-,-,-31.41,-,-,-,-,,Apex Min NL,,0.041,-0.2,0.041,0.042,0.044,0.04,-7.35,0.414,0.039
AXMO,29746.4,315.594,-,0.009,-,-,-,-,-,-,-,,  opt nov12,,0.013,-0.2,0.013,0.014,0.015,0.013,-16.03,0.025,0.01
AON,235.269,20.498,21.561,0.025,-,-,-8.92,-,-,-,-,,Apollo Min Ltd,,0.23,0.5,0.23,0.245,0.245,0.22,-0.47,0.40,0.125
AQP,10249.1,289.07,136.354,3.037,-,-,-16.39,-,12.08,-,1.84,,Aquarius Platinum,,6.57,32,6.55,6.58,7.05,6.14,2.42,7.05,2.516
AQA,3366.09,134.796,70.212,2.769,-,-,-10.5,-,-,-,-,,Aquila Res,,9.45,56.8,9.43,9.46,10.455,9.091,3.70,10.455,1.727
AQABN,-,-,-,-,-,-,-,-,-,-,-,,  bns def,,-,,-,-,-,-,-,-,-
ARU,2050.63,149.12,77.673,0.209,-,-,-7.7,-,-,-,-,,Arafura Resource,,0.805,3,0.795,0.805,0.83,0.77,1.17,1.285,0.245
AAG,416.842,5.245,5.51,0.014,-,-,-3.81,-,-,-,-,,Aragon Res,,0.20,2,0.21,0.22,0.21,0.18,8.41,0.27,0.055
AAGO,-,1.952,2.016,-,-,-,-,-,-,-,-,,  opt sep10,,0.03,,0.03,0.055,0.03,0.03,-2.70,0.05,0.002
ARX,7055.61,54.306,595.762,0.009,-,-,16.13,0.2,-,-,-,,ARC Explore Ltd,,0.035,,0.035,0.038,0.041,0.034,-2.70,0.044,0.007
ARXO,120,5.957,16.962,-,-,-,-,-,-,-,-,,  opt jun12,,0.006,0.1,0.005,0.007,0.006,0.006,17.30,0.01,0.001
ARXOA,2039.49,2.731,-,-,-,-,-,-,-,-,-,,  opt jan11,,0.014,0.3,0.014,0.015,0.014,0.01,24.58,0.014,0.01
AXE,54.67,7.142,12.833,0.009,-,-,-1.8,-,-,-,-,,Archer Explore,,0.145,-1,0.145,0.155,0.155,0.145,-9.15,0.17,0.037
AXEO,-,1.931,1.864,-,-,-,-,-,-,-,-,,  opt feb10,,0.002,,0.003,0.006,0.002,0.002,-2.70,0.025,0.002
ARD,99.5,11.344,17.78,0.007,-,-,-3.8,-,-,-,-,,Argent Min,,0.165,1.5,0.16,0.165,0.175,0.15,7.30,0.20,0.04
ARDO,50,8.163,5.859,0.001,-,-,-,-,-,-,-,,  opt jun11,,0.025,-1.5,0.025,0.045,0.04,0.025,-40.20,0.06,0.01
AXT,564,14.564,16.637,0.005,-,-,-0.42,-,-,-,-,,Argo Explore,,0.061,-1.6,0.061,0.068,0.08,0.06,-23.48,0.08,0.025
ARE,1847.46,72.563,63.668,0.01,-,-,-0.79,-,-,-,-,,Argonaut Res,,0.062,0.4,0.062,0.064,0.064,0.059,4.20,0.105,0.042
AGY,1385.64,7.875,8.598,0.005,-,-,-1.41,-,-,-,-,,Argosy Min cdi,,0.05,-0.8,0.05,0.06,0.06,0.05,-16.49,0.13,0.025
AOE,17475.9,915.269,903.14,2.995,0.82,5.0,52,7.9,-,-,-,,Arrow Energy,,4.09,23,4.09,4.10,4.18,3.82,3.26,4.73,1.89
ARV,4628.61,64.386,10.399,0.011,-,-,-8.47,-,-,-,-,,Artemis Res,,0.066,1.1,0.066,0.068,0.069,0.055,17.30,0.199,0.026
ARVOB,1714.74,2.215,-,0.002,-,-,-,-,-,-,-,,  opt jun11,,0.04,1.3,0.04,0.054,0.04,0.019,45.45,0.04,0.019
ATN,11275.3,610.863,55.314,0.011,-,-,-0.78,-,-,-,-,,Ashburton Min,,0.026,-0.2,0.026,0.027,0.029,0.023,-9.84,0.099,0.004
ATNO,75,46.274,-,0.001,-,-,-,-,-,-,-,,  opt dec09,,0.015,-0.3,0.012,0.019,0.018,0.015,-19.36,0.07,0.001
ATNOA,1933.1,75.375,25.362,-,-,-,-,-,-,-,-,,  opt feb10,,0.002,,0.002,0.003,0.002,0.002,-2.70,0.025,0.001
ARO,74083.9,580.585,214.973,0.013,-,-,-0.24,-,-,-,-,,Astro Res NL,,0.013,0.3,0.012,0.013,0.013,0.01,27.30,0.016,0.002
AROOA,-,-,-,-,-,-,-,-,-,-,-,,  opt dec09,,0.005,,-,0.05,0.005,0.005,-2.70,0.005,0.005
AROOB,-,55.321,144.96,-,-,-,-,-,-,-,-,,  opt nov12,,0.003,,0.003,0.004,0.003,0.003,-2.70,0.004,0.001
AHN,20,5.536,2.835,0.003,-,-,-4.08,-,-,-,-,,Athena Res,,0.05,,0.05,0.055,0.05,0.05,-2.70,0.056,0.017
ATV,7052.25,185.984,23.233,0.023,-,-,-0.74,-,-,-,-,,Atlantic Gold NL,,0.061,,0.061,0.065,0.064,0.058,-2.70,0.10,0.04
ATVCD,-,0.03,0.021,-,-,-,-,-,-,-,-,,  ctg,,0.023,,0.03,0.045,0.023,0.023,-2.70,0.023,0.011
ATVOA,400,17.943,-,-,-,-,-,-,-,-,-,,  opt jan11,,0.032,0.3,0.028,0.034,0.032,0.029,7.65,0.045,0.016
AGO,10371,511.197,360.771,0.774,-,-,-21.3,-,-,-,-,,Atlas Iron Ltd,,1.92,7.5,1.91,1.92,1.945,1.845,1.37,2.10,0.66
AXY,888,112.147,18.176,0.019,-,-,-3.02,-,-,-,-,,Atom Energy Ltd,,0.105,1,0.091,0.105,0.105,0.091,7.83,0.125,0.017
