ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:35 Saturday 24/7/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,467.35,19.317,40.419,0.034,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.17,-1,0.16,0.17,0.18,0.17,-6.41,0.39,0.088
DDD,-,8.677,5.59,0.004,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,,0.021,0.025,0.02,0.02,-0.86,0.026,0.014
AAO,50,7.025,6.768,0.008,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.06,,0.048,0.06,0.06,0.06,-0.86,0.109,0.029
AAOO,-,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,,0.011,0.025,0.016,0.016,-0.86,0.02,0.012
ARH,110,14.985,10.549,0.115,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.26,1.5,0.245,0.265,0.26,0.245,5.26,0.67,0.21
AAM,3414.55,106.932,35.232,0.035,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.18,1,0.175,0.18,0.18,0.155,5.02,0.42,0.135
ABU,13797.7,699.59,184.554,0.046,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.026,-0.1,0.026,0.027,0.028,0.026,-4.56,0.07,0.016
AII,-,1.526,1.723,0.013,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.095,,0.095,0.13,0.095,0.095,-0.86,0.25,0.086
ACB,1321.41,35.18,33.286,0.05,0.14,2.2,-0.91,-,-,-,-,,A-Cap Res,,0.31,-2.5,0.31,0.335,0.34,0.30,-8.32,0.60,0.28
ACS,1262.36,22.135,16.488,0.035,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.245,8.5,0.225,0.245,0.25,0.15,52.27,0.27,0.13
AEX,59111.9,1664.38,180.654,0.015,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.015,0.3,0.015,0.016,0.016,0.011,24.14,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.025,0.003,0.003,-0.86,0.003,0.003
AIV,361.5,16.552,5.174,0.005,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.057,-1.3,0.055,0.057,0.066,0.05,-19.43,0.14,0.05
AIVO,-,2.523,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.01,,-,0.009,0.01,0.01,-0.86,0.06,0.001
ADU,1733.96,104.31,11.249,0.191,-,-,-12.87,-,-,-,-,,Adamus Res,,0.49,-1.5,0.49,0.50,0.50,0.485,-3.83,0.595,0.303
ADD,837,21.168,17.837,0.005,0.02,1.3,-0.96,-,-,-,-,,Adavale Resource,,0.025,-0.3,0.025,0.03,0.028,0.025,-11.57,0.065,0.019
ADE,222.037,46.582,23.421,0.02,-,-,0.97,9.1,-,-,-,,Adelaide Energy,,0.088,-0.7,0.088,0.09,0.09,0.088,-8.23,0.215,0.085
ADN,1047.08,34.073,25.017,0.018,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.165,0.5,0.165,0.17,0.17,0.155,2.27,0.395,0.089
ADI,290.608,176.416,36.372,0.072,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.41,-1,0.405,0.42,0.41,0.385,-3.24,0.425,0.06
ABY,3515.2,110.052,258.529,0.257,1.51,0.5,19.61,4.2,-,-,-,,Aditya Birla,,0.82,10,0.815,0.83,0.835,0.685,13.03,1.65,0.62
ADY,12744.8,2119,4886.06,0.016,-,-,0.09,7.8,-,-,-,,Admiralty Res,,0.007,,0.007,0.008,0.008,0.007,-0.86,0.025,0.005
AVD,219.814,10.322,8.299,0.003,-,-,-3.1,-,-,-,-,,Advance Energy,,0.015,,0.011,0.015,0.015,0.015,-0.86,0.125,0.007
ADX,7999.33,219.764,104.611,0.061,-,-,-0.89,-,-,-,-,,ADX Energy Ltd,,0.18,-1,0.18,0.185,0.195,0.175,-6.12,0.265,0.081
ADXO,1375.51,5.061,-,0.002,-,-,-,-,-,-,-,,  opt mar11,,0.063,-0.3,0.063,0.08,0.063,0.06,-5.40,0.09,0.05
AED,626.718,44.332,73.319,0.095,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.47,0.5,0.47,0.485,0.495,0.45,0.22,0.785,0.435
AFR,355.369,30.838,12.839,0.023,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.082,-0.3,0.082,0.089,0.085,0.082,-4.39,0.24,0.059
AAE,9292.04,101.201,-,0.005,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.011,0.1,0.011,0.012,0.013,0.01,9.14,0.027,0.009
ALG,-,1.101,0.085,0.003,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.165,,0.15,0.165,0.165,0.165,-0.86,0.245,0.14
ALGO,-,0.022,-,-,-,-,-,-,-,-,-,,  opt mar13,,0.03,,0.023,0.03,0.03,0.03,-0.86,0.03,0.03
AUQ,26.801,6.042,6.642,0.008,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.095,0.3,0.095,0.105,0.095,0.092,2.40,0.25,0.055
ALY,7455.09,68.088,33.25,0.039,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.505,13,0.50,0.505,0.555,0.36,33.81,1.27,0.205
ALYO,4398.67,9.729,5.17,0.005,-,-,-,-,-,-,-,,  opt aug10,,0.25,12.5,0.25,0.27,0.27,0.10,99.14,0.96,0.05
AYN,25920.8,181.023,-,0.021,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.028,0.6,0.027,0.028,0.029,0.022,26.41,0.06,0.02
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,-0.86,0.021,0.021
ALK,1505.12,32.151,29.017,0.082,-,-,0.93,35.5,-,-,-,,Alkane Res Ltd,,0.33,-0.5,0.33,0.345,0.345,0.32,-2.35,0.49,0.23
AGS,603.084,53.017,91.475,0.113,-,-,-1.97,-,-,-,-,,Alliance Res,,0.33,,0.33,0.34,0.34,0.315,-0.86,0.89,0.28
ALD,2680.05,98.544,52.139,0.374,0.26,1.4,-3.42,-,-,-,-,,Allied Gold Ltd,,0.36,1,0.355,0.36,0.37,0.33,2.00,0.545,0.25
AYR,855.131,23.977,6.683,0.003,-,-,-0.62,-,-,-,-,,Alloy Res,,0.027,,0.023,0.027,0.029,0.027,-0.86,0.042,0.019
AJM,1137.59,18.224,6.97,0.027,-,-,-5.11,-,-,-,-,,Altura Min Ltd,,0.14,-1.5,0.13,0.14,0.155,0.12,-10.54,0.37,0.098
AWC,56470.6,2566.21,2080.04,3.795,1.21,1.3,-1.2,-,2,-,1.29,f,Alumina Ltd,,1.555,7,1.555,1.56,1.565,1.45,3.86,2.06,1.45
AMU,1153.03,78.516,24.16,0.073,0.34,0.7,-10.17,-,-,-,-,,Amadeus Energy,,0.24,1.5,0.235,0.24,0.24,0.215,5.81,0.35,0.175
AXZ,-,2.156,1.105,0.008,-,-,-2.85,-,-,-,-,,Amex Res,,0.16,,0.12,0.16,0.16,0.16,-0.86,0.25,0.09
AMX,1775.49,94.963,35.141,0.246,-,-,-7,-,-,-,-,,Ampella Min,,1.475,-5,1.47,1.475,1.52,1.425,-4.14,1.94,0.34
AMXO,12.787,2.521,1.781,0.014,-,-,-,-,-,-,-,,  opt jul10,,1.31,-3,1.26,1.31,1.34,1.26,-3.10,1.755,0.18
AHR,64.559,8.27,2.219,0.006,-,-,-2.05,-,-,-,-,,Anchor Res,,0.15,1.5,0.13,0.145,0.155,0.145,10.25,0.28,0.075
AND,3551.48,54.383,62.066,1.73,-,-,-4.64,-,-,-,-,,Andean Res Ltd,,3.67,37,3.67,3.71,3.88,3.26,10.35,3.88,1.81
ATM,-,0.012,0.012,2.289,0.10,12.0,0.7,171.4,1.37,0.51,1.14,,Aneka Tambang cdi,,1.20,1.4,1.20,-,1.186,1.186,0.30,1.30,1.00
AAR,27138.9,247.886,107.697,0.024,-,-,-0.14,-,-,-,-,,Anglo Aust,,0.045,-0.1,0.045,0.046,0.05,0.043,-3.03,0.066,0.018
AGG,29.435,1.952,4.364,0.803,8.69,1.0,-99.23,-,3.87,-,0.43,,Anglogold Ashanti,,9.00,-45,8.50,9.35,9.49,9.00,-5.62,10.50,7.65
