ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4882.7 at 14:54 31/12/2009  Report at 16:46 Thursday 31/12/2009. Processed 17:03 Thursday 31/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,561.41,71.37,123.048,0.068,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.34,-2.5,0.345,0.355,0.37,0.335,-8.50,0.375,0.07
DDD,70,15.094,8.219,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.02,0.1,0.02,0.025,0.02,0.019,3.61,0.026,0.007
AAO,-,19.079,6.37,0.008,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.075,,0.075,0.08,0.075,0.075,-1.65,0.12,0.018
ARH,750.892,23.974,45.232,0.221,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.50,2.5,0.505,0.515,0.53,0.475,3.61,0.70,0.29
AAM,2311.42,115.168,40.198,0.063,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.37,-1,0.37,0.38,0.39,0.365,-4.28,0.42,0.076
ABU,4230.16,453.769,85.425,0.031,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.035,-0.1,0.034,0.036,0.038,0.035,-4.43,0.07,0.006
AII,20,2.965,18.922,0.028,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.20,2,0.185,0.20,0.20,0.20,9.46,0.25,0.13
ACB,124.65,85.44,65.315,0.059,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.365,,0.37,0.385,0.385,0.35,-1.65,0.60,0.097
ACS,146.831,39.193,68.645,0.02,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.155,-0.5,0.155,0.16,0.16,0.155,-4.78,0.27,0.055
AEX,639.6,646.74,512.873,0.004,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.005,0.1,0.004,0.005,0.005,0.004,23.35,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,0.02,0.003,0.003,-1.65,0.003,0.003
AIV,25.6,18.891,7.719,0.007,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.094,0.9,0.085,0.094,0.094,0.09,8.94,0.12,0.032
AIVO,-,1.075,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.023,,0.023,0.035,0.023,0.023,-1.65,0.06,0.001
ADU,255.336,68.172,24.458,0.127,-,-,-10.25,-,-,-,-,,Adamus Res,,0.445,-0.5,0.43,0.45,0.455,0.43,-2.76,0.53,0.165
ADD,81.594,51.932,46.31,0.008,0.03,1.5,-0.3,-,-,-,-,,Adavale Resource,,0.045,-0.1,0.04,0.045,0.045,0.044,-3.83,0.065,0.014
ADE,283.178,53.401,46.833,0.023,-,-,1.39,9.0,-,-,-,,Adelaide Energy,,0.125,,0.125,0.13,0.125,0.125,-1.65,0.16,0.037
ADN,526.599,128.348,44.188,0.029,-,-,4.86,5.3,-,-,-,,Adelaide Res,,0.26,1,0.255,0.26,0.27,0.25,2.35,0.395,0.046
ADI,494.088,77.571,32.959,0.024,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.16,0.5,0.155,0.16,0.16,0.15,1.57,0.185,0.045
ABY,729.12,377.897,374.361,0.387,1.42,0.9,-17.34,-,-,-,-,,Aditya Birla,,1.235,0.5,1.235,1.25,1.27,1.20,-1.25,1.65,0.096
ADY,9437.87,6860.33,4159.34,0.031,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.015,,0.015,0.016,0.016,0.015,-1.65,0.054,0.011
AVD,-,21.779,8.716,0.011,0.04,1.8,-1.06,-,-,-,-,,Advance Energy,,0.072,,0.055,0.07,0.072,0.072,-1.65,0.125,0.029
AED,253.208,127.05,265.29,0.099,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.60,1.5,0.60,0.61,0.61,0.585,0.91,1.305,0.50
AFR,620.086,131.244,31.382,0.038,-,-,-1.5,-,-,-,-,,African Energy Res cdi,,0.135,0.5,0.125,0.135,0.135,0.125,2.19,0.24,0.011
ALG,-,0.853,0.619,0.004,-,-,-1.12,-,-,-,-,,Alamar Res Ltd,,0.19,,0.18,0.24,0.19,0.19,-1.65,0.23,0.14
AUQ,83.493,22.591,17.244,0.014,-,-,-11.01,-,-,-,-,,Alara Res Ltd,,0.18,-0.5,0.175,0.18,0.185,0.18,-4.36,0.25,0.035
ALY,168.4,183.787,11.08,0.044,-,-,-3.27,-,-,-,-,,Alchemy Resource,,0.655,0.5,0.65,0.655,0.685,0.64,-0.88,1.27,0.04
ALYO,11,28.096,1.57,0.009,-,-,-,-,-,-,-,,  opt aug10,,0.40,,0.385,0.55,0.40,0.40,-1.65,0.96,0.001
AYN,1550.3,279.901,115.334,0.025,-,-,-8.29,-,-,-,-,,Alcyone Res Ltd,,0.041,,0.041,0.042,0.042,0.039,-1.65,0.06,0.039
AYNOB,-,-,0.294,-,-,-,-,-,-,-,-,,  opt sep11,,-,,0.002,-,0.021,0.021,-1.65,0.021,0.021
ALK,453.856,74.341,76.414,0.087,-,-,-0.25,-,-,-,-,,Alkane Res Ltd,,0.35,2,0.345,0.35,0.35,0.33,4.41,0.49,0.15
AGS,402.039,195.78,107.806,0.205,-,-,-8.3,-,-,-,-,,Alliance Res,,0.60,-2,0.60,0.61,0.64,0.60,-4.88,0.98,0.363
ALD,391.582,100.453,87.118,0.347,0.29,1.2,-1.92,-,-,-,-,,Allied Gold Ltd,,0.335,,0.335,0.34,0.335,0.32,-1.65,0.57,0.29
AYR,700,20.19,12.031,0.002,-,-,-0.82,-,-,-,-,,Alloy Res,,0.025,-0.2,0.025,0.032,0.027,0.025,-9.06,0.045,0.011
AJM,18.083,32.553,28.373,0.044,-,-,-4.6,-,-,-,-,,Altura Min Ltd,,0.225,,0.225,0.24,0.225,0.225,-1.65,0.37,0.065
AJMO,-,3.038,7.44,-,-,-,-,-,-,-,-,,  opt may10,,0.04,,0.018,0.06,0.04,0.04,-1.65,0.08,0.01
AWC,18644.2,3913.17,1989.55,4.49,1.30,1.4,9.42,19.5,12,0.79,6.52,,Alumina Ltd,,1.84,4.5,1.835,1.84,1.85,1.79,0.85,2.00,0.683
AMU,1179.66,123.368,48.106,0.084,0.48,0.6,3.5,7.9,-,-,-,,Amadeus Energy,,0.275,2,0.27,0.275,0.275,0.26,6.19,0.43,0.205
AXZ,55,4.492,4.728,0.009,-,-,-5.32,-,-,-,-,,Amex Res,,0.19,-1,0.17,0.20,0.20,0.19,-6.65,0.25,0.08
AMX,292.028,69.894,21.88,0.089,-,-,-6.37,-,-,-,-,,Ampella Min,,0.60,1,0.60,0.62,0.62,0.59,0.04,0.69,0.068
AMXO,42.359,3.474,-,0.007,-,-,-,-,-,-,-,,  opt jul10,,0.41,2,0.38,0.46,0.41,0.39,3.48,0.50,0.03
AHR,106.843,6.56,2.246,0.007,-,-,-1.57,-,-,-,-,,Anchor Res,,0.175,3.5,0.16,0.175,0.175,0.16,23.35,0.193,0.032
AHRO,83.5,1.665,0.66,-,-,-,-,-,-,-,-,,  opt mar10,,0.006,0.4,0.006,0.03,0.006,0.002,198.30,0.03,0.001
AND,1247.25,146.907,74.258,1.217,-,-,-1.8,-,-,-,-,,Andean Res Ltd,,2.60,5,2.59,2.60,2.60,2.52,0.31,2.72,0.78
