ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, March 1, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5100.9 at 2013-03-01T16:53:05. Report at Friday, March 1, 2013. Processed Monday at 2013-03-04T12:05:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AXZ,34.075,1.138,.457,.109,-,-,-1.44,-,-,-,-,,Amex Res,,1.40,-,1.31,1.39,1.40,1.345,-1.27,1.73,.73,,
AMX,2555.85,34.799,28.279,.069,-,-,-16.83,-,-,-,-,,Ampella Min,,.28,+1,.28,.29,.315,.29,+2.17,1.355,.27,,
AEK,220.416,2.228,.525,.009,-,-,-1.20,-,-,-,-,,Anatolia Energy,,.06,-.4,.06,.075,.064,.06,-7.52,.15,.041,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.002,-,.001,-,.002,.002,-1.27,.002,.002,,
AHR,-,-,.012,.010,-,-,-4.01,-,-,-,-,,Anchor Res,,.19,-,-,.19,.19,.19,-1.27,.20,.12,,
ATM,-,-,-,.002,-,-,5.64,22.2,4.05,1.39,3.24,,Aneka Tambang,,1.25,-,1.00,-,1.25,1.25,-1.27,1.25,1.209,,
AAR,2240.58,54.561,15.616,.005,-,-,-1.15,-,-,-,-,,Anglo Aust Res,,.007,+.1,.007,.008,.008,.006,+15.39,.012,.005,,
AGG,112.387,.249,.412,.420,14.62,.32,1979.13,.2,9.93,199.31,2.11,,Anglogold Ashanti,,4.71,-17,4.70,4.74,5.06,4.71,-4.76,7.80,4.71,,
AWV,2674.65,14.431,6.522,.008,-,-,-3.82,-,-,-,-,,Anova Metals,,.061,-.9,.061,.065,.071,.06,-14.13,.09,.056,,
AZZ,4212.18,19.982,15.134,.127,-,-,-2.20,-,-,-,-,,Antares Energy,,.495,-4.5,.495,.50,.545,.485,-9.61,.60,.355,,
