ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 17, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4551.1 at 2011-06-17T16:37:36. Report at Friday, June 17, 2011. Processed Saturday at 2011-06-18T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,154.304,8.228,17.255,.032,-,-,-.44,-,-,-,-,,3D Oil,,.16,-1.5,.16,.18,.175,.155,-6.76,.285,.14,,
DDD,77.153,12.210,8.423,.011,-,-,-.93,-,-,-,-,,3D Res,,.052,-,.048,.052,.052,.052,+1.81,.062,.02,,
AAO,825.384,16.849,4.956,.030,-,-,-1.22,-,-,-,-,,A'asia Consolidated,,.16,-2,.16,.17,.18,.16,-9.30,.295,.044,,
AAOO,23.179,3.765,.113,.010,-,-,-,-,-,-,-,,  opt apr13,,.075,-,.066,.075,.075,.075,+1.81,.16,.011,,
ARH,385.336,12.880,13.224,.113,-,-,.57,44.7,-,-,-,,A'asian Resources,,.255,-.5,.25,.255,.265,.25,-.12,.63,.20,,
AAM,2018.04,81.468,86.436,.006,-,-,-2.95,-,-,-,-,,A1 Minerals,,.031,-.2,.031,.032,.033,.03,-4.25,.25,.03,,
ABU,45718.3,1828.59,484.224,.097,-,-,.82,4.8,-,-,-,,ABM Res,,.039,-.3,.038,.039,.043,.038,-5.33,.058,.018,,
AII,-,3.556,.896,.055,-,-,-1.98,-,-,-,-,,Abra Min,,.385,-,.385,.40,.385,.385,+1.81,.39,.086,,
ACB,1267.67,86.042,29.889,.037,-,-,-2.10,-,-,-,-,,A-Cap Res,,.185,-1.5,.18,.19,.22,.185,-5.69,.76,.185,,
ACS,618.546,14.803,19.303,.060,-,-,-.69,-,-,-,-,,Accent Res,,.35,-1,.345,.35,.36,.35,-.97,.46,.135,,
AEX,29693.1,639.812,1586.79,.005,-,-,-.21,-,-,-,-,,Acclaim Explore,,.003,-,.003,.004,.003,.003,+1.81,.027,.003,,
AEXCD,-,1.000,-,-,-,-,-,-,-,-,-,,  ctg,,.004,-,-,.005,.004,.004,+1.81,.004,.003,,
AIV,202.415,83.284,15.140,.007,-,-,-1.06,-,-,-,-,,Activex,§,.045,-.2,.042,.045,.045,.042,-2.45,.124,.041,,
ADU,1282.94,88.643,88.280,.282,-,-,-38.53,-,-,-,-,,Adamus Res,,.625,+2.5,.60,.625,.65,.60,+5.97,.895,.456,,
ADD,4827.81,128.798,16.843,.011,.02,1.7,-.61,-,-,-,-,,Adavale Resources,,.034,+.4,.032,.034,.034,.028,+15.14,.042,.015,,
ADE,1926.41,105.234,44.123,.047,-,-,.37,32.4,-,-,-,,Adelaide Energy,,.12,-.5,.115,.12,.125,.115,-2.19,.185,.06,,
ADN,1036.97,20.485,29.439,.016,-,-,-.58,-,-,-,-,,Adelaide Res,,.11,-.5,.11,.115,.12,.095,-2.54,.27,.095,,
ABY,1432.15,67.081,92.962,.520,1.69,1.0,18.32,9.1,9.00,2.04,5.42,f,Aditya Birla,,1.66,-1.5,1.615,1.66,1.70,1.585,+.91,1.95,.62,,
ADY,8023.97,562.509,1948.88,.032,-,-,3.01,1.8,-,-,-,,Admiralty Res,†,.053,-.8,.052,.055,.061,.052,-11.31,.097,.023,,
AVD,4324.01,155.682,4.662,.002,-.02,-,-4.95,-,-,-,-,,Advance Energy,,.011,-,.01,.014,.012,.009,+1.81,.035,.007,,
AVDOA,1806.71,68.502,-,-,-,-,-,-,-,-,-,,  opt aug12,,.003,-.2,.002,.004,.005,.002,-38.19,.01,.002,,
ADX,2687.22,185.396,152.242,.035,-,-,-.76,-,-,-,-,,ADX Energy,,.087,-.3,.084,.089,.09,.085,-1.53,.265,.07,,
AED,3205.71,49.707,37.368,.026,.89,.1,-3.48,-,-,-,-,,AED Oil,,.125,-6.5,.125,.13,.19,.125,-32.40,.585,.125,,
AFR,8819.13,311.304,25.619,.179,-,-,-.63,-,-,-,-,,African Energy Res,,.605,-10.5,.595,.605,.71,.585,-12.98,1.045,.064,,
AKI,6297.08,156.429,2.873,.077,-,-,1.05,20.5,-,-,-,,African Iron,†,.215,+.5,.20,.215,.22,.19,+4.19,.45,.09,,
AKIOA,-,6.154,1.423,.001,-,-,-,-,-,-,-,,  opt dec13,†,.06,-,.055,.057,.06,.06,+1.81,.25,.015,,
AAE,10385.0,327.742,77.369,.006,-,-,-15.73,-,-,-,-,,Agri Energy,,.01,-,.009,.01,.011,.009,+1.81,.033,.009,,
AGR,257.992,15.548,6.634,.047,-,-,-5.47,-,-,-,-,,Aguia Res,,.77,-5,.765,.77,.84,.76,-4.29,1.56,.405,,
AQG,4306.11,38.091,-,.590,-,-,-,-,-,-,-,,Alacer Gold,,8.25,-99,8.00,8.40,8.81,8.09,-8.91,10.53,7.61,,
AUQ,3921.76,65.195,4.801,.067,-,-,-3.44,-,-,-,-,,Alara Res,,.32,+2,.32,.325,.33,.30,+8.47,.51,.081,,
ALB,1025.33,77.853,-,.038,-,-,18.52,.6,-,-,-,,Albidon,,.11,-,.105,.11,.12,.105,+1.81,.30,.039,,
ALY,907.590,34.764,53.990,.018,-,-,-2.22,-,-,-,-,,Alchemy Resources,,.18,-.5,.17,.18,.19,.17,-.89,.815,.17,,
AYN,40865.1,3232.07,124.075,.122,-,-,-.20,-,-,-,-,,Alcyone Res,,.093,-.6,.093,.095,.105,.092,-4.25,.145,.019,,
AYNOB,-,.117,-,-,-,-,-,-,-,-,-,,  opt sep11,,.024,-,-,.032,.024,.024,+1.81,.039,.021,,
ALK,11526.4,221.058,24.630,.646,-,-,3.00,80.0,-,-,-,,Alkane Res,,2.40,+5,2.40,2.42,2.57,2.26,+3.94,2.73,.23,,
