ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4842.6 at 16:47 16/10/2009  Report at 15:29 Saturday 17/10/2009. Processed 17:07 Sunday 18/10/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AIVO,28.9,0.882,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.06,1,0.035,0.06,0.06,0.05,18.15,0.06,0.001
ADU,1293.73,39.561,21.971,0.128,-,-,-10.25,-,-,-,-,,Adamus Res,,0.45,,0.435,0.46,0.48,0.445,-1.85,0.53,0.10
ADD,1767.26,41.169,40.154,0.009,0.03,1.6,-0.3,-,-,-,-,,Adavale Resource,,0.049,-0.2,0.043,0.049,0.055,0.042,-5.78,0.065,0.01
ADE,1088.97,43.874,40.642,0.018,-,-,1.39,9.7,-,-,-,,Adelaide Energy,,0.135,,0.135,0.14,0.14,0.13,-1.85,0.16,0.035
ADN,3233.56,61.369,38.766,0.022,-,-,4.86,4.7,-,-,-,,Adelaide Res,,0.23,2,0.23,0.235,0.26,0.205,7.67,0.37,0.04
ADI,3220.25,63.698,25.535,0.026,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.175,3.5,0.17,0.175,0.18,0.13,23.15,0.365,0.045
ABY,3917.22,327.095,305.786,0.505,1.31,1.2,-24.26,-,-,-,-,,Aditya Birla,,1.61,10.5,1.60,1.615,1.65,1.50,5.12,1.65,0.096
ADY,311220,6400.89,3471.17,0.033,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.02,0.2,0.02,0.021,0.025,0.018,9.26,0.054,0.008
AVD,430,18.095,7.791,0.016,0.04,2.5,-1.06,-,-,-,-,,Advance Energy,,0.10,-1,0.089,0.10,0.115,0.10,-10.94,0.125,0.025
AED,2762.8,103.856,250.678,0.111,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.67,3.5,0.66,0.67,0.70,0.63,3.66,1.35,0.555
